job_title,employer,employer_type,location,summary,contains_information,contains_analysis,contains_data
Call for expressions of interest - Bid writers,WaterAid,NONPROFIT,London,"WaterAid is looking establish a truly global pool of consultants and are open to expressions of interest from individuals based anywhere in the world. WaterAid is launching an ambitious new strategy to secure increased amounts of funding from a range of institutional donors in order to deliver our mission to transform lives with safe water, sanitation and hygiene in the world’s poorest communities. As part of this strategy we are launching a call for expressions of interest from suitably qualified individuals interested in joining a pool of consultants to support bid writing. Bid writing consultants will be commissioned to lead on specific bidding processes as and when funding opportunities arise. They will be managed by the Institutional Funding and Partnerships (IFP) team or directly by Country Teams depending on the nature of the funding calls. With appropriate support from IFP and Country Teams, consultants will be expected to take the lead on all aspects of the bid writing process and deliver finalised bid documents following specific donor templates ready for submission within agreed deadlines. Working under the management of the IFP team or specific Country Teams, bid writing consultants will be expected to: -Define and oversee an internal timeline with key milestones for the bid development process in collaboration with relevant internal and external stakeholders -Support Country Teams with project conceptualisation -Work with Country Teams and IFP to gather relevant background information and adapt this for use in bid documents -Lead on developing key bid documents in close collaboration with Country Teams e.g. narrative, logical/results frameworks, budget etc. -Ensure that projects and budgets are designed in accordance with relevant donor rules -With support from Country Teams and IFP, ensure all relevant information is gathered for any required annexes to bid submissions To be successful, you’ll need to have: -Excellent writing skills with at least five years of experience in bid/proposal writing within the international development sector -Specific experience with water, sanitation and hygiene (WASH) or related themes (e.g. health, education, climate change) is highly desirable -Substantial experience writing bids/proposals for one or more of the following donors: DfID, EC DevCo (EuropeAid), USAID, Sida, Global Affairs Canada, UN agencies -Experience with commercial tendering highly desirable -Familiarity with project conceptualisation tools such as Theory of Change (ToC) and Logical Framework Approach (LFA) -Strong budget development skills and familiarity with principles and methodologies for cost recovery -Ability to manage a range of internal and external stakeholders effectively and secure their inputs within tight deadlines -Ability to work (written / spoken) in French is highly desirable. Portuguese language skills would also be an asset Please send your expression of interest in the form of your CV and short cover letter outlining your key experience and achievements with reference to the points above to the following email: bidmanagement@wateraid.org by 29th April 2018 .",TRUE,FALSE,FALSE
Retention & Development Officer,Family for Every Child,NONPROFIT,London,"We are a global alliance of civil society organisations working together to improve the lives of vulnerable children around the world. We were set up based on a shared conviction that grassroots organisations and the families and communities we work with hold vital knowledge and capacity to improve the provision of children’s care. We believe that more effective engagement with civil society can radically strengthen and improve children’s care and child protection systems worldwide. Our aim is to bring about large scale improvements in national children’s care provision within the 28 countries our members are based, and also at a global level. Our Strategy 2017-2020 (which you can find on our website) sets out how we will achieve these aims over the next three years. About the role As part of a collaborative team you will play a key role in delivering retention and development campaigns across a variety of channels including digital, phone and mail, in order to maximise supporter value for Family. Your role will have a global remit as we have supporter bases in the UK and in New Zealand. You'll manage campaigns on time, within budget and to agreed KPIs. About you You'll have experience of project managing retention and development campaigns across a variety of media with the ability to logically manipulate and analyse results in order to contribute to the overall strategic direction of the programme. You'll have excellent communication skills and be able to develop strong working relationships with key internal and external stakeholders and ensure the smooth management of external agency relationships. You will be joining Family at an exciting time as we grow and maintain income in the UK and in New Zealand.",FALSE,FALSE,FALSE
Research and Operations Officer,Frontier; The Society for Environmental Exploration,NONPROFIT,London,"PRIMARY FUNCTION To assist the Operations Managers in the operation and administration of Frontier’s overseas conservation, teaching &amp; community projects, expeditions and volunteer houses. The role includes the day to day support for the field projects including budgets, equipment, communications, procurement, staff and transportation and also comprises a large element of human resources for both the overseas projects and London HQ. To supervise the science and research aspect of expeditions and field projects including staff, communications, project and scientific reporting, and promotion. To promote the scientific activities, biodiversity research, conservation work and capacity of Frontier both in the UK and overseas. To identify funding and work opportunities and to develop sponsorship and promotional activities. GENERAL OUTLINE OF THE ROLE Manage the following with direction and training from the Research &amp; Operations Manager; - Responsibility for the recruitment, interviewing, briefing, training, appraisal and ongoing development of staff in the field. - Collating and reviewing internal reports and equipment inventories from projects; - Sourcing, purchasing, and despatching equipment for field projects and London office; - Communication with overseas projects, expeditions and country HQ’s - To oversee, renew and develop in-country collaborations; - To oversee dissertation students at under-graduate and post-graduate level. - To review data and prepare research reports, articles and papers for the aim of publication in scientific journals. MAIN DUTIES &amp; RESPONSIBILITIES Human resources: - Manage online job vacancies and advertising and current staff profiles; - To screen incoming job applications and respond to applicant queries; - Arrange and conduct London, USA and field staff interviews and to make recruitment decisions alongside the Research &amp; Operations Manager; - Prepare staff contracts, addendums and documentation, ensure all relevant paperwork and tests are completed before deployment; - Implementing the Field Staff Training and Induction days (minimum 10 per year) for field staff; - Assist in the preparation and processing of field staff wages. Operations: - Communicate weekly via situation reports and phone calls to designated field projects, expeditions and country HQ’s; - Ensure that all communications are recorded effectively; - Monitor project activities through reporting and updating system and advise or enforce change as necessary; - Ensure that internal reports are provided in the correct format and on time; - Monitor projects through reporting system and advise or enforce change as necessary. Logistics: - Collate requests for equipment from staff and provide feedback; - Identification of suppliers and the purchase of equipment for projects and London; - Managing invoices for equipment purchases (in cooperation with the Accounts Department); - Sourcing potential sponsors and donors of equipment; - Oversee and coordinating the packing and despatch of equipment to field projects, expeditions and country HQs; - Advise on repair, servicing and supply queries from project staff. Research: - Supervise Research and Development Interns in analyzing data and writing scientific reports, popular news articles and funding proposals; - Respond to research proposals and survey or data collection queries from field staff; - Assist other London HQ staff, as necessary, including presenting at volunteer recruitment sessions and assisting at quarterly Briefing Weekend and Training Weekend; - Any other tasks as required by the Research &amp; Operations Manager, Head of Development or Managing Director. TERMS &amp; CONDITIONS Contract Duration: Permanent; Working Hours: 9.30am – 5.30pm during weekdays. Some evenings and weekends as the role requires; Salary: £14,136 per annum (dependent upon skills and experience); Leave Entitlement: 20 working days excluding public and bank holidays; Training: Initial training and on-going professional development;",FALSE,FALSE,TRUE
PEN Centenary Archivist,PEN International,NONPROFIT,London,"JOB SUMMARY PEN International seeks a dynamic archivist to develop and curate an archive collection that documents the history of PEN International as it works towards marking its centenary in 2021. This role will involve significant liaison work with PEN Centres around the world to assemble, catalogue and curate historical information and documentation, which charts the work of the organisation, its membership of “poets, essayists and novelists” and the literary events and campaigns PEN has spearheaded throughout its history. Exceptional interpersonal skills, project management skills and attention to detail will be essential. The role will need to manage and care for materials from over 100 PEN Centres around the world; developing a digitised, accessible collection of archive materials for evaluation and presentation. Excellent record management skills will be required, alongside the ability to oversee a project budget. · Finally, the PEN Centenary archivist will need to work with colleagues and external researchers to organise a series of events, talks and exhibitions (including in digital form) to present the archive and celebrate organisational achievements during our centenary year. KEY RESPONSIBILITIES Working closely with the Executive Director the role will require you to: · Utilise modern professional standards to build up an accessible archive of materials and documents that chart the history of PEN International and PEN Centres globally · Develop an overall project plan and budget to guide our centenary archive project and monitor delivery against targets and budget lines · Manage the acquisition and development of a digitised archive system to collate and catalogue archive materials obtained · Maintain regular communication with PEN Centre colleagues to identify and retrieve archive materials and provide advice concerning record keeping and management · Catalogue materials being received into the archive in line with relevant recognised international standards, using both the online system and offsite storage if required Work with the Campaigns &amp; Communications Manager and Digital Manager to develop a communications plan to excite and engage key internal and external audiences about the centenary archive project · Ensure regular contact and effective communication with key external partners, such as the University of East Anglia, University of Oxford, and National Centre for Scientific Research in Paris · Assist in fundraising activities to support the development of the PEN centenary archive · Ensure compliance with data protection legislation and GDPR · Participate in external events, meetings or talks to promote the PEN centenary archive project · Contribute regular updates to PEN International board, senior leadership team and project partners in relation to the development of the archive · Develop guidance and train colleagues in relation to the continued maintenance and growth of the PEN archive into the future · Keep abreast of key professional developments in the archive and records management field Contribute to PEN International’s work generally by · Participating in cross-programme project teams as required · Facilitating cross-learning and collaboration across other PEN programmes · Contributing to the development and implementation of PEN International’s policies, strategies and plans · Managing and training volunteers as required · Undertaking any other reasonable duties as required by the post PERSON SPECIFICATION Essential · Fluent spoken and written English · Educated to degree level · Post-graduate certificate in Archive Management OR post-doctoral researcher with archival experience · Proven experience in archives or records management · Experience of working with digital databases · Good working knowledge and awareness of data protection regulations · Exceptional project management and budgeting skills · Excellent interpersonal and people skills · Advanced oral and written communication skills · Highly self-motivated with the ability to work independently, and as part of team · Experience of working with academics and researchers · Knowledge of French or Spanish Desirable · Experience of working for an international organisation · Experience in an arts/literature/journalism/human rights environment · Appreciation, knowledge and understanding of freedom of expression issues Values · Interest in literature and writing · Willingness to uphold the values of the Charter of PEN International · Commitment to accountability, transparency and fairness · Commitment to equality and cultural diversity and their application at work This p ost will require some international travel, mostly to PEN International meetings Terms of Employment Salary £29,000 – £38,000 gross salary per annum. We would expect the successful candidate to start at the bottom of the salary scale. Position Two year fixed term contract, based in London. The position maybe renewed subject to funding being secured. Hours 35 hours per week, normally worked Monday to Friday Benefits and holidays Benefits 25 days holiday per annum, plus statutory holidays. The successful candidate will join the PEN International pension scheme straightaway, in compliance with auto-enrolment legislation. Notice One month during probationary period and three months thereafter Probationary Period Three months, subject to written confirmation Contract of Employment The successful candidate has to be eligible to work in the UK. Nothing in the above constitutes an offer of employment or forms any part of any contract of employment. Recruitment process Candidates should submit their CV and a covering letter (two A4 sides maximum) which addresses all aspects of the Job Description and Person Specification, to Recruitment@pen-international.org or by post to PEN International, Koops Mill, 162-164 Abbey Street, London, SE1 2AN, UK. Applications must be submitted by 09:00 hours GMT on Monday 16 April 2018 . Interviews will take place between 8-11 May 2018. Due to our limited resources we are only able to inform shortlisted candidates. PEN International is an equal opportunities employer",TRUE,FALSE,TRUE
Facilities Assistant,Freedom from Torture,NONPROFIT,London,"Contract: Permanent Location: Finsbury Park, London Part-Time: 25.5 hrs/week (x2) Salary: £15,570 p.a. pro-rata, (FTE £21,370) plus generous holiday entitlement, pension scheme and group life assurance Job Ref: R154/155 Freedom from Torture is the only UK human rights organization dedicated to treating and supporting torture survivors who seek refuge in the UK. We do this primarily through psychological therapies but also services which document torture forensically, practical legal and welfare support and creative groups in centres across the UK. Thanks to the dedication of our staff and volunteers – as well as thousands of passionate supporters and funders – thousands of torture survivors have been able to rebuild their lives in incredibly difficult circumstances. We are seeking to recruit 2 Facilities Assistants to join our Facilities team in our London centre. The post- holder will be providing support to the Head of Estates and Facilities ensuring a safe and secure building environment in all Freedom from Torture premises; health &amp; safety and other facilities-related issues meet, and where possible exceed statutory minimum requirements. We are looking for someone who has a background in hands on maintenance, excellent practical skills in basic painting, plumbing and electrics, and the ability to accurately record details of work carried out and time taken. Ideally, you will have previous experience within a similar role and a working knowledge of Health and Safety procedures. You will have good communication skills, both verbal and written, experience using Microsoft Office programs and the ability to multi-task and work in a fast-paced environment. If you are enthusiastic, self-motivated, and would like to gain valuable experience working for a charity, don’t miss out on a fantastic opportunity and apply today, we would love to hear from you! For an informal discussion about the post, please contact Nigel Johnson, Head of Estates and Facilities, on 0207 697 7787.",FALSE,FALSE,FALSE
Epidemiologist,Malaria Consortium,NONPROFIT,London,"Malaria Consortium is recruiting for an Epidemiologist to join our team in London, UK . The Epidemiologist will support the epidemiological interpretation of programme and project results, and contribute to Malaria Consortium’s research, especially on study design and data analysis, modelling, and interpretation of findings. The postholder will also further develop and support Malaria Consortium’s M&amp;E Community of Practice by exploring research questions that can be addressed through conducting secondary analyses on available data sets and coordinating external research students where applicable. The postholder will provide technical support and capacity building to country offices and the global (including regional) technical team as required. The successful candidate will have: Postgraduate degree in public health with focus on epidemiology/bio-statistics or demography Extensive experience working in data management and epidemiology in developing countries within government, an international organization or research institution, preferably in Asia and/or Africa Significant knowledge in communicable disease control and child health Extensive experience in research design and implementation Significant experience in the development of data bases, data entry systems (PDA or phone-based) and statistical analysis software (EpiData, Excel, Access, Stata) Excellent writing and presentation skills Management and mentoring skills with respect to junior staff Ability to work in a team Ability to work independently with little support",FALSE,TRUE,TRUE
Program Officer for the African Great Lakes,Fund for Global Human Rights,NONPROFIT,London,"About the Fund The Fund for Global Human Rights is a leading supporter of on-the-ground human rights groups around the world. Dedicated to finding and funding the most effective human rights organizations in regions from Latin America to Africa to Southeast Asia, the Fund for Global Human Rights offers grants and facilitates technical support to ensure the long-term effectiveness and viability of frontline groups working in challenging conditions with scant resources. As an employer, we are deeply committed to the overall well-being of our staff. We offer 100% employer paid health benefits, generous paid leave, and flexible working options designed to meet the diverse needs of our globally based team members. About this opportunity The Fund is seeking a highly qualified applicant for the position of Program Officer for the African Great Lakes. Within the region, this position currently is responsible for grant making programs in the Democratic Republic of the Congo and Burundi. In these two countries, the Fund currently supports grantees working to advance the rule of law and justice, women’s rights, children’s rights, environmental justice, and the rights of sexual and other minorities. The position reports to the Director of Regional programs and will work as an integrated part of the full Program team. Preference will be given to candidates who are based in the region, London, or the Washington, DC area. Key Responsibilities: Manage grant making and technical assistance programs in the African Great Lakes Keep abreast of human rights issues, trends and activities in the region; attend meetings and conferences, read current literature, and maintain contact with leaders in the field Develop appropriate grant making, technical assistance, and capacity building strategies and priorities in assigned countries Identify new grantee organizations through networking activities and open RFPs; conduct appropriate due diligence to evaluate potential grantees Undertake all aspects of the grant making cycle including: proposal review, grant recommendations, docket preparation, indicator review, progress evaluation Oversee and manage the Fund’s full-time consultant living and working in the region Approve the consultants work plans, monthly reports and invoicing, and provide guidance on priorities and activities of the consultant on a continuing basis Maintain contact and develop high quality working relationships with all current grantees and make regular site visits Facilitate technical assistance to grantees on strategic planning, human rights skills, fundraising, and partnering with other NGOs and Fund grantees Evaluate requests and make recommendations for discretionary / emergency support in each assigned country Develop and implement appropriate and effective evaluation tools Participate in annual program planning and evaluation Partner with grants management staff to ensure smooth and efficient organizational workflow of administrative logistics Coordinate special initiatives or projects as assigned Docket Preparation Recommend allocations for each assigned country's grant docket and present recommendations of grantee organizations to the Director of Regional Programs and the Vice President for Programs Prepare summaries of each grantee's work Develop an annual program strategy memo that analyzes the context of the work in each country and lays out grant making, technical assistance, capacity building, and thought leadership strategies to have the most impact Create annual grant making and travel budgets with initial decisions about grant allocations and program costs for internal approval Track Great Lakes budget outlays and program costs on an ongoing basis to align with forecasted projections and donor requirements Jointly with grantees, develop indicators to track progress of each grantee organization Donor Relations and Communications Partner with development staff to steward existing and prospective donors to the Great Lakes program, ensuring good communication flow about programmatic work for use in fundraising activities Edit written reports and provide regular reporting updates to donors Partner with development staff on donor tours, grantee visits to the US and UK, and other efforts liaise with existing donors to the Great Lakes program providing reporting updates and occasional in-person visits to keep donors abreast of the issues and challenges Assist in conception of and writing for the Fund’s public communications pieces related to the African Great Lakes or assigned thematic initiatives Building a Network of Collaborative Partnerships Maintain contact and collaborate with other organizations – funders and funder networks, regional organizations, INGOs, etc. – working in the region Develop partnerships, share ideas, and create opportunities to leverage other funding with grant- making organizations working in the region or on similar issues Other Contributions: Over time, develop expertise in, and take on leadership for, one or more thematic areas of the Fund’s grant making Participate in bi-weekly program team and all-staff meetings, and in-person biannual full staff retreats Work closely with the Fund’s thematic program officers who manage the children and armed conflict, corporate accountability, and enabling environment programs when these thematic areas involve Great Lakes grantees and program Qualifications: Candidates should demonstrate the following range of skills, experience, and qualities: Minimum Requirements: 5+ years of experience working in the human rights arena; field experience and/or advocacy experience in the region highly desired Demonstrated commitment to human rights and to building a vibrant and powerful grassroots human rights movement 3+ years of grant-making or fundraising experience strongly preferred Knowledge of international and grassroots human rights NGOs and international organizations Experience living, working, or traveling extensively in the DRC and Burundi Effective communication and writing skills required Desired Qualities: Self-driven initiative to contribute to any and all efforts underway to strengthen the Fund and the African Great Lakes program Strong interpersonal and collaboration skills; proven ability to be flexible independently or in a team-oriented approach with diverse groups of people Proven track record of excellent relationship development and management, both in-person and remotely Strong critical thinking skills, including the ability to identify emerging human rights trends and analyze issues from multiple perspectives Organized and able to manage multiple priorities simultaneously while producing excellent quality work High level of comfort traveling independently in developing countries required Travel: Must be willing and able to travel from four to seven times per year, including to Burundi and the DRC, often for stretches of seven to ten days or longer Must be willing and able to travel to the US at least twice a year The Fund for Global Human Rights encourages candidates of all racial, ethnic and religious backgrounds to apply. Personnel are chosen on the basis of ability without regard to race, color, religion, sex, national origin, disability, marital status, sexual orientation, or gender identity or expression, in accordance with U.S. federal and state law.",FALSE,FALSE,FALSE
Research Specialist,Malaria Consortium,NONPROFIT,London,"Malaria Consortium is recruiting for a Research Specialist to join our team in London Office . The Research Specialist will contribute to the implementation of the organisation research strategy and achievement of the research objectives. Based on funding, the Research Specialist will lead the inception, design, management and implementation of selected research projects, within the themes and scope of the research strategy. He/She will provide methodological oversight to research projects through technical assistance, mentoring, and research guides and tools. He/She will provide support to research projects to help them to maximise the potential for research uptake. This role will work to build networks with academic institutions and research organisations. The successful candidate will have: PhD in Public Health, Global Health, Epidemiology or a related research discipline. Substantial experience in research design and management; experience in operational/implementation research is essential Experience securing large or multiple research funding Experience providing technical and programmatic leadership in research programmes. Substantial experience in publishing work in peer-reviewed journals. Experience working in South East Asia and/or Sub-Saharan Africa Experience and understanding of working with Ministries of Health in policy and strategy formulation related to research",FALSE,FALSE,FALSE
Overseas Operations Officer,Frontier; The Society for Environmental Exploration,NONPROFIT,London,"This is a unique opportunity to assist in the management and development of the Operations department for a not-for-profit research organisation based in London. With projects and placements in over 50 countries, Frontier is conducting vital work around the world in environmental research, ecosystem services and community development. We are looking for an enthusiastic individual to assist in the operation and administration of overseas conservation, teaching &amp; community projects and expeditions and country HQ’s. The role includes the day to day support for the field projects and also comprises a large element of human resources for both the overseas projects and London HQ including overall responsibility for the recruitment, interviewing, briefing, training, appraisal and ongoing development of staff in the field and in the head office. The successful candidate should be educated to degree level and have office, administration and recruitment experience as well as excellent leadership and communication skills. Position to start as soon as possible.",FALSE,FALSE,FALSE
Psychological Therapist /Capacity Builder (Children& Families),Freedom from Torture,NONPROFIT,London,"Contract: Permanent Part-Time: 17.5 hrs/week Location: Manchester Salary: £18,180 p.a. pro-rata, (FTE £36,360) p.a., plus generous holiday entitlement, pension scheme and group life assurance Job Ref: R88 Since 1985 Freedom from Torture has been the only UK human rights organization dedicated to treating and supporting torture survivors who seek refuge in the UK. We do this primarily through psychological therapies but also services which document torture forensically, practical legal and welfare support and creative groups. Thanks to the dedication of our staff and volunteers – as well as thousands of passionate supporters and funders – thousands of torture survivors have been able to rebuild their lives in incredibly difficult circumstances. This is an exciting opportunity for a Psychological Therapist/ Capacity Builder based in our Manchester Centre. You will be providing direct clinical provision to children, and families who are survivors of torture and organised violence through individual therapy, group and or family / couple therapy. You will undertake on-going therapy with families and children with complex psychological needs and carry a client caseload. You will need to keep records and provide letters and psychological reports as appropriate. You will also be offering advice and support to clients on housing, welfare benefits, health access and other welfare related matters, including advising clients on their rights and entitlements in these areas. You will have a MSC in Systemic Psychotherapy or Family Therapy, significant knowledge of a range of psychotherapeutic approaches and theories, and how these can be applied to work with torture survivors as well as extensive experience and a working knowledge of legislation affecting asylum seekers and refugees e.g. asylum, housing, benefits. If you believe you have the qualities necessary to perform well within this position, we would like to hear from you! For an informal discussion, please contact Simon Postlethwaite, Clinical Services Manager in the Manchester Centre on 01612365744.",FALSE,FALSE,FALSE
Syria Project Consultant,Women's International League for Peace and Freedom - International Office,NONPROFIT,London,"Women’s International League for Peace and Freedom (WILPF) is an international feminist anti-war organisation, founded in 1915. We are seeking an Arabic-Speaking consultant to coordinate our Syria project, “Feminist Movement for Change in Syria”. BACKGROUND The WILPF 2017-2019 Strategy sets out our intended direction of travel for the next three years by advancing feminist peace for equality, justice, and demilitarised security through two interlinked paths, namely: 1) by addressing the root causes of violence through a feminist lens, and 2) through mobilising for nonviolent action. The strategy and theory of change have been developed based on an analysis of the current context, as well as learning around the organisation’s strengths and several key processes, including an external evaluation of the organisation in 2017 and reflections from the centenary of WILPF. Outcome 5 of the strategy includes Syria as one of the 5 prioritised countries. WILPF seeks to preserve and grow the grassroots nonviolent movement for equality, freedom and justice in Syria. To this end, we are supporting civil society efforts towards a peaceful and just solution to the conflict, premised on respect for and attainment of human rights, women’s rights and women’s meaningful participation in all aspects of life. WILPF is piloting a one-year project titled “Feminist Movement for Change in Syria”, which aims to provide financial and technical support to new and emerging Syrian initiatives and organisations to amplify their influence and further their feminist values. The project also aims to strengthen coordination and networks across Syrian groups in order to enhance exposure and foster collective growth. YOUR TASKS The objective of the role is to coordinate the implementation, monitoring and evaluation of the WILPF Project, “Feminist Movement for Change in Syria"" under the supervision and support of the MENA Director. This will include the following: 1. Finance Management and Grant Making Managing the grant making process, including liaising with WILPF finance department, and the finance staff of the sub granting organisations on transfers, financial reporting and finding solutions for issues as and when they arise Reviewing and following up with partners on the interim financial report provided by organisations receiving core grants and checking in with spending and reporting of small initiatives and groups during the mid-term review Ensuring accuracy of activities vis-à-vis contractual and grant commitments Adhering to administrative and recordkeeping guidelines to support the Finance/Admin team with accurate bookkeeping and documentation of activities, including communicating to small groups the importance of filing invoices and proof of payment for reporting Ensuring partner contracts are adhered to 2. Coordination and Logistics Overseeing the arrangement of regional coordination meetings and, potentially, advocacy delegations Coordinating the outsourcing of external advisors to meet the technical support needs of grantees, which may include the design and implementation of an online platform Coordinating and delegating the arrangement of visas, travel tickets, accommodation, food and venues for regional coordination meetings Attend monthly staff meetings and providing the staff team with any updates on the Project Liaising with the MEL Advisor and other external consultants Drafting contracts for external consultants and ensuring they are adhered to 3. Internal and External Communications Coordinating with national/local partners in Arabic and English, as well as with other programs of WILPF in Geneva and New York Liaising with international, regional, and local organisations and stakeholders, as well as special consultants to the project, including representing WILPF at national and international meetings Working closely with the Communications Manager to ensure timely implementation of the communication strategy for the project, including writing blogs and analyses when needed Assisting in the development of toolkits, manuals and resource material for the project Providing accurate translation and proofreading of correspondence, training materials and other documents, as well as informal interpretation in meetings Responding to external inquiries on Syria through WILPF Secretariat email in coordination with the MENA Coordinator and the MENA Director 4. Monitoring and Evaluation Undertaking tracking of 1) project activities including communications through the correspondence log and partners log on One Note; 2) tasks through the project log on Google Sheets; and 3) key project processes with partners through the Syria Grantees Spreadsheet Tracking external communications (website, social media) through the Communications Tracker on Google docs Updating and assessing progress made in accordance with the work plan and Trello board Monitoring progress made on key performance indicators within the Performance Measurement Framework (PMF) Overseeing and coordinating the mid-term review process, including narrative and financial updates from partners Inputting into the design of the internal evaluation (final evaluation) in collaboration with the MEL Advisor Extracting data on website communications undertaken by the Project team through Google Analytics Reviewing and updating project-specific risk register on a monthly basis in accordance with the Due Diligence Framework (DDF) developed for the Project Monitoring the implementation of the technical support plan for partners Drafting donor reports and contribute to the MENA programme reporting process Drafting case studies and lessons learned 5. Research, Analysis and Writing Keeping abreast of relevant political and humanitarian developments Providing analysis and contributing to the WILPF position on Syria Preparing a range of written materials, including blogs, policy analyses and advocacy documents targeting policy-makers and a broader audience 6. Supervising Project Support Staff Liaising with, delegating to and overseeing the work of project support staff, including the Junior Syria Consultant (project intern), students and volunteers, offering them guidance, support and feedback Undertaking weekly coordination meetings with the Junior Syria Consultant and supporting their professional development 7. Other: Carrying out other duties as required REQUIREMENTS Written and spoken fluency in both English and Arabic. Working knowledge of French is an advantage. A master’s degree in the humanities or social sciences, politics, international relations, law, gender, Middle Eastern studies, or a similar field. At least three years of work experience, preferable in an international non-profit organisation, with duties involving managing grants and budgets. Previous work experience in MENA is a great asset. Excellent writing and communication skills in both English and Arabic. Experience in report writing and monitoring and evaluation is considered an advantage. Excellent organisational skills, inter-personal communication skills and sound political judgment. Motivated self-starter requiring little supervision, comfortable working independently and remotely and capable of managing multiple tasks simultaneously while meeting tight deadlines. Adept administrative and IT skills, including website management. An understanding of the social, political, economic, cultural and development/humanitarian landscapes in Syria is a great asset. THE PRACTICAL STUFF This is an 8.5 months consultancy contract open to applicants based in London with some travel to the region. Reporting line: MENA Director Salary: 3750 CHF/Month Start date: 15 May 2018 Deadline: Tuesday 10 April 2018.",FALSE,TRUE,TRUE
"Conservation Dive Officer: Tanzania, Fiji and Madagascar",Frontier; The Society for Environmental Exploration,NONPROFIT,London,"PRIMARY FUNCTION To manage all diving operations associated with the marine research programme, including the supervision of daily scuba and in-water activities and to ensure the proper maintenance of all dive equipment and boats. GENERAL OUTLINE OF THE ROLE - Maintenance and control of all diving and related equipment; - Organisation and supervision of daily diving and snorkelling activities; - Supervision and dive training of volunteers and all project participants; - Assisting the staff team with all aspects of the research programme. MAIN DUTIES &amp; RESPONSIBILITIES To plan, organise, supervise and execute all diving activities, taking into account all physical, logistical, safety and financial considerations; To supervise, train and motivate all project staff, volunteers and host-country participants to do the work contained in the diving schedule; To ensure that all volunteer dive trainees are trained up to a minimum level of PADI Advanced Open Water Diver in accordance with PADI regulations; The Officer is expected to take an active interest in the scientific programme and to provide, as required, a diving team for the Principal Investigator to complete the work programme. The Officer is responsible for the administration, maintenance and control of all the diving and related equipment including compressors, boats, outboard motors and all diving accessories on the project. To ensure that all volunteers, staff and host-country participants adhere to safe diving practices; To ensure that all project participants are deployed usefully and enjoyably TERMS &amp; CONDITIONS Contract Duration: 12 months with the possibility of extension. Accommodation: Basic accommodation provided at field project Travel: Contribution towards an international airfare (capped) plus internal travel as necessary to the fulfilment of duties. Insurance: Employer’s liability insurance provided. Subsistence: Food provided on project site. Subsistence allowance provided for time spent off project site. Salary: £150-200 (per quarter) plus £150-200 end of contract bonus, dependent on experience, qualifications &amp; availability. Training: Pre-departure training provided.",FALSE,FALSE,FALSE
"Conservation Project Coordinator and Project Manager, Tenerife",Frontier; The Society for Environmental Exploration,NONPROFIT,London,"Frontier is seeking a Conservation Project Coordinator in Tenerife, Spain to be responsible for the successful running of the project including management of volunteers, budgets, logistics and administration of the project. Job start date- April 2018. General outline To ensure the health and safety of all volunteers and field staff involved in the project, dealing with any medical incidents should they arise, being ready to initiate and implement an emergency medical evacuation procedure if necessary Management, support and development of volunteers / research assistants in all aspects of their participation on the project. Organisation and supervision of camp activities and the schedule of Research Assistants camp duties. Preparation of a camp work schedule taking into account all relevant safety, physical, logistic and financial considerations. To manage local Frontier employees, camp assistant, driver, guards, as appropriate including payment of wages as and when necessary. Administration and control of project budget, ensuring that expenditure does not exceed allocated funds. Over spending will be recovered from future budgets. To develop proposals for work with other potential sites/organizations (including site visits and meetings as and when required).",FALSE,FALSE,FALSE
Marine Principal Investigator: Fiji,Frontier; The Society for Environmental Exploration,NONPROFIT,London,"Frontier are seeking a Principal Investigator for our marine research program in Fiji to start June/July 2018. Background Established in 1989 as a non-profit conservation and development non-governmental organisation (NGO), Frontier has been an innovator in creating quality volunteer programmes across the globe. Since then, Frontier has grown to operate over 330 capacity building conservation, community and adventure projects in over 60 countries, spanning 5 continents. Over the past 26 years Frontier has had volunteers of more than 30 nationalities take part in projects all around the world, making Frontier a truly international organisation with a global impact. Job Description The primary function of a Principal Investigator is to co-ordinate the research programme, involving overall supervision of the biological surveys and implementation of community-based conservation projects. More specifically, the Principal Investigator role will entail: Taking overall responsibility for the leadership of the project and development and implementation of the research programme Liasing, developing and maintaining relationships with collaborators The supervision and training of junior staff as well as management, support, training and motivation of volunteers / research assistants Preparation of project reports, funding proposals and publication of results in scientific journals Representing the technical side of the project when liaising with relevant authorities, research institutes and international agencies Assisting with project logistics and administration Requirements Although not all essential, these are very useful skills and qualifications for the role; every application is carefully considered: The successful candidate will have a good MSc in a relevant environmental discipline Experience in marine survey techniques Statistical anaylsis and report-writing Biodiversity or conservation research experience, ideally in a tropical setting Experience of managing overseas projects, volunteers and research camps is beneficial. A good level of diving expereince, qualified to at least advanced open water standard.",FALSE,FALSE,FALSE
