job_title,employer,location,summary,contains_information,contains_analysis,contains_data
Program Specialist,Government of the District of Columbia,"Washington, DC","JOB SUMMARY The incumbent of this position primarily serves as a Program Specialist in the Forensic Division, Clinical Services Administration, Department of Behavioral Health (DBH). The incumbent is responsible for providing day-to-day administrative support activities in support of the Clinical Director and program staff. Conducts a variety of studies of administrative processes to improve the efficiency of operations and address complex administrative problems. Prepares for meetings, assembles materials, and ensures that the supervisor is informed of significant developments. Coordinates ravel, conferences and itinerary development. Monitors spending plan use and rate of expenditures for budgeted funds for supplies, copy machines, equipment repair, travel, etc. This position IS in the collective bargaining unit represented by SED and you may be required to pay an agency service fee through an automatic payroll deduction. Area of Consideration: Open to the Public First Screening Date: April 14, 2018; and Every Two Weeks Thereafter Duration of Appointment: Career (Permanent) Tour of Duty: 8:15am – 4:45pm Monday – Friday Work Site: 35 K Street, N.E.  Washington, DC 20002 QUALIFICATIONS REQUIREMENT: This position requires one (1) year of specialized experience equivalent to the next lower grade level. Specialized experience is experience which has equipped the candidate with the particular knowledge, skills and abilities to successfully perform the duties of the position to be filled. LICENSURE None EDUCATION High School Diploma or Equivalence WORK EXPERENCE Two (2) or more years of experience providing a wide variety of administrative support. WORK ENVIRONMENT The work is usually performed in an office setting D.C. RESIDENTS AMENDMENT ACT OF 2007”: A person applying for a position in the Career Service, Educational Service, Management Supervisory Service, a line attorney position in the Legal Service (series 905), or an attorney position in the Excepted Service (series 905) who is a bona fide District resident AT THE TIME OF APPLICATION for the position may be awarded a 10-point residency preference over non-District applicants, unless the person declines the preference points. If selected, the person shall be required to present no less than 8 proofs of bona fide District residency and maintain such residency for 7 consecutive years from the effective date of the appointment. Failure to maintain bona fide District residency for the 7-year period will result in forfeiture of employment.",FALSE,FALSE,FALSE
Program Coordinator,George Washington University,"Foggy Bottom, DC","The George Washington University, Office of Continuing Education in the Health Profession’s (CEHP) responsibility is to ensure all CME activities provide physicians with information that can assist them in maintaining or improving their practice of medicine. The Office of Continuing Education services range from providing accreditation for programs to full meeting management, including identifying and securing venues, managing on-site logistics, soliciting commercial support, preparing meeting materials, and more. The Continuing Education in Health Professions office is currently seeking a full-time Program Coordinator who will work independently under the direction of the Director, CEHP and Assistant Director, Program Development. The Program Coordinator will be responsible for providing support in the planning, coordination, and implementation of continuing education activities. The Program Coordinator:Provides assistance to ensure marketing and project timelines are met.Assists as needed in the writing of promotional copy and edit brochures, flyers, e-blasts and other literature relevant to the CEHP office.Manages speaker invitations, documents, presentation, and travel/conference itineraries for all conferences assigned.Manages the event project timeline and ensure accountability for deliverables.Oversees the collection of conference and speaker information for educational brochures (i.e. agendas, abstracts, bios, photos, and other pertinent info).Communicates regularly with speakers to ensure they are compliant with deadlines.Creates program plans with Assistant Director/Director and activity directors, including planning timelines, program development, marketing and communications strategies, registration efforts, conference logistics, commercial support, speaker management, competitive analyses, post-course data reports, etc.Communicates with activity directors throughout planning process and provide regular status reports.Maintains effective customer service through regular communication, personal contact, and collaboration with assigned clients and CEHP team, including regular status reports.Oversees registration efforts for assigned courses, and assist with efforts as needed (i.e. entering registrations, responding to registrant calls/emails, trouble-shooting registrant issues accessing online systems, etc.)Travels to continuing education events as requested and assist with and/or manage on-site logistics related to education.Solicits and manages commercial support.Works with Continuing Education Coordinator to supervise post-meeting tasks, such as payments to vendors and faculty, confirmation of CME credits and certificates.Creates and manages online courses with learning management system.Assists with financial reconciliation for courses.Works with Director to ensure all educational activities are compliant with accreditation policies and departmental procedures.Assists with the maintenance all files for all programs certified for CME credits, including live, online, and enduring programs.Performs administrative duties when needed, such as answering phones, responding to general department emails, performing journal entries, database management, etc.Performs other related duties as assigned. The omission of specific duties does not preclude the supervisor from assigning duties that are logically related to the position. Minimum Qualifications: Qualified candidates will hold a high school diploma/GED plus 3 years of relevant professional experience, or, a Bachelor’s degree or higher in a relevant area of study. Degree must be conferred by the start date of the position. Degree requirements may be substituted with an equivalent combination of education, training and experience. Additional Required Licenses/Certifications/Posting Specific Minimum Qualifications: Preferred Qualifications: Bachelor’s degree in a related field.Experience in coordinating educational events, meetings, or projects.Demonstrated proficiency in MS Office, on line content management systems, and other online software/tools.Ability to work independently and as part of a team.Excellent oral and written communications skills, including demonstrated competency in preparation of correspondence and reports.Proven ability to prioritize, meet deadlines and manage multiple tasks and responsibilities.Ability to travel locally and non-locally.Ability to work non-traditional hours/days on occasion throughout the year.II. JOB DETAILS Campus Location: Foggy Bottom, Washington, D.C. College/School/Department: School of Medicine and Health Sciences (SMHS) Family Academic Affairs Sub-Family Program Administration Stream Service and Support Level Level 3 Full-Time/Part-Time: Full-Time Hours Per Week: 40 Work Schedule: Monday through Friday Position Designation: Non-Essential: Employees who are not required to work unless directed to do so by their supervisor. Telework: No Required Background Check: Criminal History Screening, Education/Degree/Certifications Verification, Social Security Number Trace, and Sex Offender Registry Search Special Instructions to Applicants: Employer will not sponsor for employment Visa status Internal Applicants Only? No Posting Number: S007137 Job Open Date: 04/11/2018 Job Close Date: If temporary, grant funded or limited term appointment, position funded until: Background Screening Successful Completion of a Background Screening will be required as a condition of hire. EEO Statement: The university is an Equal Employment Opportunity/Affirmative Action employer that does not unlawfully discriminate in any of its programs or activities on the basis of race, color, religion, sex, national origin, age, disability, veteran status, sexual orientation, gender identity or expression, or on any other basis prohibited by applicable law.",TRUE,FALSE,TRUE
Secretary,Department of Justice,"Washington, DC","Duties Summary This position is located with the Department of Justice, Departmental Ethics Office (DEO). The DEO is responsible for administering the Department-wide ethics program and for implementing Department-wide policies on ethics issues. The office provides advice, guidance, and training directly to employees in the Department's Senior Management Offices, including the Office of the Attorney General, and to the Justice Management Division, among other offices, and oversees the ethics program across the Department.  If you wish to be considered under merit promotion procedures, please apply to vacancy announcement DEO-18-90200 MP.  Responsibilities The incumbent will serve as a Secretary for DEO performing the following duties: Provides support and assists in the planning, review, and reporting of data/statistical results of program or project studies. Completes appropriate forms or documentation for communicating with Departmental component representatives and employees. Delivers notification of reporting requirements and deadlines; receives and tracks reports utilizing inter-related databases; prepares reports for review and receipt by the appropriate senior management officials; and ensures the reports are properly maintained. Provides staff support through administrative management in areas such as receiving incoming telephone calls and directing them appropriately; receiving clients and visitors; and arranging meetings and trainings. Oversees property management and procurement of office supplies; finalizes time and attendance; and creates reports through several reporting systems. Researches and solves problems, evaluating and validating specific data or information for use in complex reports, studies, or data calls authorized by others. Exchanges and develops information, resolves discrepancies, and makes recommendations about conflicting program related materials. Assigns and monitors office communications for the office and support staff, including mail and messenger services, and shared electronic calendar. Creates and/or puts in final form written materials, including correspondence, legal memoranda, and reports from multiple databases. Travel Required Not required Supervisory status No Promotion Potential 9 Job family (Series) 0318 Secretary Similar jobs Office Secretaries Secretaries, Office Requirements  Requirements Conditions of Employment Must be a U.S. Citizen or National Must complete a Background Investigation to include drug testing Selective Service Registration is required, as applicable May require completion of one year probationary period Qualifications To qualify for the GS-8, you must possess the following:  At least one year of specialized experience equivalent to the GS-7 grade level in the Federal service performing the following duties: 1) reviewing documents for missing or incomplete information and for proper grammar and format; 2) assembling and preparing forms and draft correspondence as needed; 3) using automated systems and databases to select and compile information and access, search, retrieve and generate data and reports; 4) ensuring procedures for basic reporting requirements are met; and 5) scheduling trainings and meetings including tracking attendance.  To qualify for the GS-9 you must possess the following:  At least one year of specialized experience equivalent to the GS-8 grade level in the Federal service performing the following duties: 1) using judgment to implement, monitor and control processes and procedures for the administrative support program within the office; 2) resolving conventional problems, providing advice and answering questions that arise within the administrative support program regarding purchasing, supply management, tracking property transactions, data processing and files management; 3) using automated systems and databases to extract information from various sources to prepare finalized reports; and 4) scheduling and coordinating training schedules, meetings, including tracking attendance.  You MUST meet all qualification requirements by the closing date of this announcement. YOUR RESUME MUST support your responses to the online questionnaire and the qualification requirements. Failure to do so may result in an ineligible rating. Education High school graduation or equivalent. Additional information Career Transition Assistance Programs: These programs apply to employees who have been involuntarily separated from a Federal service position within the competitive service or Federal service employees whose positions have been deemed surplus or no longer needed. To receive selection priority for this position, you must: (1) meet CTAP or ICTAP eligibility criteria; (2) be rated well-qualified for the position with a score of 85 or above; and, (3) submit the appropriate documentation to support your CTAP or ICTAP eligibility. For more information visit: http://www.opm.gov/rif/employee_guides/career_transition.asp . Veteran Preference: If you are entitled to or claim veteran preference (VP), you should indicate the type of veteran preference (5 or 10 points) you are claiming on your résumé. In order to determine your eligibility, you can find additional information at: http://www.opm.gov/policy-data-oversight/veterans-services/vet-guide/ . NOTE: To verify your veteran preference entitlement, please submit a copy of the Member Copy 4 of your DD-214(Certificate of Release or Discharge from Active Duty); official statement of service from your command if you are currently on active duty; or other official documentation (e.g., documentation of receipt of a campaign badge or expeditionary medal) that shows your military service was performed under honorable conditions. (1) If you are claiming 10-point preference, you must submit Member Copy 4 of your DD-214 in addition to the supporting documentation required and identified on the reserves side of the SF-15, Application for 10 Point Veteran Preference. (2) If you are claiming 10-point DERIVED PREFERENCE as a relative you must submit Member Copy of the veteran's DD-214, and an SF-15, Application for 10-point veteran preference"" in addition to the supporting documentation required and identified on the reverse side of this form. If you fail to do so, you will receive consideration as a non-veteran. DOJ EEO Statement/Policy: http://www.justice.gov/jmd/eeos/08-eeo-policy.pdf Reasonable Accommodation Statement: Federal agencies must provide reasonable accommodation to applicants with disabilities where appropriate. Applicants requiring reasonable accommodation for any part of the application and hiring process should contact the hiring agency directly. Determinations on requests for reasonable accommodation will be made on a case-by-case basis. Schedule A: DOJ welcomes and encourages applications from persons with disabilities and is firmly committed to satisfying its affirmative obligations under the Rehabilitation Act of 1973 to ensure that persons with disabilities have every opportunity to be hired and advanced on the basis of merit within the Department. DOJ also encourages eligible Schedule A applicants to submit their resumes to resume@benderconsult.com, and reference ""Federal Career Opportunities"" in the subject line. Additional information is found at: www.benderconsult.com . Selective Service: If you are a male applicant born after December 31, 1959, you must certify that you have registered with the Selective Service System, or are exempt from having to do so under the Selective Service Law. Additional information is found at: www.sss.gov .  How You Will Be Evaluated You will be evaluated for this job based on how well you meet the qualifications above. Your application will be evaluated and rated under DOJ's Category Rating and Selection Procedures. Your resume and supporting documentation will be used to determine whether you meet the job qualifications listed on this announcement. If you are basically qualified for this job, your resume and supporting documentation will be compared to your responses on the Occupational Questionnaire. If you rate yourself higher than is supported by your application materials, your responses may be adjusted and/or you may be excluded from consideration for this job. If it is determined you meet minimum qualification requirements, your application will then be placed in one of three categories: Best Qualified, Highly Qualified, or Qualified. Within these categories, applicants eligible for Veterans' Preference will receive selection priority over non-veteran preference eligibles.  All applicants' qualifications will be evaluated on the following competencies (knowledge, skills, and other characteristics): Customer Service Decision Making Operating Systems Written Communication Oral Communication Please Note: The Selecting Official may select additional candidates if more positions become available within 90 days after the HR office issues the selection certificate.  Background checks and security clearance Security clearance Q - Nonsensitive Required Documents  Required Documents Resume showing relevant experience. Your resume showing relevant experience and dates the experience was obtained. Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience. (cover letter optional). Veteran documentation, (if applicable). SF-50 (most recent career/career conditional, if applicable); or for reinstatement to Federal service purposes, the SF-50 that shows you have acquired competitive status CTAP/ICTAP documentation, (if applicable) Schedule (A) Documentation (if applicable) Your Responses to the Occupational Questionnaire. If you are relying on your education to meet qualification requirements: Education must be accredited by an accrediting institution recognized by the U.S. Department of Education in order for it to be credited towards qualifications. Therefore, provide only the attendance and/or degrees from schools accredited by accrediting institutions recognized by the U.S. Department of Education . Failure to provide all of the required information as stated in this vacancy announcement may result in an ineligible rating or may affect the overall rating. Benefits  Benefits A career with the U.S. Government provides employees with a comprehensive benefits package. As a federal employee, you and your family will have access to a range of benefits that are designed to make your federal career very rewarding. Learn more about federal benefits . Review our benefits Eligibility for benefits depends on the type of position you hold and whether your position is full-time, part-time, or intermittent. Contact the hiring agency for more information on the specific benefits offered.",TRUE,FALSE,TRUE
Program Assistant [Kennan Institute],U.S. Federal Government,"Washington, DC","Duties Summary This position is located in the Kennan Institute (KI) at the Woodrow Wilson International Center for Scholars (Wilson Center). The Wilson Center was established by an Act of Congress in 1968 as the national, living memorial honoring President Woodrow Wilson.  Along with the National Gallery of Art and Kennedy Center, it is one of the three entities affiliated with the Smithsonian Institution, and is governed by its own presidentially appointed Board of Trustees. The Center provides a non-partisan policy forum for tackling issues through independent research and open dialogue that seeks to inform actionable ideas for the policy community and the public at large. It offers a bridge between the world and Washington and between critical ideas and policy practice. Most of the Center's outreach efforts take place within the Center itself, but some of the activities take place in the region.  The Kennan Institute is the premier US national center for advanced research on Russia and Eurasia, co-founded by George F. Kennan in 1974. The mission of the Kennan Institute is to build and sustain deep mutual understanding, cooperation, and exchange among intellectual and opinion leaders in the United States, Russia, and the surrounding states – a bedrock for regional and global peace, prosperity, and security. Insights from Kennan scholars, publications and events have proven invaluable for US policymakers, media, and the general public seeking to understand not only what is happening in Russia and the region, but why. Since the end of the Cold War, Kennan has developed even wider and deeper contacts with intellectual opinion leaders in Russia and Ukraine, establishing offices in Moscow (1993) and Kyiv (1999). During its 43 rd anniversary year and beyond, the Kennan Institute will focus on its core strengths: Deepening “lanes of excellence” in scholarship; strengthening engagement with policy processes in the US and the region; and enhancing the depth and value of Kennan’s international alumni networks.  Responsibilities Provides administrative support to Director, Deputy Director, and staff of the Kennan Institute. Prepares and edits various correspondences for proper grammar, punctuation, and spelling. Arranges travel and hotel accommodations for staff members and participants in the Institute’s activities; completes appropriate travel authorizations, travel vouchers, purchase orders, petty cash, and other accounting-related paperwork. Prepares and organizes Kennan Institute public events; responsible for set-up, microphones, and all other logistical matters. Organizes multi-day conferences including travel logistics, catering, supplies, creating and formatting agendas and program materials, and coordinating staff and attendees. Assists with scholar administration including organizing scholar competitions, onboarding procedure, management of internal scholar seminar schedule, visa support, and scholar list. Assists with outreach, including communications by phone, e-mail, webpages, and social media. Maintains and edits the Kennan Institute blogs. Answers phones and office-wide email to provide information related to program activities. Travel Required Occasional travel - Up to 10% Supervisory status No Promotion Potential 07 Who May Apply This job is open to… the public.  This vacancy announcement will be open from 4/12/18 to 4/21/18 or when 300 applications have been received. The vacancy will close on whichever day the first of these conditions are met. If the application limit is reached on the same day the announcement opened, the open and close date will be the same. Candidates are encouraged to read the entire announcement before submitting their application packages. Questions? This job is open to 1 group. Job family (Series) 0303 Miscellaneous Clerk And Assistant Requirements  Requirements Conditions of Employment You must be a U.S. citizen. You must complete a background investigation. Selective Service Registration is required, as applicable. May be required to complete a probationary period. You must maintain a bank account for direct deposit. All Qualifications criteria must be met by the closing date of announcement. Qualifications To qualify for this position, applicants must meet criteria in (1) and (2) below. (1) Selective Factor (SF): Proficiency with the Russian language to perform written and oral fluency requirements is mandatory for this position. A selective factor is an essential requirement for successful performance that cannot be reasonably acquired on the job during a customary period of orientation or training. Applicants who do not meet the SF, which must be supported on the résumé , will not be eligible for further consideration for this position. (2) Specialized Experience: For GS-6 : Applicants must have at least one full-time year (12-months) of specialized experience at, or equivalent to, the Grade 5 grade level in the Federal service providing administrative support functions including arranging travel and hotel accommodations, completing purchase orders, and drafting and proofreading correspondence for correct grammar, punctuation, and spelling in English and Russian. For GS-7 : Applicants must have at least one full-time year (12-months) of specialized experience at, or equivalent to, the Grade 6 level in the Federal service performing administrative support functions including arranging travel and hotel accommodations; completing purchase orders, coordinating events; and drafting and proofreading correspondence for correct grammar, punctuation, and spelling in English and Russian.  One year of GRADUATE level education directly related to the work of the position or a combination of relevant education and specialized experience meets the qualification requirements of the position at GS-7.  Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience.  In describing your experience, please be clear and specific. We will not make assumptions regarding your experience. If your résumé does not support your questionnaire answers, we will not allow credit for your response(s). Education All academic degrees and coursework must be completed at a college or university that has obtained accreditation or pre-accreditation status from an accrediting body recognized by the U.S. Department of Education. For a list of schools that meet this criteria, see www.ed.gov .  Education completed in foreign colleges or universities may be used to meet the above education requirements if you can show that the foreign education is comparable to that received in an accredited educational institution in the United States. It is your responsibility to timely provide such evidence by submitting proof of creditability of education as evaluated by a credentialing agency with your application materials. More information may be found at https://www2.ed.gov/about/offices/list/ous/international/usnei/us/edlite-visitus-forrecog.html . Additional information Veterans' Preference: If you are entitled to veterans' preference, you should indicate the type of preference you are claiming on your résumé. Your veterans' preference entitlement will be verified by the employing organization. See REQUIRED DOCUMENTS for details on appropriate forms to submit with your application.  CTAP/ICTAP: To receive special priority consideration for eligible displaced Federal employees, you must rate a score of 85 or better on the established ranking criteria. Additional information can be found at CTAP/ICTAP.  How You Will Be Evaluated You will be evaluated for this job based on how well you meet the qualifications above. Applications are evaluated and rated under Category Rating and Selection procedures. Category rating combines the applicant's total experience and/or education/training into a single category. Your application will initially be rated against the criteria outlined in this announcement.  Information for Veterans: The category rating process does not add veteran's preference points but protects the rights of veterans by placing them ahead of non-preference eligibles within each category. Preference eligibles who meet qualification requirements and have a compensable service-connected disability of at least 10% will be listed in the highest quality category, except when the position being filled is scientific or professional at the GS-9 grade or higher. For additional information, see Veteran Information.  Qualifying applications will be placed into one of the following categories: Gold (Best Qualified) Silver Bronze Applications in the Best Qualified category will be evaluated to ensure that the Specialized Experience and other eligibility requirements are met and supported/verified by the résumé and supplemental documents submitted.  You will be rated based on the following competencies: Administrative Functions Oral Communication Written Communication Outreach and Media Event Planning Travel Regulations Office Automation To preview questions please click here .  Background checks and security clearance Security clearance Public Trust - Background Investigation Required Documents  Required Documents The following documents are required: A Cover Letter A Résumé showing relevant experience including hours worked per week and month/year dates of employment. Responses to the Assessment Questionnaire completed online. Unofficial transcript if you are using graduate education to qualify for the position. Federal employees should submit an SF-50 Notification of Personnel Action. Applicants applying for Veterans Preference must submit: A copy of your DD214, Member Copy 4; or A certification of expected discharge or release from active duty under honorable conditions dated within the last 120 days for current Active Duty members. VA Letter of Disability, if applicable. Veterans claiming 10-Point Preference must also submit an SF-15 Form and ALL documents indicated on the form as proof for the type of preference. Applicants claiming CTAP/ICTAP Eligibility must submit: Certification of Expected Separation, Reduction-In-Force Separation Notice, or Notice of Proposed Removal; most recent performance evaluation; AND SF-50 demonstrating your separation or the position you will be separated from; or Worker's Compensation Separation: Agency certification of inability to place employee AND Notification of Separation; or Separation SF-50; or Disability Annuity Termination: Notification from OPM of disability annuity termination AND Separation SF-50 of the last position held; or Military Reserve or National Guard Technician Special Disability Retirement Annuity under 5 U.S.C. 8337(h) or 8456: Certification of special disability retirement annuity from a military department or National Guard Bureau AND Separation SF-50 of the last position held. Failure to submit any of the above mentioned required documents may result in loss of consideration due to an incomplete application package. It is your responsibility to ensure that all required documents have been submitted. If you are relying on your education to meet qualification requirements: Education must be accredited by an accrediting institution recognized by the U.S. Department of Education in order for it to be credited towards qualifications. Therefore, provide only the attendance and/or degrees from schools accredited by accrediting institutions recognized by the U.S. Department of Education . Failure to provide all of the required information as stated in this vacancy announcement may result in an ineligible rating or may affect the overall rating. Benefits  Benefits A career with the U.S. Government provides employees with a comprehensive benefits package. As a federal employee, you and your family will have access to a range of benefits that are designed to make your federal career very rewarding. Learn more about federal benefits . Review our benefits Eligibility for benefits depends on the type of position you hold and whether your position is full-time, part-time, or intermittent. Contact the hiring agency for more information on the specific benefits offered.",TRUE,FALSE,FALSE
"Private duty caregiver in Washington, District of Columbia, 20019",Direct hire by a family,"Washington, DC 20019","Location: Washington, District of Columbia, 20019Duties Needed: Homemaking, Meal Preparation, Companionship, Personal Care, Errands & Transportation, Medication RemindersHours per day: 24Service Hours: Live-In ServicesDays per week: 4-7Start date: FlexiblePayment type: Private payCare options: Direct hire by a familyWho needs the service: Family memberAge: 80Job Type: Full-timeSalary: $160.00 to $180.00 /dayExperience:caregiving: 3 years (Required)",FALSE,FALSE,FALSE
Delivery Driver,"Team Washington, Inc, - Dominos Pizza","Alexandria, VA","Are you looking for a fun filled, fast paced job with lots of opportunity for growth?We deliver that! WE NEED YOU!Smart hustle and results-driven. Demanding and customer-focused. Passionate and innovative. Fun with a family-feel. These arenât words we selected because we think they sound good. This is how actual team members describe the best aspects of the Dominoâs culture.Large Domino's Pizza franchise organization is growing and in need of motivated, friendly individuals for Delivery Experts positions in our Reston, Pan Am, and Centreville store locations. All you need is a great can-do attitude, high energy, and excellent customer rapport! We'll provide the rest.Driving for Domino's pizza is fun, with cash tips earned daily, mileage reimbursed daily and a bi-weekly paycheck. Delivery drivers can earn up to $18 per hour or more! If you are looking for a part-time job, this is the job for you! Applicants must be able to work in the US, should have a safe reliable car, insurance in your name and be able to pass an MVR.Many of our team members began their careers as delivery drivers and today are successful Dominoâs franchise owners. From delivery driver to management, general manager to regional director or franchisee, our stores offer a world of opportunity.Submit your application at https://www.jobs.dominos.com or apply atPAN AMhttps://jobs.dominos.com/dominos-careers/job-listing/5889BR/?Codes=indRESTONhttps://jobs.dominos.com/dominos-careers/job-listing/5904BR/?Codes=indCENTREVILLEhttps://jobs.dominos.com/dominos-careers/job-listing/5894BR/?Codes=indCall or Text Doug @ 703-785-8355MANAGEMENT POSITIONS AVAILABLEÂ¡TE NECESITAMOS! Ajetreo, inteligente y resultados impulsados. Exigente y centrado en el cliente. Apasionado e innovador. DiversiÃ³n con un ambiente familiar. Estas no son palabras que seleccionamos porque creemos que suenan bien. AsÃ­ es como los miembros del equipo real describen los mejores aspectos de la cultura de Domino.La organizaciÃ³n de franquicias de Domino's Pizza estÃ¡ creciendo y necesita personas motivadas y amigables para los puestos de Expertos en Delivery en nuestras oficinas en Pan Am, Reston, o Centreville.Todo lo que necesita es una gran actitud de poder hacer, de alta energÃ­a y excelente relaciÃ³n con el cliente! Proporcionaremos el resto.Conducir para la pizza de Domino es divertido, con consejos de efectivo ganados diariamente, kilometraje reembolsado diariamente y un cheque de pago quincenal. Los conductores de entrega pueden ganar hasta $ 18 por hora o mÃ¡s! Si usted estÃ¡ buscando un trabajo a tiempo parcial, este es el trabajo para usted!Los solicitantes deben ser capaces de trabajar en los EE.UU., debe tener un seguro de coche confiable, seguro a su nombre y ser capaz de pasar un MVR. Muchos de nuestros miembros del equipo comenzaron sus carreras como conductores de entrega y hoy son dueÃ±os exitosos de franquicia de Domino. Desde el conductor de entrega a la gerencia, gerente general a director regional o franquiciado, nuestras tiendas ofrecen un mundo de oportunidades.Porfavor envie su aplicacion a:PAN AMhttps://jobs.dominos.com/dominos-careers/job-listing/5889BR/?Codes=indRESTONhttps://jobs.dominos.com/dominos-careers/job-listing/5904BR/?Codes=indCENTREVILLEhttps://jobs.dominos.com/dominos-careers/job-listing/5894BR/?Codes=indLlama o Manda un text a Doug 703-785-8355Job Types: Full-time, Part-timeSalary: $11.50 to $17.00 /hourJob Types: Full-time, Part-timeSalary: $7.25 to $17.00 /hourExperience:Driving: 1 year (Required)License or certification:Driver's License (Required)",FALSE,FALSE,FALSE
Account Executive - Outside Sales,CHUTE MASTER ENVIRONMENTAL,"Washington, DC","Growing Indoor Environmental Company is seeking a disciplined, motivated candidate to join its Sales Team. The position is a true outside sales opportunity complete with commissions and bonus structure. Territory is for Washington DC/ Northern VA/ Maryland area. Some college course work is preferred - Serious Candidates only - Safe, Clean automobile and drivers license requiredJob Type: Full-timeSalary: $50,000.00 /yearExperience:Sales: 2 years (Preferred)",FALSE,FALSE,FALSE
Patient Services Coordinator/Medical Assistant,1138,"Washington, DC 20003","Facility open daily including weekends and holidays Serves as the initial contact person at the medical practice, principally responsible for all front desk and reception activies. As needed, cross-trained to assist the back office as a Medical Assistant/Clinical Care Specialist/MA either during normal front office shirt or as back up for unplanned or scheduled CSS absences. Greets patients in a service oriented and professional manner, answers phones, monitors the reception area for patient comfort and potential emergencies, registers and submits charges for patients. Assists in coordinating patient care from an administrative perspective.  Qualifications  EDUCATION: High school graduation or equivalent; completion of an approved Medical Assistant program.  EXPERIENCE: 1 year experience working in an ambulatory care medical office, preferably in a paperless environment; minimum of externship in a medical or ambulatory health setting. 2 years back office medical experience strongly preferred.  LICENSE/CERT/REG: CMA (Certified Medical Assistant) by the American Association of Medical Assistants or RMA (Registered Medical Assistant) through the American Medical Technologists within 6 months from hire date; CPR Certification.  SKILLS: Ability to type 40 words per minute; basic computer skills; excellent verbal /written communication and customer service skills. Clinical competency as verified during the initial 90 day orientation period and annually thereafter. Computer and Electronic Medical Record skills and ability to function in a variable clinical setting.",FALSE,FALSE,FALSE
Medical Assistant/Medical Receptionist,1042,"Clinton, MD 20735","Serves as the initial contact person at the medical practice, principally responsible for all front desk and reception activities. As needed, cross-trained to assist the back office as a Medical Assistant either during normal front office shift or as back up for unplanned or scheduled absences. Greets patients in a service oriented and professional manner, answers phones, registers patients, collects co-payments, updates demographic and insurance information, and provides patients with follow up appointments and requisitions for tests. Performs clinical duties under the delegation of a physician in an ambulatory setting.  Qualifications  EDUCATION: High school graduation or equivalent; completion of an accredited Medical Assistant program preferred.  EXPERIENCE: Externship experience in a medical office or ambulatory health setting strongly preferred; experience working with electronic medical records preferred.  LICENSE/CERT/REG: CMA (Certified Medical Assistant) by American Association of Medical Assistants, or RMA (Registered Medical Assistant) through American Medical Technologists or equivalent within 6 months of hire. CPR certification.  SKILLS: Ability to type 40 words per minute; basic computer skills; excellent verbal /written communication and customer service skills. Clinical competency as verified during the initial 90 day orientation period and annually thereafter. Computer and Electronic Medical Record skills and ability to function in a variable clinical setting.",TRUE,FALSE,FALSE
Dog Walker,Wag!,"Washington, DC","Wag, the on-demand dog walking app, is seeking qualified dog lovers to join the platform.Are you an animal lover with dog care experience looking for part-time work? Then you can earn up to $30/hr walking dogs with Wag!Do You?Prefer working outside?Prefer to make your own schedule?Like being greeted with excitement everyday?Have You Ever?Been a dog walker, or dog sitter?Been an animal, or dog shelter volunteer?Owned a dog before?Are You?Familiar with basic training commands?Friendly and outgoing?Professional and reliable?RequirementsMust be over 18 years oldMust own an iPhone 5, or Android 4.2 or newerAbout Wag!Wag! is an on-demand dog walking service to instantly find and book a reliable, experienced and trustworthy dog walker to care for your pet when your schedule doesn't permit.Proudly featured in Forbes Magazine, Tech Crunch, NY Times, The Wall Street Journal, Chelsea Handler and much more, Wag! connects dog owners with only the best and most experienced dog walkers and sitters.Job Type: Contract",FALSE,FALSE,FALSE
