source,target
1: no poverty,1.1.2: Poverty gap ratio at US$ 1.25 per day
1: no poverty,1.1.3: Poverty $1.9 Per day
1: no poverty,1.1.4: Per capita Gross National Income (GNI) (US$)
1: no poverty,1.2.1: Population below national poverty line
1: no poverty,1.2.2: Women of all ages below national poverty line
1: no poverty,1.2.3: Children of all ages below national poverty line
1: no poverty,1.3.1: Social protection expenditure in total budget
1: no poverty,1.3.2: Population covered by social protection
1: no poverty,1.3.2: Employed people living below US$ 1.25 per day in total employment
1: no poverty,1.4.1: Multidimensional Poverty Index (MPI)
1: no poverty,1.4.2: Share of bottom quintile in national consumption (%)
1: no poverty,1.4.3: Households having access to market center within 30 min walk
1: no poverty,1.4.4: Households covered by formal financial services (% of total)
1: no poverty,1.4.5: Households having property/tangible assets in women’s name (% of total)
1: no poverty,1.5.1: Loss of lives from disaster (number)
1: no poverty,"1.5.2: Missing persons and persons affected by disaster per 100,000 (number)"
1: no poverty,1.5.3: Economic vulnerability index (EVI)
1: no poverty,1.a.1: Proportion of resources allocated by the govt directly to poverty reduction program
1: no poverty,"1.a.2: Proportion of total govt spending on essential services (education, health and social protection)"
2: zero hunger,2.1.1: Prevalence of undernourishment (%)
2: zero hunger,2.1.2: Population spending more than two-third of total consumption on food (%)
2: zero hunger,2.1.3: Per capita food grain production (Kg)
2: zero hunger,2.1.4: Global Food Security Index (Score)
2: zero hunger,2.2.1: Underweight children under five years of age (-2 Standard Deviation)
2: zero hunger,2.2.2: Stunting (low height for age) children under five years of age (-2SD)
2: zero hunger,2.2.3: Wasting (low weight for height) children under five years of age (-2SD) %
2: zero hunger,2.2.4: Population below minimum level of dietary energy consumption (%)
2: zero hunger,2.2.5: Anaemia among women of reproductive age (Adolescent girls) (%)
2: zero hunger,2.2.6: Anaemia among children under five years of age
2: zero hunger,2.2.7: Children aged 6-23 months consuming Minimum Acceptable Diet (MAD) (%)
2: zero hunger,2.2.8: Adolescent population with low BMI (< 18) (%)
2: zero hunger,2.2.9: Prevalence of exclusive breastfeeding (%)
2: zero hunger,2.3.1: Land productivity (metric ton per hectare)
2: zero hunger,2.3.2: Fertilizer use (kg per hectare)
2: zero hunger,2.3.3: Access to finance for agriculture (agri loan as % of total bank loans)
2: zero hunger,2.3.4: Seed replacement rate (%) 14
2: zero hunger,2.3.5: Round the year irrigated land in total arable land (%)
2: zero hunger,2.3.6: Agriculture insurance coverage (% of agriculture households)
2: zero hunger,2.3.7: Proportion of landless farmers (%)
2: zero hunger,2.4.1: Agricultural land at the present level (000 hectare)
2: zero hunger,2.4.2: Cereal grain (Rice) productivity (metric ton per hectare)
2: zero hunger,2.4.3: Soil erosion
2: zero hunger,2.4.4: Pesticide uses in agricultural production
2: zero hunger,2.4.5: Bio-fertilizers in agricultural production (kg per hectare)
2: zero hunger,2.5.1: Establish DNA bank for variety of seeds (number)
2: zero hunger,2.5.2: Establish DNA bank for variety of plants (number)
2: zero hunger,2.5.3: Establish DNA bank for endangered animal species (number)
2: zero hunger,2.5.4: Community Seed banks (number)
2: zero hunger,2.a.1: Government Expenditure in agriculture (% of total budget)
3: good heath and well-being,"3.1.1: Maternal mortality ratio (per 100,000 live births)"
3: good heath and well-being,3.1.2: Live births attended by skilled birth attendants
3: good heath and well-being,"3.2.1: Under-five mortality rate (per 1,000 live births)"
3: good heath and well-being,"3.2.2: Neonatal mortality rate (per 1,000 live births)"
3: good heath and well-being,3.3.1.1: HIV prevalence for the overall population aged 15-49 years
3: good heath and well-being,3.3.1.2: HIV prevalence among men and women aged 15–24 years (%)
3: good heath and well-being,3.3.1.3: Population with advanced HIV infection receiving Antiretroviral combination therapy (%)
3: good heath and well-being,"3.3.2: Prevalence of TB per 100,000 population"
3: good heath and well-being,3.3.3.1: Total number of confirmed Malaria cases
3: good heath and well-being,3.3.3.2: Malaria new incidence rate per 1000 population
3: good heath and well-being,3.3.4.1: Hepatitis B incidence per 1000 population
3: good heath and well-being,3.3.4.2: Confirmed Hepatitis cases (number)
3: good heath and well-being,3.3.4.3: Laboratory confirmed cases of Hepatitis A (number)
3: good heath and well-being,3.3.4.4: Cases of unspecified viral Hepatitis (number)
3: good heath and well-being,3.3.5.1: Registered prevalence rate of leprosy
3: good heath and well-being,3.3.5.2: Average prevalence of Lymphatic Filariasis
3: good heath and well-being,3.3.5.3: Cases of Dengue (number)
3: good heath and well-being,3.3.5.4: People who die annually due to rabies (number)
3: good heath and well-being,3.3.5.5: Active Trachoma cases (number)
3: good heath and well-being,3.3.5.6: Average prevalence of Soil Transmitted Helminthes among school going children
3: good heath and well-being,"3.3.6.1: Incidence of Diarrhea (per 1,000 under 5 years children)"
3: good heath and well-being,3.3.6.2: Children under age 5 with Diarrhea in the last 2 weeks
3: good heath and well-being,3.3.6.3: Cases of Typhoid (number)
3: good heath and well-being,3.3.6.4: Cases of Cholera (number)
3: good heath and well-being,3.3.7.1: Laboratory confirmed cases of Japanese Encephalitis (JE) (number)
3: good heath and well-being,3.3.7.2: Laboratory confirmed cases of Influenza (H1N1) (number)
3: good heath and well-being,"3.4.1.1: Probability of dying between ages 30 and 70 from Cardiovascular Diseases (CVDs), Cancers, Chronic Respiratory Diseases and Diabetes,"
3: good heath and well-being,3.4.1.2: Deaths from Non-communicable Diseases (NCDs) out of all Deaths (%)
3: good heath and well-being,3.4.1.3: Deaths from CVDs out of all Deaths (%)
3: good heath and well-being,3.4.1.4: Deaths from Cancers out of all Deaths (%)
3: good heath and well-being,3.4.1.5: Deaths from Chronic Obstructive Pulmonary Diseases (COPD) out of all Deaths
3: good heath and well-being,3.4.1.6: Deaths from Diabetes out of all Deaths (%)
3: good heath and well-being,3.4.1.7: People (aged 15 – 69) with raised Total Cholesterol (?190 mg/dl) (%)
3: good heath and well-being,3.4.1.8: People (aged 15 – 69) with raised Blood Pressure levels (SBP ? 140 and/or DBP ? 90 mm Hg or not currently on medication for raised blood pressure (%)
3: good heath and well-being,3.4.1.9: People (aged 15 – 69) not engaging in vigorous activity (%)
3: good heath and well-being,3.4.1.10: People (aged 15 – 69) who are overweight (%)
3: good heath and well-being,3.4.1.11: People (aged 15 – 69) who currently drink or drank alcohol in the past 30 days (%)
3: good heath and well-being,3.4.1.12: People (aged 15 – 69) who currently smoke tobacco daily (%)
3: good heath and well-being,3.4.2.1: Mental health problems (%)
3: good heath and well-being,"3.4.2.2: Suicide rate (per 100,000 population)"
3: good heath and well-being,"3.4.2.3: Women (aged 15 – 24) , very or somewhat satisfied with their life (%)"
3: good heath and well-being,3.5.2.1: % of people who received pharmacological treatment for substance use disorders
3: good heath and well-being,3.5.2.2: % of people who received psychosocial treatment for substance use disorders
3: good heath and well-being,3.5.2.3: Alcohol use disorders and alcohol dependence (% of 15 years plus population)
3: good heath and well-being,3.5.2.4: Alcohol consumption per capita (15 plus) in liters
3: good heath and well-being,3.5.2.5: Estimated number of hard drug users
3: good heath and well-being,"3.6.1.1: RTA Mortality (per 100,000 population)"
3: good heath and well-being,"3.6.2.1: Serious Injuries (per 100,000 population)"
3: good heath and well-being,"3.6.2.2: Slight Injuries (per 100,000 population)"
3: good heath and well-being,3.7.1: Contraceptive prevalence rate (modern methods)
3: good heath and well-being,3.7.2: Proportion of births attended by Skilled Birth Attendant (SBA) (%)
3: good heath and well-being,"3.7.3: Adolescent Fertility Rate (births per 1,000 women age 15-19 years)"
3: good heath and well-being,3.7.4: Institutional delivery (%)
3: good heath and well-being,"3.7.5: Postnatal Care (PNC) for mothers (mothers who received care within two days of childbirth, (%))"
3: good heath and well-being,3.7.6: Unmet need for family planning (%)
3: good heath and well-being,3.7.7: Total Fertility Rate (TFR) (births per women aged 15-49 years) (%)
3: good heath and well-being,3.7.8: Households within 30 minutes travel time to health facility (%)
3: good heath and well-being,3.7.9: Uterine prolapsed among women of reproductive age (15-49 years) (%)
3: good heath and well-being,3.8.1.1: Women having 4 antenatal care visits as per protocol (among live births) %
3: good heath and well-being,3.8.1.2: Tuberculosis treatment success rate
3: good heath and well-being,3.8.1.3: People living with HIV enrolled in ART (%)
3: good heath and well-being,3.8.1.4: Population aged 18 years and above with raised blood glucose who are currently taking medication (%)
3: good heath and well-being,3.8.1.5: Population aged 18 years and above with raised blood glucose who are currently taking medication (%)
3: good heath and well-being,"3.8.1.6: Children age 12-23 months who received all vaccinations (Measles, BCG, OVP3, DPT3, HepB3, Hib3, etc.) recommended in the national immunization schedule by their first birthday (%)"
3: good heath and well-being,3.8.2.1: People covered by health insurance or a public health system (%)
3: good heath and well-being,3.8.2.2: Incidence of impoverishment due to OOP expenditure in health (%)
3: good heath and well-being,3.8.2.3: ART Coverage (%)
3: good heath and well-being,"3.9.1: Mortality attributed to unsafe water, unsafe sanitation and lack of hygiene (exposure to unsafe water, sanitation and hygiene for all WASH Services (%)"
3: good heath and well-being,"3.9.2.1: Deaths from hazardous chemicals (toxic substances, pesticides, etc) (number)"
3: good heath and well-being,"3.9.2.2: Illnesses from hazardous chemicals (toxic substances, pesticides, etc) (number)"
3: good heath and well-being,3.9.3: Mortality attributed to households and ambient air pollution (%)
3: good heath and well-being,3.b.1: Percentage of ODA out of health sector budget
3: good heath and well-being,3.b.2: Percent of ODA spent in health system research and development - - - - -
3: good heath and well-being,3.c.1: Health worker population ratio (per 1000 population)
3: good heath and well-being,3.c.2: Expenditure on health as a proportion of total budget expenditure
3: good heath and well-being,"3.d.1: Percentage of health facilities reporting on early warning system (epidemic, flood, etc.) for health risk reduction within 24 hours"
3: good heath and well-being,3.d.2: Percentage of health facilities reporting on disease outbreak within 24 hours
4: quality education,4.1.1: Net enrolment rate in primary education (%)
4: quality education,4.1.2: Primary completion rate (%)
4: quality education,4.1.3: Proportion of pupils enrolled in grade one who reach grade eight (%)
4: quality education,4.1.4: Ratio of girls (to boys) enrolled in grade one who reach grade eight
4: quality education,4.1.5: Ratio of girls (to boys) enrolled in grade one who reach grade twelve
4: quality education,4.1.6: Ratio of students to teacher in basic education (up to 8 level)
4: quality education,4.1.7: Ratio of students to teacher in secondary education (up to 12 level)
4: quality education,4.1.8: Proportion of trained teachers in primary and secondary education (% of total teachers)
4: quality education,"4.1.9: Learning Achievement / Score (Math, Nepali and English) for Class"
4: quality education,4.1.10: Gross Enrollment secondary education (grade 9 to 12)
4: quality education,4.2.1: Coverage of child grant for pre-primary education (number in ‘000)
4: quality education,4.2.2: Day meal program coverage (%)
4: quality education,4.2.3: Attendance to early childhood education (Gross Enrollment) (%)
4: quality education,4.3.1: Ratio of girls enrollment in technical and vocational education
4: quality education,4.3.2: Ratio of girls enrollment in tertiary education (graduate level)
4: quality education,4.3.3: Scholarship coverage (% of total students)
4: quality education,"4.4.1: Youth and adults having technical and vocation skills (number in ‘000, annual)"
4: quality education,4.4.2: Working age population with technical and vocational training (%)
4: quality education,4.4.3: Internet users (percent of adult population)
4: quality education,4.5.1: Gender parity index (GPI) (primary school)
4: quality education,4.5.2: Gender Parity Index (GPI) (secondary school)
4: quality education,4.5.3: Gender Parity Index (GPI) based on literacy (above 15 years)
4: quality education,4.6.1: Literacy rate of 15-24 years old (%)
4: quality education,4.6.2: Literacy rate of 15-24 years old (women) (%)
4: quality education,4.6.3: Numeracy all (who can read and write numeric terms) of 15 years and older (%)
4: quality education,4.6.4: Numeracy of female (who can read and write numeric terms) of 15 years and older (%)
4: quality education,4.6.5: Public spending per student (Basic education in ‘000)
4: quality education,4.7.1: Human assets index
4: quality education,4.7.2: Gender development index 
4: quality education,"4.7.3: Extent to which (i) global citizenship education and (ii) education for sustainable development, including gender equality and human rights, are mainstreamed at all levels in: (a) national education policies, (b) curricula, (c) teacher education and (d) student assessment (In scale of 0 to 5: Where ""0"" is none) - - - - -"
4: quality education,4.a.1: Schools with access to electricity (%) - - - - -
4: quality education,4.a.2: Schools with access to internet (%)
4: quality education,"4.a.3: Schools with ""WASH"" facilities (%)"
4: quality education,4.a.4: Disability friendly schools (%)
4: quality education,"4.c.1: Proportion of teachers in primary education who have received at least the minimum organized teacher training, (%)"
4: quality education,"4.c.2: Proportion of teachers in basic education who have received at least the minimum organized teacher training, (%)"
5: gender equality,5.1.1: Wage Equality for Similar Work
5: gender equality,5.1.2: Gender Inequality Index
5: gender equality,5.1.3: Gender Empowerment Measurement (Index)
5: gender equality,5.2.1: Sex ratio at birth (female to male)
5: gender equality,5.2.2: Ratio of women to men in healthy life expectancy
5: gender equality,5.2.3: Women aged 15-49 years who experience Physical / sexual violence
5: gender equality,5.2.4: Girls Trafficking (in number)
5: gender equality,5.3.1: Women aged 15-19 years who are married or in union (%)
5: gender equality,5.3.2: Lifetime Physical and/or Sexual violence (%)
5: gender equality,5.3.3: Discrimination for Chhaupadi and mensturation (%)
5: gender equality,5.3.4: Children age 1-14 years who experienced psychological aggression or physical punishment during the last one month (%)
5: gender equality,5.4.1: Ratio of women to men participation in labour force
5: gender equality,5.4.2: Average hours spent in domestic work by women
5: gender equality,5.4.3: Social protection coverage of women in informal market
5: gender equality,5.5.1: Seats held by women in the national parliament (%)
5: gender equality,5.5.2: Seats held by women in the local government bodies (%)
5: gender equality,5.5.3: Seats held by women in provincial parliament (%)
5: gender equality,5.5.4: Women's participation in decision making level in the private sector (%)
5: gender equality,5.5.5: Women's participation in cooperative sector (%)
5: gender equality,5.5.6: Women in public service decision making positions (% of total employees)
5: gender equality,5.5.7: Ratio of women to men in professional and technical workers (%)
5: gender equality,5.6.1: Awareness about reproductive rights among girls and women (%)
5: gender equality,"5.6.2: Receiving specific support and service provisions related to sexual health care to the poor, discriminated and marginalized groups (%)"
5: gender equality,5.a.1: Proportion of pro-gender budget (directly benefiting women) (%)
5: gender equality,5.a.2: Number of enterprises owned by women
5: gender equality,5.a.3: Women's ownership of property (land and house)
5: gender equality,5.b.1: Exposure to mass media by women aged 15-49 years (%)
5: gender equality,5.b.2: Use of computers by women aged 15-24 years (%)
5: gender equality,5.b.3: Use of Internet by women aged 15-24 years (%)
6: clean water and sanitation,6.1.1: Household with access to piped water supply (%)
6: clean water and sanitation,6.1.2: Basic water supply coverage (%)
6: clean water and sanitation,6.1.3: Households with E. coli risk level in household water ? 1 cfu/100ml) (%)
6: clean water and sanitation,6.1.4: Household with E. coli risk level in source water ? 1 cfu/100ml (%)
6: clean water and sanitation,6.1.5: Population using safe drinking water (%)
6: clean water and sanitation,6.1.6: Turbidity (Nephelometric turbidity unit - NTU) (%)
6: clean water and sanitation,6.2.1: Households using improved sanitation facilities which are not shared (%)
6: clean water and sanitation,6.2.2: Proportion of population using latrine (%)
6: clean water and sanitation,6.2.3: Local authority areas that have declared Open Defecation Free (%)
6: clean water and sanitation,6.2.4: Sanitation coverage (%)
6: clean water and sanitation,6.2.5: Urban households with toilets connected to sewer systems/ proper FSM (%)
6: clean water and sanitation,6.3.1: Proportion of untreated domestic waste water (%)
6: clean water and sanitation,6.3.2: Proportion of untreated industrial waste water (%)
6: clean water and sanitation,6.3.3: Proportion of bodies of water with good ambient water quality
6: clean water and sanitation,6.4.1: Wastage of water while using it (per person per day in liters)
6: clean water and sanitation,6.4.2: Wastage of water – Irrigation
6: clean water and sanitation,6.4.3: Availability of freshwater (per person per day in liters)
6: clean water and sanitation,6.4.4: Level of water stress: freshwater withdrawal as a proportion of available freshwater resources
6: clean water and sanitation,6.4.5: Non- Revenue Water
6: clean water and sanitation,6.5.2: Proportion of trans boundary basin area with an operational arrangement for water cooperation
6: clean water and sanitation,6.6.2: Extraction of ground water
7: affordable and clean energy,7.1.1: Per capita energy (final) consumption (in GJ)
7: affordable and clean energy,7.1.2: Proportion of population access to electricity (%)
7: affordable and clean energy,7.1.3: Households using solid fuel as primary source of energy for cooking (%)
7: affordable and clean energy,7.1.4: People using liquid petroleum gas (LPG) for cooking and heating (%)
7: affordable and clean energy,7.1.5: Electricity consumption (k Wh per capita)
7: affordable and clean energy,7.2.1: Share of renewable energy in total energy (final) consumption (%)
7: affordable and clean energy,7.2.2: Installed capacity of hydropower (MW)
7: affordable and clean energy,7.2.3: Grid connected to solar PVC (MW)
7: affordable and clean energy,7.3.1: Commercial energy use per unit of GDP (ToE/mRs)
7: affordable and clean energy,7.3.2: Energy efficiency in Industry ( MJ per 1000 rupees of product)
7: affordable and clean energy,"7.3.3: Efficient lighting systems CFL (in residential & commercial), (%)"
7: affordable and clean energy,"7.3.4: Efficient lighting systems LED (in residential & commercial), (%)"
7: affordable and clean energy,7.3.5: Higher efficiency appliances (in residential & commercial) (%)
7: affordable and clean energy,7.3.6: Electric vehicles in public transport systems (%)
8: decent work and economic growth,8.1.1: Per capita GDP growth
8: decent work and economic growth,8.2.1: Growth of agricultural sector (%)
8: decent work and economic growth,8.2.2: Growth of construction sector (%)
8: decent work and economic growth,8.2.3: Annual growth of real GDP per employed person (%)
8: decent work and economic growth,"8.3.1: Contribution of Micro- ,Small-, and Medium-scale enterprises in GDP (%)"
8: decent work and economic growth,8.3.2: Proportion of informal employment in non-agriculture employment (%)
8: decent work and economic growth,8.3.3: Access to Cooperatives (% of households within 30 min walk)
8: decent work and economic growth,8.4.1: Material Intensity in total manufacturing (Rupees of material input to achieve the output value of Rs 100)
8: decent work and economic growth,8.5.2: Underemployment rate (15-59 y) (%)
8: decent work and economic growth,8.6.1: Youth underemployment rate (%)
8: decent work and economic growth,8.7.1: Children working under hazardous conditions (%)
8: decent work and economic growth,8.8.1: Numbers of fatal and non-fatal occupational injuries
8: decent work and economic growth,8.8.2: Illegal migrant workers to total migrants (%)
8: decent work and economic growth,8.9.1: Tourist arrival (million)
8: decent work and economic growth,8.9.2: Tourism direct GDP as a proportion of total GDP (%)
8: decent work and economic growth,8.9.3: Annual number of jobs in tourism industries (‘000)
8: decent work and economic growth,8.10.1: Life insurance coverage (%)
8: decent work and economic growth,8.10.2: Commercial bank branches per 100000 adult population (number)
8: decent work and economic growth,8.10.3: Automated teller machines per 100000 adult population (number)
8: decent work and economic growth,8.10.4: Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider (%)
9: industry innovation and infrastructure,9.1.1: Road density (km/sq km)
9: industry innovation and infrastructure,9.1.2: Paved road density (km/sq km)
9: industry innovation and infrastructure,"9.1.3: Passenger , by mode of transport (Road)"
9: industry innovation and infrastructure,9.2.1: Industry’s share in GDP (%)
9: industry innovation and infrastructure,9.2.2: Manufacturing value added as a proportion of GDP (%)
9: industry innovation and infrastructure,9.2.3: Manufacturing employment as a proportion of total employment (%)
9: industry innovation and infrastructure,9.3.1: Proportion of small-scale industries integrated to value chain and markets
9: industry innovation and infrastructure,9.4.1: CO2 per capita in manufacturing and construction value added (grams)
9: industry innovation and infrastructure,9.5.1: Research and development expenditure in proportion to GDP (%)
9: industry innovation and infrastructure,9.5.3: Enrollment in Science and Technology in proportion to total enrollment (%)
9: industry innovation and infrastructure,"9.5.4: Proportion of population covered by a mobile network, by technology"
9: industry innovation and infrastructure,9.5.5: Tele density (% of population)
10: reduced inequality,10.1.1: Consumption inequality (measured by the Gini coefficient)
10: reduced inequality,10.1.2: Income inequality (Gini coefficient)
10: reduced inequality,10.1.3: Share of bottom 40% of population in total consumption (%)
10: reduced inequality,10.1.4: Share of bottom 40% of population in total income (%)
10: reduced inequality,10.1.5: PALMA Index
10: reduced inequality,10.2.1: Social Empowerment Index
10: reduced inequality,10.2.2: Economic Empowerment Index
10: reduced inequality,10.2.3: Political Empowerment Index
10: reduced inequality,10.3.1: Proportion of the population reporting having personally felt discriminated against or harassed within the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law
10: reduced inequality,10.3.2: Finished primary school on time (ratio of richest vs poorest quintile)
10: reduced inequality,10.3.3: Childhood free of stunting (ratio of richest vs poorest quintile)
10: reduced inequality,10.4.1: Ratio of wage index to consumer price index
10: reduced inequality,"10.4.2: Labour share of GDP, comprising wages and social protection transfers"
10: reduced inequality,10.4.3: Population receiving social protection transfers (%)
10: reduced inequality,10.5.1: Proportion of farm households covered by microfinance (%)
10: reduced inequality,10.5.2: Financial Risk Index
10: reduced inequality,10.5.3: Global Competitive Index (Score)
10: reduced inequality,10.5.4: Doing Business Index (country ranking)
10: reduced inequality,10.7.1: Proportion of migrants receiving complete orientation before migration
10: reduced inequality,"10.7.2: Recruitment cost borne by migrant labor (average of cost for Malayasia, South Korea and Middle East - USD)"
11: sustainable cities and communities,11.1.1: Population living in slum and squatters (‘000)
11: sustainable cities and communities,11.1.2: Household units roofed with thatched/straw roof (%)
11: sustainable cities and communities,11.1.3: Households living in safe houses (%)
11: sustainable cities and communities,11.2.1: Availability of safe road (%)
11: sustainable cities and communities,11.2.2: Availability of safe public transport (%)
11: sustainable cities and communities,11.2.3: Access to paved road within 30 minutes of walking (%)
11: sustainable cities and communities,11.3.1: Planned new cities (number)
11: sustainable cities and communities,11.3.2: Households residing with 5 and more persons (%)
11: sustainable cities and communities,11.3.3: Proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically
11: sustainable cities and communities,11.3.4: Ratio of land consumption rate to population growth rate
11: sustainable cities and communities,11.4.1: Budget allocated for the protection of natural and cultural heritage (%)
11: sustainable cities and communities,11.4.2: Total number of effected cultural and religious heritage due to earthquake
11: sustainable cities and communities,11.5.1: Houses fully damaged due to earthquake (‘000)
11: sustainable cities and communities,11.5.2: Houses partially damaged due to earthquake (‘000)
11: sustainable cities and communities,11.5.3: Health facilities fully damaged due to earthquake (‘000)
11: sustainable cities and communities,11.5.4: Health facilties partially damaged due to earthquake (‘000)
11: sustainable cities and communities,"11.5.5: Central, district, municipal and village structures fully or partially damaged due to earthquake (number)"
11: sustainable cities and communities,11.5.6: Deaths due to earthquake disaster (number)
11: sustainable cities and communities,11.5.7: Deaths due to other natural disaster (number)
11: sustainable cities and communities,11.5.8: Injuries due to earthquake disaster (number)
11: sustainable cities and communities,11.5.9: Injuries due to other disaster (number)
11: sustainable cities and communities,"11.6.1: Concentration of Total Suspension Particulates (µg/m3, 24 hours’ average)"
11: sustainable cities and communities,"11.6.2: Concentration of Particulate Matters (µg/m3, 24 hours’ average)"
11: sustainable cities and communities,"11.6.3: Concentration of PM2.5 (µg/m3, 24 hours’ average)"
11: sustainable cities and communities,"11.6.4: Concentration of Sulphur Dioxide (µg/m3, 24 hours’ average)"
11: sustainable cities and communities,"11.6.5: Concentration of Nitrogen Dioxide (µg/m3, 24 hours’ average)"
11: sustainable cities and communities,"11.6.6: Concentration of Carbon Monoxide (µg/m3, 8 hours’ average)"
11: sustainable cities and communities,"11.6.7: Concentration of Lead [µg/m3, 12 months’ average)"
11: sustainable cities and communities,"11.6.8: Concentration of Ozone [µg/m3, 8 hours’ average)"
11: sustainable cities and communities,11.6.9: Municipalities provided with sewerage services (%)
11: sustainable cities and communities,11.6.10: Private hospitals segregates wastes (%)
11: sustainable cities and communities,11.7.1: Proportion of open spaces in urban households
11: sustainable cities and communities,11.7.2: Proportion of open spaces in cities
11: sustainable cities and communities,11.7.3: Proportion of women victim of physical or sexual harassment in previous 12 months (%)
11: sustainable cities and communities,"11.a.1: Proportion of population living in cities that implement urban and regional development plans integrating population projections and resource needs, by size"
12: responsible consumption and production,12.2.1: Proportion of total water resource used (%)
12: responsible consumption and production,12.2.2: Use of fossil fuel energy consumption (% of total)
12: responsible consumption and production,12.2.3: Total carbon sink (tons) in forest area
12: responsible consumption and production,12.2.4: Land use for agricultural production (cereal as % of cultivated land)
12: responsible consumption and production,12.2.5: Soil organic matter (%)
12: responsible consumption and production,12.2.6: Consumption of Wood per capita cubic meter)
12: responsible consumption and production,12.3.1: Food waste rate at consumer level (waste per capita)
12: responsible consumption and production,12.3.2: Post harvest loss (%)
12: responsible consumption and production,"12.3.3: Food loss index (% of supply, Cereal)"
12: responsible consumption and production,12.4.1: Use of plastics (per capita in gram per day )
12: responsible consumption and production,12.4.2: Disposal of liquid Industrial waste
12: responsible consumption and production,12.4.3: Disposal of solid Industrial waste
12: responsible consumption and production,12.5.1: Re-cycling of plastics in manufacturing industries (% of industries)
12: responsible consumption and production,12.5.2: Re-use of glass and metal products in manufacturing industries (% of industries)
12: responsible consumption and production,12.6.1: Large and transnational companies adopting sustainable practices (number)
12: responsible consumption and production,12.8.1: Population covered by awareness campaign
12: responsible consumption and production,12.8.2: Extent to which (i) global citizenship education and (ii) education for sustainable development (including climate change education) are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment
12: responsible consumption and production,12.c.1: Eliminate LPG subsidy (as per cent of cost price)
13: climate action,13.1.1: Annual CO2 emission (metric ton per capita)
13: climate action,13.1.2: Consumption of ozone-depleting substance (t)
13: climate action,13.1.3: Green House Gas emission from transport sector (%)
13: climate action,13.1.4: Green House Gas emission from industrial sector (%)
13: climate action,13.1.5: Green House Gas emission from commercial & agricultural sector (%)
13: climate action,13.1.6: GHG emission (CH4) from Agri sector (Gg)
13: climate action,13.1.7: GHG emission (N2O) from Agri sector (Gg)
13: climate action,13.1.8: GHG emission (CO2) from Agri sector (Gg)
13: climate action,13.1.9: GHG emission (CO2) from Industrial sector (cement and lime) (Gg)
13: climate action,"13.1.10: GHG emission (CO2) from energy sector (Industrial, transport & others) (Gg)"
13: climate action,13.2.1: Local adaptation plan preparation (number of village councils)
13: climate action,13.2.2: Community level adaptation plan
13: climate action,13.2.3: Implementation of adaptation plan
13: climate action,13.2.4: Climate smart villages
13: climate action,13.2.5: Climate smart farming
13: climate action,13.3.1: Proportion of schools covered by climate change education (%)
13: climate action,13.3.2: Number of trained persons in climate change mitigation
13: climate action,13.3.3: Number of trained persons (local planners) in climate change adaptation
15: life on land,15.1.1: Forest under community-based management (% of total dense forest areas)
15: life on land,"15.1.2: Conservation area (including forest, in % of total land area)"
15: life on land,"15.1.3: Conservation of lakes, wetlands, and ponds (number)"
15: life on land,15.2.1.1: Handover of forests to leasehold forest groups (000 hectare)
15: life on land,15.2.1.2: Additional plantation (hectare per annum)
15: life on land,15.2.1.3: Additional plantation (seedlings in million per annum)
15: life on land,15.3.1: Rate of forest loss and degradation (%)
15: life on land,15.3.2: Conservation of watershed (number)
15: life on land,15.3.3: Forest Density (Average number of trees Per Hectare)
15: life on land,15.3.4: Conservation of rivulet & river banks through bio-engineering (km)
15: life on land,15.4.1: Potentially dangerous lakes (%)
15: life on land,15.4.2: Mountain ecosystems covered by the protected areas (%)
15: life on land,15.4.3: Mountain Green Cover Index
15: life on land,15.5.1: Threatened flora (medicinal & aromatic plants) (%)
15: life on land,"15.5.2: Threatened fauna (mammals, birds, reptiles, amphibians, fishes, insects, Platyhelminthes, mollusks, etc.) (%)"
15: life on land,15.5.3: Wild tigers (number)
15: life on land,15.5.4: Rhino (number)
15: life on land,15.5.5: Community led anti-poaching units mobilized (number)
15: life on land,15.7.1: Trade of wildlife in RED LIST that was poached or illicitly trafficked
15: life on land,15.8.1: Number of nation–wide survey and research on invasive alien plant species  
15: life on land,15.8.2: Prevented or prohibited imports of invasive alien species (number)
15: life on land,15.9.1: Plant (floral) species under conservation plan (number)
15: life on land,15.9.2: Animal (faunal) species under conservation plan (number)
16: peace justice and strong institutions,16.1.1: Direct deaths from armed and violent conflict (number)
16: peace justice and strong institutions,16.1.2: Displaced people from armed and violent conflict (number)
16: peace justice and strong institutions,16.1.3: Proportion of population that feel safe walking alone around the area they live
16: peace justice and strong institutions,"16.1.4: Proportion of seized small arms and light weapons that are recorded and traced, in accordance with international standards and legal instruments"
16: peace justice and strong institutions,16.2.1: Children age 1-14 years who experienced psychological aggression or physical punishment during the last one month) (%)
16: peace justice and strong institutions,16.2.2: Women age 20-49 years who were first married before age 18 years (%)
16: peace justice and strong institutions,16.2.3: Children trafficking to abroad (including India) per annum (reported number)
16: peace justice and strong institutions,"16.3.1: Transparency, accountability, and corruption in public (score out of 6)"
