Recipient Organization,deliverychannel,,
Commonwealth Secretariat,Multilateral,,
Communaute des Eglises de Pentecote en Afrique,NGOs and CSOs,,
Communauté Evangélique au Kwango (CEK),Other,,
Communautés locales FYROM,NGOs and CSOs,,
Communita Impegno Servizio Volontariato,NGOs and CSOs,,
Community Action Programme,Other,,
Community Activity for Development and Relief Organization,Other,,
Community Aid Abroad,NGOs and CSOs,,
Community Aid for Development,Other,,
Community and Family Services International,NGOs and CSOs,,
Community Appraisal & Motivation Program,NGOs and CSOs,,
Community Appraisal Programme,Other,,
Community Bridge Initiative,NGOs and CSOs,,
Community Chest Korea,NGOs and CSOs,,
Community Development Trust,NGOs and CSOs,,
Community Foundation for Southern Arizona,NGOs and CSOs,,
Community Foundation of Broward,NGOs and CSOs,,
Community Health and AIDS Mitigation Project,NGOs and CSOs,,
Community Humanitarian Emergency Board,Other,,
Community Peace Fund,Other,,
Community Research and Development Organization,NGOs and CSOs,,
Community Technology Development Trust,NGOs and CSOs,,
Community Trust Fund,NGOs and CSOs,,
"Comoros Red Crescent, The",Red Cross,,
Compact AS,Other,,
ConAgra Foods,Other,,
CONCERN,NGOs and CSOs,,
Concern India,NGOs and CSOs,,
Concern Universal,NGOs and CSOs,,
Concern Worldwide,NGOs and CSOs,,
CONCORD,NGOs and CSOs,,
Confident Children out of Conflict,NGOs and CSOs,,
Conflict Dynamics International,NGOs and CSOs,,
"Congo, Democratic Republic of",Public sector,,
"Congo, Republic of",Public sector,,
Connacionales del Extranjero,Other,,
ConocoPhillips,Other,,
Conrad N. Hilton Foundation,NGOs and CSOs,,
Consejo Comunitario Mayor de la Asociación Campesina Integral del Atrato,Other,,
Consolata Sisters,Other,,
Consolata Sisters ,Other,,
Consortium for Assistance to Refugees and the Displaced in Indonesia,NGOs and CSOs,,
Consortium for Assistance to Refugees and the Displaced in Indonesia ,NGOs and CSOs,,
"Consortium for Southern Africa Food Security Emergency (World Vision, CARE, CRS, & ADRA)",NGOs and CSOs,,
Consortium of British Humanitarian Agencies,NGOs and CSOs,,
Consulate General,Other,,
Consultative Group on InterNational Agricultural Research,NGOs and CSOs,,
Continental AG,Other,,
Control Arms,Other,,
ConvaTec,Other,,
Convoy of Hope,NGOs and CSOs,,
Coof Bamako,Other,,
Coof Havanna,NGOs and CSOs,,
Coof Ouagadougou,Other,,
Cook Islands,Public sector,,
Cook Islands Red Cross,Red Cross,,
Cook Islands Red Cross Society,Red Cross,,
Cooperation Andina de Fomento,Multilateral,,
Coopération Humanitaire Luxembourg,Public sector,,
Coopération Technique Belge,Public sector,,
Cooperative for Assistance and Relief Everywhere,NGOs and CSOs,,
Cooperative League of the USA,Other,,
Cooperazione E Sviluppo - CESVI,NGOs and CSOs,,
Cooperazione Internazionale - COOPI,NGOs and CSOs,,
Cooperazione Internazionale Sud Sud,NGOs and CSOs,,
Cooperazione per lo Sviluppo dei Paesi Emergenti - COSPE,NGOs and CSOs,,
Coordinadora Nacional para la Reduccion de Desastres,Public sector,,
Coordinating Action on Small Arms,Multilateral,,
Coordinating Committee for Coastal and Offshore Geo. Progr. in East Southeast Asia,Multilateral,,
Co-ordinating Council Geneva,Multilateral,,
Coordination Institute Humanitarian,Other,,
COPE - The Cooperative Orthotic and Prosthetic Enterprise,NGOs and CSOs,,
Corporacion andina de fomento ,Multilateral,,
Corporación Desarollo y Paz del Magdalena Medio,NGOs and CSOs,,
Corporación Gestión Ecuador,Other,,
Corporacion Opcion Legal,Other,,
Costa Rica,Public sector,,
Costa Rican Red Cross,Red Cross,,
Cote d'Ivoire,Public sector,,
"Council of A Coruna, Spain",Public sector,,
Council of Churches,Other,,
Council of Europe Development Bank,Multilateral,,
Council of Governors - Rotary Korea,Other,,
"Council of Huelva, Spain (thru FAMSI)",Public sector,,
Counselling Services Unit,Other,,
Counter Narcotics Trust Fund (CNTF) Afghanistan,Multilateral,,
Counterpart InterNational,NGOs and CSOs,,
CPH - Comité Protos Haïti,NGOs and CSOs,,
CPR Savers and First Aid Supply,Other,,
CRADA,Other,,
CRAFOD,NGOs and CSOs,,
Crawford & Company,Other,,
CRC - NGO Group for the Convention on the Rights of the Child,NGOs and CSOs,,
Creative Association Inc.,Other,,
Credit Agricole,Other,,
Credit Suisse,Other,,
CRIC - Centro Regionale di Intervento per la Cooperazione,NGOs and CSOs,,
Crisis Management Initiative,NGOs and CSOs,,
Croatia,Public sector,,
Croatia Red Cross,Red Cross,,
Croatian Mine Action Center,Public sector,,
Croatian Red Cross,Red Cross,,
"Crocs, Inc.",Other,,
Croix Rouge Katanga,Red Cross,,
Croix Rouge RDC,Red Cross,,
Cross InterNational Cathoilc Outreach,NGOs and CSOs,,
CROWN AGENTS,Other,,
CRRDC-TD,Other,,
CRS and Private Foundations,Other,,
Cruz Roja Costariricense,Red Cross,,
Cuba,Public sector,,
Culture and Free Thought Association,NGOs and CSOs,,
Cumberland Pharmaceuticals Inc,Other,,
Cummins Foundation,NGOs and CSOs,,
Curaçao Red Cross,Red Cross,,
Custodia Franciscana,Other,,
Custodia Franciscana en Tierra Santa,NGOs and CSOs,,
"CVS Caremark Charitable Trust, Inc.",NGOs and CSOs,,
CWS Japan,NGOs and CSOs,,
Cyprus,Public sector,,
Cyprus Red Cross,Red Cross,,
"Cyprus, Republic of - Permanent Mission to the United Nations Office at Geneva",Public sector,,
Czech Evang. Diacony,NGOs and CSOs,,
Czech Red Cross,Red Cross,,
Czech Rep. Red Cross,Red Cross,,
Czech Republic,Public sector,,
Czech Republic Ministry of Foreign Affairs,Public sector,,
D. Stiftung furn UNO-Fluchtlingshilfe E.V.,NGOs and CSOs,,
Daaralsalam Development Association,NGOs and CSOs,,
Dabane Trust,NGOs and CSOs,,
DAC - Danish Afghan Committee,NGOs and CSOs,,
DAC Aviation InterNational,Other,,
DACAAR,NGOs and CSOs,,
Daewoo,Other,,
Dag Hammarskjold Scholarship Fund for Journalists,Other,,
Daiichi Sankyo,Other,,
"Daiki, Inc.",Other,,
Daimler,Other,,
Damascus People Participation,NGOs and CSOs,,
Danchurchaid,NGOs and CSOs,,
Danchurchaid / Danish De-mining Group,NGOs and CSOs,,
DANIDA,Public sector,,
Danidas Health Sector Programme Support ,Public sector,,
Daniela Punz,Other,,
Danish Assistance to the Self-Reliance Strategy,Public sector,,
Danish Association for InterNational Co-operation,NGOs and CSOs,,
Danish Bilharziasis Laboratory,NGOs and CSOs,,
Danish Committee for Aid to Afghan Refugees,NGOs and CSOs,,
Danish De-mining Centre,NGOs and CSOs,,
Danish De-mining Group,NGOs and CSOs,,
Danish Emergency Management Agency,Public sector,,
Danish Ethiopian Mission,Public sector,,
Danish Fellowship Centre,Public sector,,
Danish Institute for Human Rights,NGOs and CSOs,,
Danish InterNational Life Saving Association,NGOs and CSOs,,
Danish Mission Council,NGOs and CSOs,,
Danish People's Aid,NGOs and CSOs,,
Danish People's Relief Association,NGOs and CSOs,,
Danish Powerlines,Other,,
Danish Production School,NGOs and CSOs,,
Danish Red Cross,Red Cross,,
Danish Refugee Board,NGOs and CSOs,,
Danish Refugee Council,NGOs and CSOs,,
Danish Refugee Council/ICVA,NGOs and CSOs,,
Danish-ethiopia commen initiative,NGOs and CSOs,,
Danmission,NGOs and CSOs,,
Dannon,Other,,
Danube Commission,Multilateral,,
Darden Restaurants,Other,,
Darfur Peace and Stability Fund,Multilateral,,
Dark & Light Foundation,NGOs and CSOs,,
Darya Organization for Developing Woman and Community,NGOs and CSOs,,
Datong,Other,,
Daystar Christian Centre,NGOs and CSOs,,
DCH Auto Group,Other,,
DCP-TV,Other,,
DDPS,Public sector,,
De Norske Pinsemenigheters Ytremisjon,NGOs and CSOs,,
Defense for Children InterNational,NGOs and CSOs,,
DEH Relief and Development Organization,NGOs and CSOs,,
Dejarup,Other,,
Delhaize America Inc,Other,,
DELL,Other,,
Deloitte and Touche,Other,,
Delta Development Program,Other,,
Delvon Assistance for Social Harmony (DASH),NGOs and CSOs,,
Demining Agency for Afghanistan,NGOs and CSOs,,
DEMIRA,NGOs and CSOs,,
Democratic Control of Armed Forces,NGOs and CSOs,,
Democratic Iraqi Women Group,NGOs and CSOs,,
Den norske Advokatforening,Other,,
Den norske dommerforeningen,Other,,
Den norske forfatterforening,Other,,
Den norske Helsingforskomite,NGOs and CSOs,,
Den Norske Kirke,Other,,
Den norske lægeforening - UD-tilskudd,Other,,
Den norske Tibet-komite,Other,,
DENAL,Other,,
Deniz Feneri Association,NGOs and CSOs,,
Deniz Feneri Yardimlasma ve Dayanisma Dernegi,Other,,
Denmark,Public sector,,
DentaQuest,Other,,
Departementenes Servicesenter,Other,,
Department of Defense,Other,,
Department of Ecumenical Relations and Development,NGOs and CSOs,,
Department of Justice and Police,Other,,
Department of Settlement and Regional Infrastructure (Kimpraswil),Public sector,,
Desert Locust Control Organization for Eastern Africa,Multilateral,,
Desjardins,Other,,
Det Mosaiske Trossamfund,Other,,
Det Norske Menneskerettighetsfond,NGOs and CSOs,,
Det norske Misjonsforbund,NGOs and CSOs,,
Detachement d'Intervention contre les Catasrophes et de Formation,NGOs and CSOs,,
Deutsche Bank AG,Other,,
Deutsche Gesellschaft für InterNationale Zusammenarbeit,Public sector,,
Deutsche Gesellschaft fur Technische Zusammenarbeit - GTZ,Public sector,,
Deutsche Stiftung,NGOs and CSOs,,
Deutsche Telekom,Other,,
Deutsche Welthungerhilfe e.V. (German Agro Action),NGOs and CSOs,,
Deutscher Entwicklungsdienst,Public sector,,
Deutsches Institute für Arztliche Mission,Other,,
Deutsches Komitee fur Katastrophenvorsorge e.V.,Public sector,,
Devcon,Other,,
Development Aid from People to People,NGOs and CSOs,,
Development Alternatives Inc.,Other,,
Development and Peace,NGOs and CSOs,,
Development Associates Inc.,Other,,
Development Education Network for Liberia,NGOs and CSOs,,
Development Frontiers International,NGOs and CSOs,,
Development Initiatives,NGOs and CSOs,,
Development Initiatives Access Link,Other,,
Development of Palestinian Farmer Association - Deir Albalah,Other,,
Development Workshop,NGOs and CSOs,,
Developmental Action Without Border (Nabaa),NGOs and CSOs,,
Developpement & Paix,NGOs and CSOs,,
Dewey & LeBoeuf LLP,Other,,
DEZA,Public sector,,
DF Young Inc.,Other,,
DHL InterNational,Other,,
DIA,Other,,
DIA - Social Justice in development,Other,,
DIA Eritrea/ICCO,Other,,
Diageo,Other,,
Diakonia World Federation,NGOs and CSOs,,
"Diakonia, Sweden",NGOs and CSOs,,
Diakonie Austria,NGOs and CSOs,,
Diakonie Emergency Aid,NGOs and CSOs,,
Diakonie Katastrophenhilfe,NGOs and CSOs,,
DIAKONISCHES WERK DER EKD,NGOs and CSOs,,
Dialog Forening,Other,,
Dialog InterNational e.V.,Other,,
Diamer Poverty Alleviation Programme,NGOs and CSOs,,
Digicel Aruba,Other,,
Digicel Foundation,NGOs and CSOs,,
Digicel Group,Other,,
Dinah Falala & Phoebe Sandi Foundation,NGOs and CSOs,,
Dinsons (H. Sheikh Noor-ud-Dini & Sons),Other,,
DIOBASS,Other,,
Diocese de Hwange,Other,,
Diocese of Ambikapur,Other,,
Diocese of Eldoret,Other,,
Diocese of Gbarnga,Other,,
Diocese of Meru,Other,,
Diocese of Padang,Other,,
Diocese of Rumbek,Other,,
Diplomat Freight Services,Other,,
Diplomatische Akademie Wien,NGOs and CSOs,,
Direct Aid,NGOs and CSOs,,
Direct Relief InterNational,NGOs and CSOs,,
DirectAid,NGOs and CSOs,,
Direktoratet for samfunnssikkerhet og beredskap,Public sector,,
Disabled Children's Care Organization,NGOs and CSOs,,
Disaster Mitigation Institute,NGOs and CSOs,,
Disaster Prevention and Preparedness Agency,Other,,
Disaster Prevention and Preparedness Commission Ethiopia,Public sector,,
Disaster Relief Agency,NGOs and CSOs,,
Disaster Resource Network,NGOs and CSOs,,
Disasters Emergency Committee (UK),NGOs and CSOs,,
Discover Financial Services,Other,,
Dispositif National de Prévention et de Gestion des Crises Alimentaires,Other,,
Dissimilis kult.og komp.senter,Other,,
Distribuidora Ambiente,Other,,
Div. Assoc.,Other,,
Div. E+CIS,Other,,
Diverse,Other,,
Djibouti,Public sector,,
Djibouti Red Crescent Society,Red Cross,,
Djibouti Red Cross,Red Cross,,
DJO Incorporated,Other,,
DKKV - German Committee for Disaster Reduction,Public sector,,
DMR,Other,,
Docs Heal Africa,NGOs and CSOs,,
"DOCS HEAL AFRICA, Goma",NGOs and CSOs,,
Doctors of the World,NGOs and CSOs,,
Doctors Worldwide,NGOs and CSOs,,
Documentation Center of  Cambodia,NGOs and CSOs,,
DoES,Other,,
Doha Bank,Other,,
Dollar General Corporation,Other,,
Dominican Republic,Public sector,,
Don Bosco Mondo Prokur,NGOs and CSOs,,
Donegal Peace Centre,Other,,
Donor not reported by agency,Other,,
Dorcas Aid InterNational,NGOs and CSOs,,
Double Harvest,NGOs and CSOs,,
Douleurs san Frontières,NGOs and CSOs,,
Dow Chemical Corporation,Other,,
Dr Pepper Snapple Group ,Other,,
"Dr. Fresh, Inc",Other,,
"DRK, ICRC, IFRC (details not yet provided)",Red Cross,,
DROPS,NGOs and CSOs,,
DryLands Coordination Group,Other,,
DSI - Danish Council of Organizations of Disabled People,NGOs and CSOs,,
Dubai Cares (UAE),NGOs and CSOs,,
Dun & Bradstreet,Other,,
Dunkin Brands,Other,,
DuPont,Other,,
Dutch InterNational Aid,Public sector,,
Dutch Postcode Lottery,Other,,
DWF,Other,,
DynCorp,Other,,
DZI - German Central Institute for Social Issues ,Public sector,,
EADRCC - Euro-Atlantic Disaster Response Coord.Centre,Multilateral,,
Eagle Global Logistics,Other,,
Earthquake Relief Fund for Orphans,NGOs and CSOs,,
East Bay Community Foundation,NGOs and CSOs,,
Eastern Community Development and Humanitarian Organization,NGOs and CSOs,,
Eastman Kodak Charitable Trust,Other,,
Eaton Corp,Other,,
EAUR,Other,,
Eaux de Marseille (Société des),Other,,
eBay Foundation,NGOs and CSOs,,
EC/UNDP Consortium,Other,,
ECCRD,Other,,
Echelle appui au développement,Other,,
Ecolab Inc.,Other,,
Ecole Polytechnique Fédérale De Lausanne,NGOs and CSOs,,
Economic & Social Development Centre of Palestine,NGOs and CSOs,,
Economic Community of West African States,Multilateral,,
Economic Research Forum,NGOs and CSOs,,
Ecuador,Public sector,,
Ecuador Red Cross,Red Cross,,
Ecuadorian Red Cross,Red Cross,,
EDF9,Multilateral,,
Edinburgh Direct Aid,NGOs and CSOs,,
Edith Wilkins Hope Foundation,NGOs and CSOs,,
EDM,Other,,
Education Above All Foundation,NGOs and CSOs,,
Education Action InterNational,NGOs and CSOs,,
Education Development Center,NGOs and CSOs,,
"Education, Health, Social Awareness and Rehabilitation Foundation",NGOs and CSOs,,
EFICOR - Evangelical Fellowship of India Commission on Relief ,NGOs and CSOs,,
Egypt,Public sector,,
Egyptian Red Crescent,Red Cross,,
Egyptian Red Crescent Society,Red Cross,,
Eid Charity,NGOs and CSOs,,
"Eine Welt Kreis, Zell an der Pram",Other,,
Eine Welt-öö Landlerhilfe,Other,,
Eisai Co. Ltd.,Other,,
EITI - Extractive Industry Transparency Initiative,Multilateral,,
El Barde Primary Helath Care Organization,Other,,
El Obeid,Public sector,,
El Ruhama for Development and Humanitarian Aid,Other,,
El Ruhama Organization for Development and Humanitarian Aid,NGOs and CSOs,,
El Salvador,Public sector,,
El Salvador Red Cross,Red Cross,,
Electriciens sans frontières,NGOs and CSOs,,
Electricite de France,Other,,
Elena Trevisanato Onlus Foundation,NGOs and CSOs,,
Eli Lilly ,Other,,
ELIMU,Other,,
EMC Corporation,Other,,
"EMCOR Group, Inc",Other,,
EMERCOM,Public sector,,
EMERCOM/Mongolia,Public sector,,
EMERCOM/Russian Federation,Public sector,,
Emergencies Unit for Ethiopia,Public sector,,
EMERGENCY,NGOs and CSOs,,
Emergency Action Uganda,Other,,
Emergency Architects,NGOs and CSOs,,
Emergency Life Support for Civilian War Victims,Other,,
Emergency Management Unit,Other,,
Emergency Nutrition Network,NGOs and CSOs,,
Emergency Organization Group Copenhagen,Other,,
Emergency Relief InterNational,NGOs and CSOs,,
Emergency Response Fund (OCHA),Multilateral,,
Emmanuel InterNational,NGOs and CSOs,,
Emmanuel InterNational of Canada,NGOs and CSOs,,
Emmaüs InterNational,NGOs and CSOs,,
Empress Shoken Fund,Other,,
ENDESA Group,Other,,
Energy Regulators Regional Association,Other,,
Enfance Tiers Monde asbl,NGOs and CSOs,,
Enfants de Cusco,NGOs and CSOs,,
Enfants des rizières,NGOs and CSOs,,
Enfants du Monde,NGOs and CSOs,,
Enfants du Monde - Droits de l'Homme,NGOs and CSOs,,
Enfants et Développement,NGOs and CSOs,,
Enfants Refugies du Monde ,NGOs and CSOs,,
Eng Oppen Hand fir Malawi,NGOs and CSOs,,
Enhanced Online News,Other,,
Ensemble Contre la Peine de Mort,Other,,
Entrepreneurs du Monde,NGOs and CSOs,,
Environment Africa,NGOs and CSOs,,
EO metterdaad,Other,,
EPER Lausanne,NGOs and CSOs,,
EPI-Center,NGOs and CSOs,,
"Episcopal Conference, Peru",NGOs and CSOs,,
Episcopal Relief and Development,Other,,
EPRO,Other,,
EP-Team,Other,,
Equate Petrochemical,Other,,
Equatorial Guinea,Public sector,,
Equatorial Guinea ,Public sector,,
Equilibre,NGOs and CSOs,,
EQUIP Liberia,NGOs and CSOs,,
EQUITAS - InterNational Centre for Human Rights Education,NGOs and CSOs,,
ERF Recipients,Multilateral,,
ERF Recipients Outside Appeals,Multilateral,,
ERIC,NGOs and CSOs,,
Ericsson,Other,,
Erika Weissenböck,Other,,
"Erikshjälpen, Sweden",NGOs and CSOs,,
Eritrea,Public sector,,
Ernesto Sabato Foundation,NGOs and CSOs,,
Espana con ACNUR,Multilateral,,
ESPE,Other,,
Esperanza InterNational Foundation,NGOs and CSOs,,
Estonia,Public sector,,
Estonia Red Cross,Red Cross,,
Estonian Disaster Relief Team ,Public sector,,
Estonian Public Service Academy,Public sector,,
Estonian Public Service Academy ,Public sector,,
Estonian Rescue Board ,Public sector,,
Estonian Veterinary and Food Laboratory,Other,,
ETANA Press,NGOs and CSOs,,
Ethiopia,Public sector,,
Ethiopian Mine Action Center,NGOs and CSOs,,
Ethiopian Muslims Relief and Development Association,NGOs and CSOs,,
Ethiopian Orthodox Church,Other,,
Ethiopian Red Cross,Red Cross,,
Ethiopian Red Cross Society,Red Cross,,
ETHZ/SED/CRAAG,Other,,
EU Special Representative,Public sector,,
EU/DFSIS,Public sector,,
Eugene Bell Foundation,NGOs and CSOs,,
Eurest Personalrestauranter AS,Other,,
Euro-Mediterranean Foundation of Support to Human Rights Defenders,NGOs and CSOs,,
EuronAid,NGOs and CSOs,,
European Agency for Reconstruction,Public sector,,
European Centre for Common Ground/Common Ground,NGOs and CSOs,,
European Centre for Conflict Prevention,NGOs and CSOs,,
European Children's Trust,NGOs and CSOs,,
European Commission,Public sector,,
European Commission Civil Protection Mechanism,Public sector,,
European Commission Directorate General for Development,Public sector,,
European Commission EuropeAid Co-operation Office,Public sector,,
European Commission EuropeAid Development and Cooperation,Public sector,,
European Commission Humanitarian Aid Office,Public sector,,
European Commission Rapid Reaction Mechanism,Public sector,,
European Committe for Agriculture and Training,NGOs and CSOs,,
European Committee for Agriculture and Training,Other,,
European Grassroots Antiracist Movement,Other,,
European Investment Bank,Multilateral,,
European Perspective,NGOs and CSOs,,
European Union,Public sector,,
European Union Border Assistance Mission,Public sector,,
European Union Programme Support Unit 1,Public sector,,
European Union Programme Support Unit 2,Public sector,,
Ev. Zentralstelle e.V.,Other,,
Evangelical Children Rehabilitation Programme,NGOs and CSOs,,
Evangelical Development Programme,Other,,
Evangelical Devolpment Programme,Other,,
Evangelical Fellowship of India Commission on Relief,Other,,
Exactmobile (South Africa),Other,,
Excelon Corporation,Other,,
EXNORA,NGOs and CSOs,,
Experts Comptables Associés,Other,,
ExxonMobil,Other,,
"F. M. Kirby Foundation, Inc.",NGOs and CSOs,,
Fact Mutare,NGOs and CSOs,,
Faeroe Islands,Public sector,,
FAFO ,NGOs and CSOs,,
Faire Face,Other,,
Fairfax County Search and Rescue,Public sector,,
Fairmed,NGOs and CSOs,,
FAIRMED Foundation,NGOs and CSOs,,
Fairmount Minerals Foundation,NGOs and CSOs,,
Family Charitable Organisation,Other,,
Family Empowerment and Relief Organisation,Other,,
Family Health InterNational,Other,,
Family Planning Organization of the Philippines,NGOs and CSOs,,
FAO/UNDP,Multilateral,,
FAO/WFP,Multilateral,,
FAR/IRC,Other,,
FAREM,Other,,
FARM Africa,NGOs and CSOs,,
Farm Community Trust of Zimbabwe,NGOs and CSOs,,
Farmer Life Development Agency,Other,,
Farmers Insurance,Other,,
Farmers Integrated Development Association,Other,,
Faroe Islands,Public sector,,
Fazilia Trust Pakistan,Other,,
FE Y ALEGRIA,Other,,
FEA Austria DFA/UFAEG,Public sector,,
FED. I. D. Ligues/Droits l'homme,NGOs and CSOs,,
Federal Foreign Office,Public sector,,
Federation des ONG laiques à Vocation Economique du Congo ,NGOs and CSOs,,
Federation InterNationale de Football Association (FIFA),Other,,
Federation of Women Lawyers in Kenya,Other,,
FedEx,Other,,
Feed My Starving Children,NGOs and CSOs,,
Feed the Children,NGOs and CSOs,,
Feed the Hungry,NGOs and CSOs,,
Feinstein Center,NGOs and CSOs,,
Fellowship for African Relief,NGOs and CSOs,,
Fellowship for African Relief ,NGOs and CSOs,,
FERT,Other,,
FEWS,Public sector,,
FGMed,NGOs and CSOs,,
Fiat Group,Other,,
FICASE,NGOs and CSOs,,
Fida InterNational (previously Finnish Free Foreign Mission),NGOs and CSOs,,
FIDCON,Other,,
Fifth Third Bank,Other,,
Fiji,Public sector,,
Fiji Institution of Engineers,NGOs and CSOs,,
Fiji Red Cross,Red Cross,,
Fiji Red Cross Society,Red Cross,,
FIJIWater,Other,,
Film Aid,NGOs and CSOs,,
Finca,Other,,
Finland,Public sector,,
Finland Red Cross,Red Cross,,
Finnchurchaid,NGOs and CSOs,,
Finnchurchaid/Mines Advisory Group,NGOs and CSOs,,
Finnish Red Cross,Red Cross,,
Finnish Red Cross/Cambodian Red Cross,Red Cross,,
Firemen without Borders,NGOs and CSOs,,
First Data Corporation,Other,,
First Moscow Gymnasium,NGOs and CSOs,,
First National Bank of Namibia,Other,,
Fishermen of Christ Incorporated Philippines,NGOs and CSOs,,
Flakstad Kommune,Other,,
Flanders Cooperation ,Other,,
Flanders InterNational Red Cross Society,Red Cross,,
Fleet Forum,NGOs and CSOs,,
Flemish Office for Development Co-Operation and Technical Assistance,NGOs and CSOs,,
Flood Damage Rehabilitation Committee,NGOs and CSOs,,
Floresta Ayiti [Plant With Purpose],Other,,
Florida InterNational University,NGOs and CSOs,,
Floridon Foundation,NGOs and CSOs,,
Flowserve,Other,,
Flüchtlingshilfe Langen e.V.,NGOs and CSOs,,
FMYY,Other,,
FOCUS Humanitarian Aid,NGOs and CSOs,,
Focus Humanitarian Assistance,NGOs and CSOs,,
FOCUS InterNational,NGOs and CSOs,,
Foley Hoag LLP,Other,,
Folkekirkens Nodhjaelp,NGOs and CSOs,,
Fondasyon Kole Zepol,NGOs and CSOs,,
Fondation Assistance InterNationale,NGOs and CSOs,,
Fondation Caritas Luxembourg,NGOs and CSOs,,
Fondation Chreschte mam Sahel,NGOs and CSOs,,
Fondation de France,NGOs and CSOs,,
Fondation de l'Ordre de Malte pour le Liban,NGOs and CSOs,,
Fondation Femmes plus,NGOs and CSOs,,
Fondation Hirondelle,NGOs and CSOs,,
Fondation InterNationale Carrefour,NGOs and CSOs,,
Fondation Luxembourgeoise Raoul Follereau,NGOs and CSOs,,
Fondation Meninos e Meninas de Rua,NGOs and CSOs,,
Fondation Orient Occident ,NGOs and CSOs,,
FONDATION POUR L INSTITUT,NGOs and CSOs,,
Fondation Raoul Follereau,NGOs and CSOs,,
Fondation Suisse pour le Déminage,NGOs and CSOs,,
Fondazione Un Raggio di Luce,NGOs and CSOs,,
Fonds voor OntwikkelingsSamenwerking,NGOs and CSOs,,
Fönix Special Rescue Team,Other,,
FONKOZE,NGOs and CSOs,,
Food & Agriculture Organization of the United Nations,Multilateral,,
Food Aid Liaison Unit/WFP,Multilateral,,
Food for the Hungry ,NGOs and CSOs,,
Food for the Hungry InterNational,NGOs and CSOs,,
Food for the Poor,NGOs and CSOs,,
Food Security Network,NGOs and CSOs,,
Forced Migration Review,NGOs and CSOs,,
Ford Foundation,NGOs and CSOs,,
Forest for Peace,NGOs and CSOs,,
Foresters,Other,,
Formal Education Network for Private Schools,NGOs and CSOs,,
Foro Femenino Ma Maeztu,Other,,
Forsvarets forskningsinstitutt,Public sector,,
Forum for African Women Educationalist Gambia Chapter,NGOs and CSOs,,
Forum for Early Warning ,NGOs and CSOs,,
FORUT,NGOs and CSOs,,
Forward Edge InterNational,Other,,
FOSENET - NGO Food Security Network - Zimbabwe,NGOs and CSOs,,
Foster Parents Plan Canada,Other,,
Foundation for Co-existence,NGOs and CSOs,,
Foundation for European Development Assistance,NGOs and CSOs,,
Foundation for HR and Freedoms and Humanitarian Relief,NGOs and CSOs,,
Foundation for Rural Development,NGOs and CSOs,,
Foundation for the Future,NGOs and CSOs,,
Foundation for the Peoples of the South Pacific International,NGOs and CSOs,,
Foundation for the Refugee Trust,NGOs and CSOs,,
Foundation Limmat,NGOs and CSOs,,
Foundation of the United for Relief and Adiding Development ,Other,,
Foundation Politeon,NGOs and CSOs,,
Foundation Signs,NGOs and CSOs,,
Foundation Together,NGOs and CSOs,,
Foundation Vida Peru,NGOs and CSOs,,
Foundation-NL,NGOs and CSOs,,
Four Homes of Mercy,NGOs and CSOs,,
Foyer Maurice Sixto,Other,,
FPDO,NGOs and CSOs,,
FPL Group Foundation,NGOs and CSOs,,
France,Public sector,,
France Cooperation InterNationale,Public sector,,
France Coopération InterNationale,Public sector,,
Franciscan Missionary of Mary,Other,,
Franziskaner,Other,,
Fray Rene Giroux Mission,Other,,
"FRAZIMA, S.A.",Other,,
Fred Hollows Foundation,NGOs and CSOs,,
Freedom of Expression and of Association,NGOs and CSOs,,
Freeport-McMoRan Copper & Gold Inc,Other,,
Freightco,Other,,
French NGOs,NGOs and CSOs,,
French Polynesia,Public sector,,
French Red Cross,Red Cross,,
Frère des Hommes,NGOs and CSOs,,
Frères des Hommes,NGOs and CSOs,,
Freundschaftsbrucke Deutschland e.V.,NGOs and CSOs,,
Freundschaftsbrucke-Kinder der Perestroika e.V,Other,,
Friedensdorf InterNational,NGOs and CSOs,,
Friends Foundation,NGOs and CSOs,,
"Friends of  UNRWA Association, USA",NGOs and CSOs,,
Friends of Love,NGOs and CSOs,,
Friendship,NGOs and CSOs,,
Front Line,NGOs and CSOs,,
Frontiers Ruwad,NGOs and CSOs,,
"Frontiers, Ruwad Association",Other,,
FRT,Other,,
FSS,NGOs and CSOs,,
Ft. Bernard Kurera,Other,,
Ft. Hubert Leeb,Other,,
Ft. Jakob Krinzinger,Other,,
Ft. Josef Schröger,Other,,
Ft. Karl Kuppelwieser,Other,,
Ft. Petrus Obermüller,Other,,
FTHS,Other,,
Fuel Relief Fund ,Other,,
FUJIFILM Holdings Corporation,Other,,
Fujitsu,Other,,
Full Gospel Assemblies,Other,,
Fund for the Good Living in Muslim Countires,Other,,
Fundación Amalaka,NGOs and CSOs,,
Fundación AMEPBO ,Other,,
Fundación Antonio Restrepo Barco,NGOs and CSOs,,
Fundación Apoyar,NGOs and CSOs,,
Fundacion APY,NGOs and CSOs,,
FUNDACION CIPPEC,NGOs and CSOs,,
Fundacion de Beneficencia Capacitas,NGOs and CSOs,,
Fundacion Imagina,NGOs and CSOs,,
FUNDACION LA CAIXA (FLC),NGOs and CSOs,,
Fundación Mi Sangre,NGOs and CSOs,,
Fundacion para la Libertad de Prensa,NGOs and CSOs,,
