Donor,codename,New code,recipient,checks
CARE Myanmar,NGOs,,NGOs,TRUE
CARE Nepal,NGOs,,NGOs,TRUE
CARE Netherlands,NGOs,,NGOs,TRUE
CARE Norway,NGOs,,NGOs,TRUE
Care Peru,NGOs,,NGOs,TRUE
CARE Somalia,NGOs,,NGOs,TRUE
Care Sudan,NGOs,,NGOs,TRUE
CARE USA,NGOs,,NGOs,TRUE
CareFusion Corporation,NGOs,,NGOs,TRUE
CareSource Foundation,foundations,,foundations,TRUE
Carestream Health,private sector corporations,,private sector corporations,TRUE
CARE-UK,NGOs,,NGOs,TRUE
Cargill,private sector corporations,,private sector corporations,TRUE
Caribbean Development Bank,Other multi,,Other multi,TRUE
Caribbean Disaster Emergency Response Agency,Other multi,,Other multi,TRUE
CARICOM Regional Development Programme,Other multi,,Other multi,TRUE
CARITAS,NGOs,,NGOs,TRUE
CARITAS / Catholic Relief Services,NGOs,,NGOs,TRUE
CARITAS Allemagne (DCV),NGOs,,NGOs,TRUE
Caritas Australia,NGOs,,NGOs,TRUE
Caritas Austria,NGOs,,NGOs,TRUE
CARITAS BUKAVU,NGOs,,NGOs,TRUE
CARITAS BUNIA,NGOs,,NGOs,TRUE
CARITAS BUTEMBO,NGOs,,NGOs,TRUE
Caritas Congo,NGOs,,NGOs,TRUE
Caritas Czech Republic,NGOs,,NGOs,TRUE
Caritas Denmark,NGOs,,NGOs,TRUE
CARITAS DEV GOMA,NGOs,,NGOs,TRUE
Caritas Dev Kalemie,NGOs,,NGOs,TRUE
Caritas Développement,NGOs,,NGOs,TRUE
Caritas Développement DRC,NGOs,,NGOs,TRUE
CARITAS DUNGU,NGOs,,NGOs,TRUE
Caritas France,NGOs,,NGOs,TRUE
Caritas Germany,NGOs,,NGOs,TRUE
Caritas Germany (DCV),NGOs,,NGOs,TRUE
Caritas Haiti,NGOs,,NGOs,TRUE
Caritas Hong kong,NGOs,,NGOs,TRUE
Caritas Hungary,NGOs,,NGOs,TRUE
Caritas India,NGOs,,NGOs,TRUE
CARITAS InterNationalIS,NGOs,,NGOs,TRUE
Caritas Jerusalem,NGOs,,NGOs,TRUE
Caritas Kananga,NGOs,,NGOs,TRUE
Caritas Katanga,NGOs,,NGOs,TRUE
CARITAS KINDU,NGOs,,NGOs,TRUE
Caritas Lebanon Migrants Center,NGOs,,NGOs,TRUE
Caritas Manila,NGOs,,NGOs,TRUE
CARITAS Mbandaka,NGOs,,NGOs,TRUE
CARITAS MBUJIMAYI,NGOs,,NGOs,TRUE
Caritas New Zealand,NGOs,,NGOs,TRUE
Caritas Norway,NGOs,,NGOs,TRUE
Caritas Peru,NGOs,,NGOs,TRUE
Caritas Spain,NGOs,,NGOs,TRUE
Caritas Sweden,NGOs,,NGOs,TRUE
Caritas Switzerland,NGOs,,NGOs,TRUE
CARITAS TCHUMBE,NGOs,,NGOs,TRUE
CARITAS UVIRA,NGOs,,NGOs,TRUE
CARITAS UVIRA,NGOs,,NGOs,TRUE
Caritas/MCC,NGOs,,NGOs,TRUE
Carl Duisberg Gesellschaft,academia/think/research,,academia/think/research,TRUE
Carlson Wagonlit Travel Beheermaatschappij,private sector corporations,,private sector corporations,TRUE
Carnegie Corporation of New York,foundations,,foundations,TRUE
Carnival Corporations,private sector corporations,,private sector corporations,TRUE
Carry-over (donors not specified),other,,other,TRUE
Casals and Associates,private sector corporations,,private sector corporations,TRUE
Cascos Blancos - Argentina,NDD,,National government,FALSE
Casio,private sector corporations,,private sector corporations,TRUE
Catalan Agency for Development Cooperation,DAC governments,,DAC governments,TRUE
"Caterpillar, Inc.",private sector corporations,,private sector corporations,TRUE
Catholic Agency for Overseas Development,NGOs,,NGOs,TRUE
Catholic Church of Khartoum,private individual organisations,,private individual organisations,TRUE
"Catholic Church, Germany",private individual organisations,,private individual organisations,TRUE
Catholic Commisssion for Justice and Peace,NGOs,,NGOs,TRUE
Catholic Development Commission,NGOs,,NGOs,TRUE
Catholic Diocese of Erie,private individual organisations,,private individual organisations,TRUE
Catholic Diocese of Kericho,private individual organisations,,private individual organisations,TRUE
Catholic Diocese of Nakuru,private individual organisations,,private individual organisations,TRUE
Catholic Diocese of Torit,private individual organisations,,private individual organisations,TRUE
Catholic Medical Missons Board,NGOs,,NGOs,TRUE
Catholic Migration Commission,NGOs,,NGOs,TRUE
Catholic Mission,private individual organisations,,private individual organisations,TRUE
Catholic Organisation for Relief and Development Aid,NGOs,,NGOs,TRUE
Catholic Peace Movement,NGOs,,NGOs,TRUE
Catholic Priest Association for Justice,private individual organisations,,private individual organisations,TRUE
Catholic Relief Services,NGOs,,NGOs,TRUE
Caucasus Environmental NGO Network,NGOs,,NGOs,TRUE
Caucasus Environmental NGO Network ,NGOs,,NGOs,TRUE
CAUSE Canada,NGOs,,NGOs,TRUE
Cavish Development Foundation,NGOs,,NGOs,TRUE
CCD,NGOs,,NGOs,TRUE
CCD,NGOs,,NGOs,TRUE
Cchin HR Organization,other,,other,TRUE
CCI Coin Co. InterNational,private sector corporations,,private sector corporations,TRUE
CDA Collaborative Learning Projects. Inc.,NGOs,,NGOs,TRUE
CDE - University Berne,academia/think/research,,academia/think/research,TRUE
CE & S,other,,other,TRUE
Cedar Fund,private sector corporations,,private sector corporations,TRUE
CEDI,academia/think/research,,academia/think/research,TRUE
CEFA,private individual organisations,,private individual organisations,TRUE
Ceilu,other,,other,TRUE
CEMUBAC (Belgian medical NGO),NGOs,,NGOs,TRUE
Centarl Regions Livestock Professional Association,private individual organisations,,private individual organisations,TRUE
Centarl Regions Livestock Professional Association,private individual organisations,,private individual organisations,TRUE
Center for  Civil Military Relations,academia/think/research,,academia/think/research,TRUE
Center for Citizenship Education,foundations,,foundations,TRUE
Center for Culture and Development,academia/think/research,,academia/think/research,TRUE
Center for Defending Freedom of Journalists,other,,other,TRUE
Center for Disease Control and Prevention,academia/think/research,,academia/think/research,TRUE
Center for Human Rights and Democratic Participation,NGOs,,NGOs,TRUE
Center for Humanitarian Services,private individual organisations,,private individual organisations,TRUE
Center for International Studies and Cooperation,NGOs,,NGOs,TRUE
CENTER FOR JUSTICE AND INT. LAW,NGOs,,NGOs,TRUE
Center for Peace and Democracy,NGOs,,NGOs,TRUE
Center for Research on the Epidemiology of Disasters,academia/think/research,,academia/think/research,TRUE
Center for the Defence of the Individual,NGOs,,NGOs,TRUE
Center for Victims of Torture,NGOs,,NGOs,TRUE
Center of Excellence for Rural Development,NGOs,,NGOs,TRUE
Central African Red Cross,red cross,,red cross,TRUE
Central African Red Cross Society,red cross,,red cross,TRUE
Central African Republic,NDD,,National government,FALSE
"Central Asian Free Exchange, USA",NGOs,,NGOs,TRUE
Central Community Chest of Japan,private individual organisations,,private individual organisations,TRUE
Central Ecuatoriana de Servicios Agricolas,foundations,,foundations,TRUE
Central Emergency Response Fund,CERF,,CERF,TRUE
Central Minnesota Community Foundation ,foundations,,foundations,TRUE
Central Social,other,,other,TRUE
Centre canadien d'étude et de coopération InterNationale (CECI),academia/think/research,NGOs,NGOs,FALSE
Centre d'action pour le dévéloppement,academia/think/research,,academia/think/research,TRUE
Centre d'Alerte et de Prevention des Conflits,other,,other,TRUE
Centre De Crise,NGOs,,NGOs,TRUE
Centre de Développement Intégral (CDI/Yakoma),academia/think/research,,academia/think/research,TRUE
Centre de Promotion Socio-Sanitaire,other,NGOs,NGOs,FALSE
"Centre de Recherche en Astronomie, Astrophysique et Geophysique",academia/think/research,,academia/think/research,TRUE
Centre de Recherche et d'Appui aux Initiatives de Développement Intégré,academia/think/research,,academia/think/research,TRUE
Centre de Recherche Santé,NGOs,,NGOs,TRUE
Centre de Réflexion Europe Afrique ,NGOs,,NGOs,TRUE
Centre d'Enseignement et de Recherche en Action Humanitaire,academia/think/research,,academia/think/research,TRUE
Centre for Civil and Political Rights,academia/think/research,,academia/think/research,TRUE
Centre for Common Ground in Angola (CCG),NGOs,,NGOs,TRUE
CENTRE FOR DEFENDING FREEDOM OF JOURNALISTS - CDFJ,NGOs,,NGOs,TRUE
Centre for Humanitarian Dialogue,academia/think/research,private sector corporation,private sector corporation,FALSE
Centre for InteNational Political Studies,academia/think/research,,academia/think/research,TRUE
Centre for InterNational Political Studies,academia/think/research,,academia/think/research,TRUE
Centre for InterNational Studies and Cooperation ,academia/think/research,,academia/think/research,TRUE
Centre for Peacekeeping and Community Development,academia/think/research,,academia/think/research,TRUE
Centre for Research on the Epidemiology of Disasters,academia/think/research,,academia/think/research,TRUE
Centre for Safety and Development,foundations,,foundations,TRUE
Centre for the Coordination of Natural Disaster Prevention in Central America,NDD,Other multi,Other multi,FALSE
Centre palestinien des droits de l'homme,NGOs,,NGOs,TRUE
Centre pour enfants des rues de Bel-Air,other,,other,TRUE
Centre pour la Promotion de la Sante,academia/think/research,,academia/think/research,TRUE
Centre spécialisé d'appui à la promotion et à la modernisation de l'élévage,other,,other,TRUE
Centro d'Informazione e Educazione allo Sviluppo,NGOs,,NGOs,TRUE
Centro Integral de Rehabilitación de Colombia,other,,other,TRUE
Centrum voor Afrikaanse Cultuur,academia/think/research,,academia/think/research,TRUE
CESADEMA,other,,other,TRUE
CEVA Logistics,private sector corporations,,private sector corporations,TRUE
CFD,other,,other,TRUE
CHA - Coordination of Humanitarian Assistance,NGOs,,NGOs,TRUE
Chad ,NDD,,National government,FALSE
Chad Red Cross,red cross,,red cross,TRUE
Chadbourne & Parke LLP,private sector corporations,,private sector corporations,TRUE
Chaine du Bonheur,NGOs,,NGOs,TRUE
Chaîne du Bonheur,other,,other,TRUE
CHAINES,other,,other,TRUE
Chapman Freeborn Airchartering,private sector corporations,,private sector corporations,TRUE
Charitable Development Association,NGOs,,NGOs,TRUE
Charitable Society for Caring and Rehabilitation Iraqi Children,NGOs,,NGOs,TRUE
Charitable Society for Social Welfare,NGOs,,NGOs,TRUE
Charities Aid Foundation,NGOs,,NGOs,TRUE
Charity Palestinian NGO,NGOs,,NGOs,TRUE
Charles Schwab ,private sector corporations,,private sector corporations,TRUE
Charles Schwab Foundation,foundations,,foundations,TRUE
Chars Livelihoods Programme,DAC governments,,DAC governments,TRUE
CHASE OT,private sector corporations,,private sector corporations,TRUE
Checci & Company,private sector corporations,,private sector corporations,TRUE
Chemonics InterNational Inc.,private sector corporations,,private sector corporations,TRUE
Chevron Corporation,private sector corporations,,private sector corporations,TRUE
Chevron Texaco,private sector corporations,,private sector corporations,TRUE
CHF - ERF funds transfer,CHF,,CHF,TRUE
CHF InterNational,NGOs,,NGOs,TRUE
CHF Sudan/South Sudan Funding,CHF,,CHF,TRUE
Child Advocacy InterNational,NGOs,,NGOs,TRUE
Child Care Society,NGOs,,NGOs,TRUE
Child Development Foundation,foundations,,foundations,TRUE
Child Rights Information Network,academia/think/research,,academia/think/research,TRUE
ChildFund InterNational,NGOs,,NGOs,TRUE
ChildFund Ireland,NGOs,,NGOs,TRUE
Children Assistance Programme ,NGOs,,NGOs,TRUE
Children InterNational,NGOs,,NGOs,TRUE
Children of Peru Foundation (New York),foundations,,foundations,TRUE
Children without Borders,NGOs,,NGOs,TRUE
Children's Aid Direct,NGOs,,NGOs,TRUE
Children's Fund of North Ossetia,NGOs,,NGOs,TRUE
"Children's Global Network, Pakistan (Guarantee) Limited",private individual organisations,,private individual organisations,TRUE
Children's Home Society of Minnesota,NGOs,,NGOs,TRUE
Children's Investment Fund Foundation,foundations,,foundations,TRUE
Children's Relief,NGOs,,NGOs,TRUE
Child's Earth Society in Iraq,NGOs,,NGOs,TRUE
Chile,NDD,,National government,FALSE
Chile Red Cross,red cross,,red cross,TRUE
Chilean Red Cross,red cross,,red cross,TRUE
China,NDD,,National government,FALSE
China Association for NGO Cooperation,other,,other,TRUE
China Centre for Disease Control and  Asia-Australia Mental Health,other,,other,TRUE
China Foundation for Poverty Alleviation,NGOs,,NGOs,TRUE
China Red Cross Society,red cross,,red cross,TRUE
Chinese Community in Peru,other,,other,TRUE
"CHMI, CTU/EPFL (Czech Hydrometeorological Institute)",DAC governments,,DAC governments,TRUE
CHORA,other,,other,TRUE
Chreso Ministries,private individual organisations,,private individual organisations,TRUE
Chrétiens pour le Sahel,NGOs,,NGOs,TRUE
Christian Aid,NGOs,,NGOs,TRUE
Christian Aid Ministries Nehemia,private individual organisations,,private individual organisations,TRUE
Christian Aid-UK,NGOs,,NGOs,TRUE
Christian Blind Mission,NGOs,,NGOs,TRUE
Christian Care,NGOs,,NGOs,TRUE
Christian Children's Fund ,NGOs,,NGOs,TRUE
Christian Children's Fund  / Adventis Development And Relief Agency,NGOs,,NGOs,TRUE
"Christian Children's Fund, USA",NGOs,,NGOs,TRUE
Christian Commission for Development in Bangladesh,NGOs,,NGOs,TRUE
Christian Friends of Korea,NGOs,,NGOs,TRUE
Christian Mission Aid,NGOs,,NGOs,TRUE
Christian Mission for Development,NGOs,,NGOs,TRUE
Christian Outreach Relief and Development,NGOs,,NGOs,TRUE
Christian Peacemaker Teams,private individual organisations,,private individual organisations,TRUE
Christian Recovery and Development Agency,NGOs,,NGOs,TRUE
Christian Reformed World Relief Committee,NGOs,,NGOs,TRUE
Christian Relief Network,NGOs,,NGOs,TRUE
Christian Solidarity International,NGOs,,NGOs,TRUE
Christoffel-Blindenmission,NGOs,,NGOs,TRUE
Christusträger Bruderschaft,private individual organisations,,private individual organisations,TRUE
Chrysler Foundation,foundations,,foundations,TRUE
Chubb Corporation,private sector corporations,,private sector corporations,TRUE
"Chung Te Buddhist Association of NY, Inc.",private sector corporations,,private sector corporations,TRUE
Church of Jesus Christ (Johannesburg),private individual organisations,,private individual organisations,TRUE
Church of Sweden,private individual organisations,,private individual organisations,TRUE
Church of the Latter Day Saints,private individual organisations,,private individual organisations,TRUE
Church of the Living God InterNational,private individual organisations,,private individual organisations,TRUE
Church Women Solidarity for Supporting North Korea Children,private individual organisations,,private individual organisations,TRUE
Church World Service,NGOs,,NGOs,TRUE
CIAA,other,,other,TRUE
CICERO,private sector corporations,,private sector corporations,TRUE
CIGNA,private sector corporations,,private sector corporations,TRUE
CIMIR- Fred Polk,other,,other,TRUE
CINS -  Cooperazione Italiana Nord Sud,NGOs,,NGOs,TRUE
Circassian Charity Association,other,NGOs,NGOs,FALSE
CISANET/CSCQBE/MEJN,NGOs,,NGOs,TRUE
Cisco Foundation,foundations,,foundations,TRUE
Citi,private sector corporations,,private sector corporations,TRUE
Citigroup,private sector corporations,,private sector corporations,TRUE
CitiHope InterNational,NGOs,,NGOs,TRUE
Citizen's Commission for Human Development,NGOs,,NGOs,TRUE
"Citizens' Disaster Response Center, Inc",NGOs,,NGOs,TRUE
Citizens Network for Foreign Affairs,NGOs,,NGOs,TRUE
City of Ingolstadt,DAC governments,,DAC governments,TRUE
City of Konstanz,DAC governments,,DAC governments,TRUE
City of Munich (Germany),DAC governments,,DAC governments,TRUE
City of Munich (Germany),DAC governments,,DAC governments,TRUE
City of Munich (Germany),DAC governments,,DAC governments,TRUE
Civi Development Organization,NGOs,,NGOs,TRUE
CIVIC,other,,other,TRUE
CIVIC (Valid until August 2012),other,,other,TRUE
Civic Assistance Committee,NGOs,,NGOs,TRUE
Clear Path International,NGOs,,NGOs,TRUE
Cleared Ground Demining Ltd.,NGOs,,NGOs,TRUE
Cleveland Foundation,foundations,,foundations,TRUE
Clinton Bush Haiti Fund,private individual organisations,,private individual organisations,TRUE
Clinton Foundation,foundations,,foundations,TRUE
Clinton Health Access Initiative,private individual organisations,,private individual organisations,TRUE
"?LOVEK V TÍSNI, O.P.S.",other,,other,TRUE
Clowns without Borders,NGOs,,NGOs,TRUE
Cluster Munition Coalition,Other multi,,Other multi,TRUE
Cluster Munitions Conference,other,,other,TRUE
CMS Ireland,NGOs,,NGOs,TRUE
Coach,other,,other,TRUE
Coalition for InterNational Justice,NGOs,,NGOs,TRUE
Coalition for the InterNational Criminal Court,NGOs,,NGOs,TRUE
Coalition of Dutch NGOs,NGOs,,NGOs,TRUE
Coalition to Stop Use of Child Soldiers,NGOs,,NGOs,TRUE
Coastal Community Foundation of South Carolina,foundations,,foundations,TRUE
Coca-Cola Company,private sector corporations,,private sector corporations,TRUE
CODEC,NGOs,,NGOs,TRUE
COFRA,foundations,,foundations,TRUE
Cogeco Cable,private sector corporations,,private sector corporations,TRUE
Cognizant,private sector corporations,,private sector corporations,TRUE
Coin Co. InterNational,private sector corporations,,private sector corporations,TRUE
Collaborative for Development Action,NGOs,,NGOs,TRUE
Collectif Asie Enfants Isolés,private individual organisations,,private individual organisations,TRUE
Collectif du developpement et du secours syrien,NGOs,,NGOs,TRUE
Collectif Haïti de France,NGOs,,NGOs,TRUE
College Suisse/Fondation S.O.S,other,,other,TRUE
Collegio Universitario Aspirante e Medici Missionari,academia/think/research,NGOs,NGOs,FALSE
Colombia,NDD,,National government,FALSE
Colombia Campaign to Ban Landmines,NGOs,,NGOs,TRUE
Colombia Red Cross,red cross,,red cross,TRUE
Colombian Red Cross Society,red cross,,red cross,TRUE
Colombiana Contra Minas,NGOs,,NGOs,TRUE
Coloplast A/S,private sector corporations,,private sector corporations,TRUE
Comcast Corp,private sector corporations,,private sector corporations,TRUE
Comision de Derechos Humanos,NGOs,,NGOs,TRUE
Comision Espanôla de Ayuda al Refugiado,NGOs,,NGOs,TRUE
Comitato Collaborazione Medica,NGOs,,NGOs,TRUE
Comitato di Coordinamento delle Organizzazione per il Servizio Volontario,NGOs,,NGOs,TRUE
Comitato InterNationale per lo Sviluppo dei Popoli,NGOs,,NGOs,TRUE
Comite Catholique contre la faim,private individual organisations,NGOs,NGOs,FALSE
Comité d’Appui à l’Auto Promotion,academia/think/research,,academia/think/research,TRUE
Comité d'Aide Médicale,NGOs,,NGOs,TRUE
Comité de bienfaisance assyrien,private individual organisations,,private individual organisations,TRUE
"Comite de crise ""Nyiragongo 2002""",NDD,,National government,FALSE
Comité Français pour la Solidarité ,private individual organisations,,private individual organisations,TRUE
Comité Interministériel pour l’Aide Alimentaire,DAC governments,,DAC governments,TRUE
Commission d'Entraide pour les Migrants et les Refugies InterNational,NGOs,,NGOs,TRUE
Commission diocésaine justice et paix (CDJP),other,,other,TRUE
"Commission for Reception, Truth and Reconciliation",other,,other,TRUE
Commission of Real Property Claims,private sector corporations,,private sector corporations,TRUE
Committee for the Palestinian Fund,other,,other,TRUE
Committee for the Promotion of Medical and Humanitarian Aid in Afghanistan,NGOs,,NGOs,TRUE
Committee partnersh Linz- San Carlos,other,,other,TRUE
Common Humanitarian Fund,CHF,,CHF,TRUE
Commonwealth Secretariat,Other multi,,Other multi,TRUE
Communaute des Eglises de Pentecote en Afrique,NGOs,,NGOs,TRUE
Communauté Evangélique au Kwango (CEK),private individual organisations,,private individual organisations,TRUE
Communautés locales FYROM,NGOs,,NGOs,TRUE
Communita Impegno Servizio Volontariato,NGOs,,NGOs,TRUE
Community Action Programme,other,,other,TRUE
Community Activity for Development and Relief Organization,private individual organisations,,private individual organisations,TRUE
Community Aid Abroad,NGOs,,NGOs,TRUE
Community Aid for Development,other,,other,TRUE
Community and Family Services International,NGOs,,NGOs,TRUE
Community Appraisal & Motivation Program,NGOs,,NGOs,TRUE
Community Appraisal Programme,other,,other,TRUE
Community Bridge Initiative,NGOs,,NGOs,TRUE
Community Chest Korea,NGOs,,NGOs,TRUE
Community Development Trust,NGOs,,NGOs,TRUE
Community Foundation for Southern Arizona,foundations,,foundations,TRUE
Community Foundation of Broward,foundations,,foundations,TRUE
Community Health and AIDS Mitigation Project,NGOs,,NGOs,TRUE
Community Humanitarian Emergency Board,other,,other,TRUE
Community Peace Fund,other,,other,TRUE
Community Research and Development Organization,other,NGOs,NGOs,FALSE
Community Technology Development Trust,NGOs,,NGOs,TRUE
Community Trust Fund,NGOs,,NGOs,TRUE
"Comoros Red Crescent, The",red cross,,red cross,TRUE
Compact AS,private sector corporations,,private sector corporations,TRUE
ConAgra Foods,private sector corporations,,private sector corporations,TRUE
CONCERN,NGOs,,NGOs,TRUE
Concern India,NGOs,,NGOs,TRUE
Concern Universal,NGOs,,NGOs,TRUE
Concern Worldwide,NGOs,,NGOs,TRUE
CONCORD,NGOs,,NGOs,TRUE
Confident Children out of Conflict,NGOs,,NGOs,TRUE
Conflict Dynamics International,NGOs,,NGOs,TRUE
"Congo, Democratic Republic of",NDD,,National government,FALSE
"Congo, Republic of",NDD,,National government,FALSE
Connacionales del Extranjero,other,,other,TRUE
ConocoPhillips,private sector corporations,,private sector corporations,TRUE
Conrad N. Hilton Foundation,foundations,,foundations,TRUE
Consejo Comunitario Mayor de la Asociación Campesina Integral del Atrato,private individual organisations,,private individual organisations,TRUE
Consolata Sisters,private individual organisations,,private individual organisations,TRUE
Consolata Sisters ,private individual organisations,,private individual organisations,TRUE
Consortium for Assistance to Refugees and the Displaced in Indonesia,NGOs,,NGOs,TRUE
Consortium for Assistance to Refugees and the Displaced in Indonesia ,NGOs,,NGOs,TRUE
"Consortium for Southern Africa Food Security Emergency (World Vision, CARE, CRS, & ADRA)",NGOs,,NGOs,TRUE
Consortium of British Humanitarian Agencies,NGOs,,NGOs,TRUE
Consulate General,private individual organisations,,private individual organisations,TRUE
Consultative Group on InterNational Agricultural Research,academia/think/research,,academia/think/research,TRUE
Continental AG,private sector corporations,,private sector corporations,TRUE
Control Arms,other,,other,TRUE
ConvaTec,private sector corporations,,private sector corporations,TRUE
Convoy of Hope,NGOs,,NGOs,TRUE
Coof Bamako,other,,other,TRUE
Coof Havanna,NGOs,,NGOs,TRUE
Coof Ouagadougou,other,,other,TRUE
Cook Islands,NDD,,National government,FALSE
Cook Islands Red Cross,red cross,,red cross,TRUE
Cook Islands Red Cross Society,red cross,,red cross,TRUE
Cooperation Andina de Fomento,Other multi,,Other multi,TRUE
Coopération Humanitaire Luxembourg,DAC governments,,DAC governments,TRUE
Coopération Technique Belge,DAC governments,,DAC governments,TRUE
Cooperative for Assistance and Relief Everywhere,NGOs,,NGOs,TRUE
Cooperative League of the USA,other,,other,TRUE
Cooperazione E Sviluppo - CESVI,NGOs,,NGOs,TRUE
Cooperazione Internazionale - COOPI,NGOs,,NGOs,TRUE
Cooperazione Internazionale Sud Sud,NGOs,,NGOs,TRUE
Cooperazione per lo Sviluppo dei Paesi Emergenti - COSPE,NGOs,,NGOs,TRUE
Coordinadora Nacional para la Reduccion de Desastres,NDD,,National government,FALSE
Coordinating Action on Small Arms,UN Multi,,UN Multi,TRUE
Coordinating Committee for Coastal and Offshore Geo. Progr. in East Southeast Asia,Other multi,,Other multi,TRUE
Co-ordinating Council Geneva,UN Multi,,UN Multi,TRUE
Coordination Institute Humanitarian,other,,other,TRUE
COPE - The Cooperative Orthotic and Prosthetic Enterprise,NGOs,,NGOs,TRUE
Corporacion andina de fomento ,Other multi,,Other multi,TRUE
Corporación Desarollo y Paz del Magdalena Medio,NGOs,,NGOs,TRUE
Corporación Gestión Ecuador,private individual organisations,,private individual organisations,TRUE
Corporacion Opcion Legal,private sector corporations,,private sector corporations,TRUE
Costa Rica,NDD,,National government,FALSE
Costa Rican Red Cross,red cross,,red cross,TRUE
Cote d'Ivoire,NDD,,National government,FALSE
"Council of A Coruna, Spain",DAC governments,,DAC governments,TRUE
Council of Churches,private individual organisations,,private individual organisations,TRUE
Council of Europe Development Bank,Other multi,,Other multi,TRUE
Council of Governors - Rotary Korea,other,,other,TRUE
"Council of Huelva, Spain (thru FAMSI)",DAC governments,,DAC governments,TRUE
Counselling Services Unit,other,,other,TRUE
Counter Narcotics Trust Fund (CNTF) Afghanistan,UN Multi,,UN Multi,TRUE
Counterpart InterNational,NGOs,,NGOs,TRUE
CPH - Comité Protos Haïti,NGOs,,NGOs,TRUE
CPR Savers and First Aid Supply,private sector corporations,,private sector corporations,TRUE
CRADA,other,,other,TRUE
CRAFOD,NGOs,,NGOs,TRUE
Crawford & Company,private sector corporations,,private sector corporations,TRUE
CRC - NGO Group for the Convention on the Rights of the Child,NGOs,,NGOs,TRUE
Creative Association Inc.,private sector corporations,,private sector corporations,TRUE
Credit Agricole,private sector corporations,,private sector corporations,TRUE
Credit Suisse,private sector corporations,,private sector corporations,TRUE
CRIC - Centro Regionale di Intervento per la Cooperazione,NGOs,,NGOs,TRUE
Crisis Management Initiative,NGOs,,NGOs,TRUE
Croatia,NDD,,National government,FALSE
Croatia Red Cross,red cross,,red cross,TRUE
Croatian Mine Action Center,NDD,,National government,FALSE
Croatian Red Cross,red cross,,red cross,TRUE
"Crocs, Inc.",private sector corporations,,private sector corporations,TRUE
Croix Rouge Katanga,red cross,,red cross,TRUE
Croix Rouge RDC,red cross,,red cross,TRUE
Cross InterNational Cathoilc Outreach,NGOs,,NGOs,TRUE
CROWN AGENTS,private sector corporations,,private sector corporations,TRUE
CRRDC-TD,other,,other,TRUE
CRS and Private Foundations,other,,other,TRUE
Cruz Roja Costariricense,red cross,,red cross,TRUE
Cuba,NDD,,National government,FALSE
Culture and Free Thought Association,NGOs,,NGOs,TRUE
Cumberland Pharmaceuticals Inc,private sector corporations,,private sector corporations,TRUE
Cummins Foundation,foundations,,foundations,TRUE
Curaçao Red Cross,red cross,,red cross,TRUE
Custodia Franciscana,private individual organisations,,private individual organisations,TRUE
Custodia Franciscana en Tierra Santa,NGOs,,NGOs,TRUE
"CVS Caremark Charitable Trust, Inc.",foundations,,foundations,TRUE
CWS Japan,NGOs,,NGOs,TRUE
Cyprus,NDD,,National government,FALSE
Cyprus Red Cross,red cross,,red cross,TRUE
"Cyprus, Republic of - Permanent Mission to the United Nations Office at Geneva",NDD,,National government,FALSE
"Cyprus, Republic of - Permanent Mission to the United Nations Office at Geneva",NDD,,National government,FALSE
Czech Evang. Diacony,NGOs,,NGOs,TRUE
Czech Red Cross,red cross,,red cross,TRUE
Czech Rep. Red Cross,red cross,,red cross,TRUE
Czech Republic,DAC governments,,DAC governments,TRUE
Czech Republic Ministry of Foreign Affairs,DAC governments,,DAC governments,TRUE
D. Stiftung furn UNO-Fluchtlingshilfe E.V.,NGOs,,NGOs,TRUE
Daaralsalam Development Association,NGOs,,NGOs,TRUE
Dabane Trust,NGOs,,NGOs,TRUE
DAC - Danish Afghan Committee,NGOs,,NGOs,TRUE
DAC Aviation InterNational,private sector corporations,,private sector corporations,TRUE
DACAAR,NGOs,,NGOs,TRUE
Daewoo,private sector corporations,,private sector corporations,TRUE
Dag Hammarskjold Scholarship Fund for Journalists,other,,other,TRUE
Daiichi Sankyo,private sector corporations,,private sector corporations,TRUE
"Daiki, Inc.",private sector corporations,,private sector corporations,TRUE
Daimler,private sector corporations,,private sector corporations,TRUE
Damascus People Participation,NGOs,,NGOs,TRUE
Danchurchaid,NGOs,,NGOs,TRUE
Danchurchaid / Danish De-mining Group,NGOs,,NGOs,TRUE
DANIDA,DAC governments,,DAC governments,TRUE
Danidas Health Sector Programme Support ,DAC governments,,DAC governments,TRUE
Daniela Punz,other,,other,TRUE
Danish Assistance to the Self-Reliance Strategy,DAC governments,,DAC governments,TRUE
Danish Association for InterNational Co-operation,NGOs,,NGOs,TRUE
Danish Bilharziasis Laboratory,academia/think/research,,academia/think/research,TRUE
Danish Committee for Aid to Afghan Refugees,NGOs,,NGOs,TRUE
Danish De-mining Centre,NGOs,,NGOs,TRUE
Danish De-mining Group,NGOs,,NGOs,TRUE
Danish Emergency Management Agency,DAC governments,,DAC governments,TRUE
Danish Ethiopian Mission,DAC governments,,DAC governments,TRUE
Danish Fellowship Centre,DAC governments,,DAC governments,TRUE
Danish Institute for Human Rights,academia/think/research,,academia/think/research,TRUE
Danish InterNational Life Saving Association,NGOs,,NGOs,TRUE
Danish Mission Council,NGOs,,NGOs,TRUE
Danish People's Aid,NGOs,,NGOs,TRUE
Danish People's Relief Association,NGOs,,NGOs,TRUE
Danish Powerlines,private sector corporations,,private sector corporations,TRUE
Danish Production School,academia/think/research,,academia/think/research,TRUE
