Donor,Deflatorvalue
El Obeid,1.015410128
El Ruhama for Development and Humanitarian Aid,1.015410128
El Ruhama Organization for Development and Humanitarian Aid,1.015410128
El Salvador,1.005273808
El Salvador Red Cross,1.015410128
Electriciens sans frontiäres,1.015410128
Electricite de France,1.015410128
Elena Trevisanato Onlus Foundation,1.015410128
Eli Lilly ,1.015410128
ELIMU,1.015410128
EMC Corporation,1.015410128
"EMCOR Group, Inc",1.015410128
EMERCOM,1.015410128
EMERCOM/Mongolia,1.015410128
EMERCOM/Russian Federation,1.015410128
Emergencies Unit for Ethiopia,1.015410128
EMERGENCY,1.015410128
Emergency Action Uganda,1.015410128
Emergency Architects,1.015410128
Emergency Life Support for Civilian War Victims,1.015410128
Emergency Management Unit,1.015410128
Emergency Nutrition Network,1.015410128
Emergency Organization Group Copenhagen,1.015410128
Emergency Relief InterNational,1.015410128
Emergency Response Fund (OCHA),1.015410128
Emmanuel InterNational,1.015410128
Emmanuel InterNational of Canada,1.015410128
EmmaÅs InterNational,1.015410128
Empress Shoken Fund,1.015410128
ENDESA Group,1.015410128
Energy Regulators Regional Association,1.015410128
Enfance Tiers Monde asbl,1.015410128
Enfants de Cusco,1.015410128
Enfants des riziäres,1.015410128
Enfants du Monde,1.015410128
Enfants du Monde - Droits de l'Homme,1.015410128
Enfants et DÇveloppement,1.015410128
Enfants Refugies du Monde ,1.015410128
Eng Oppen Hand fir Malawi,1.015410128
Enhanced Online News,1.015410128
Ensemble Contre la Peine de Mort,1.015410128
Entrepreneurs du Monde,1.015410128
Environment Africa,1.015410128
EO metterdaad,1.015410128
EPER Lausanne,1.015410128
EPI-Center,1.015410128
"Episcopal Conference, Peru",1.015410128
Episcopal Relief and Development,1.015410128
EPRO,1.015410128
EP-Team,1.015410128
Equate Petrochemical,1.015410128
Equatorial Guinea,0.934378272
Equatorial Guinea ,1.015410128
Equilibre,1.015410128
EQUIP Liberia,1.015410128
EQUITAS - InterNational Centre for Human Rights Education,1.015410128
ERF Recipients,1.015410128
ERF Recipients,1.015410128
ERF Recipients Outside Appeals,1.015410128
ERIC,1.015410128
Ericsson,1.015410128
Erika Weissenbîck,1.015410128
"ErikshjÑlpen, Sweden",1.015410128
Eritrea,1.10644757
Ernesto Sabato Foundation,1.015410128
Espana con ACNUR,1.015410128
ESPE,1.015410128
Esperanza InterNational Foundation,1.015410128
Estonia,1.018511264
Estonia Red Cross,1.015410128
Estonian Disaster Relief Team ,1.015410128
Estonian Public Service Academy,1.015410128
Estonian Public Service Academy ,1.015410128
Estonian Rescue Board ,1.015410128
Estonian Veterinary and Food Laboratory,1.015410128
ETANA Press,1.015410128
Ethiopia,1.054670849
Ethiopian Mine Action Center,1.015410128
Ethiopian Muslims Relief and Development Association,1.015410128
Ethiopian Orthodox Church,1.015410128
Ethiopian Red Cross,1.015410128
Ethiopian Red Cross Society,1.015410128
ETHZ/SED/CRAAG,1.015410128
EU Special Representative,0.995161627
EU/DFSIS,0.995161627
Eugene Bell Foundation,1.015410128
Eurest Personalrestauranter AS,1.015410128
Euro-Mediterranean Foundation of Support to Human Rights Defenders,1.015410128
EuronAid,1.015410128
European Agency for Reconstruction,0.995161627
European Centre for Common Ground/Common Ground,1.015410128
European Centre for Conflict Prevention,1.015410128
European Children's Trust,1.015410128
European Commission,0.995161627
European Commission Civil Protection Mechanism,0.995161627
European Commission Directorate General for Development,0.995161627
European Commission EuropeAid Co-operation Office,0.995161627
European Commission EuropeAid Development and Cooperation,0.995161627
European Commission Humanitarian Aid Office,0.995161627
European Commission Rapid Reaction Mechanism,0.995161627
European Committe for Agriculture and Training,1.015410128
European Committee for Agriculture and Training,1.015410128
European Grassroots Antiracist Movement,1.015410128
European Investment Bank,0.995161627
European Perspective,1.015410128
European Union,0.995161627
European Union Border Assistance Mission,0.995161627
European Union Programme Support Unit 1,0.995161627
European Union Programme Support Unit 2,0.995161627
Ev. Zentralstelle e.V.,1.015410128
Evangelical Children Rehabilitation Programme,1.015410128
Evangelical Development Programme,1.015410128
Evangelical Devolpment Programme,1.015410128
Evangelical Fellowship of India Commission on Relief,1.015410128
Exactmobile (South Africa),1.015410128
Excelon Corporation,1.015410128
EXNORA,1.015410128
Experts Comptables AssociÇs,1.015410128
ExxonMobil,1.015410128
"F. M. Kirby Foundation, Inc.",1.015410128
Fact Mutare,1.015410128
Faeroe Islands,1.015410128
FAFO ,1.015410128
Faire Face,1.015410128
Fairfax County Search and Rescue,1.015410128
Fairmed,1.015410128
FAIRMED Foundation,1.015410128
Fairmount Minerals Foundation,1.015410128
Family Charitable Organisation,1.015410128
Family Empowerment and Relief Organisation,1.015410128
Family Health InterNational,1.015410128
Family Planning Organization of the Philippines,1.015410128
FAO/UNDP,1.015410128
FAO/WFP,1.015410128
FAR/IRC,1.015410128
FAREM,1.015410128
FARM Africa,1.015410128
Farm Community Trust of Zimbabwe,1.015410128
Farmer Life Development Agency,1.015410128
Farmers Insurance,1.015410128
Farmers Integrated Development Association,1.015410128
Faroe Islands,1.015410128
Fazilia Trust Pakistan,1.015410128
FE Y ALEGRIA,1.015410128
FEA Austria DFA/UFAEG,1.015410128
FED. I. D. Ligues/Droits l'homme,1.015410128
Federal Foreign Office,1.015410128
Federation des ONG laiques Ö Vocation Economique du Congo ,1.015410128
Federation InterNationale de Football Association (FIFA),1.015410128
Federation of Women Lawyers in Kenya,1.015410128
FedEx,1.015410128
Feed My Starving Children,1.015410128
Feed the Children,1.015410128
Feed the Hungry,1.015410128
Feinstein Center,1.015410128
Fellowship for African Relief,1.015410128
Fellowship for African Relief ,1.015410128
FERT,1.015410128
FEWS,1.015410128
FGMed,1.015410128
Fiat Group,1.015410128
FICASE,1.015410128
Fida InterNational (previously Finnish Free Foreign Mission),1.015410128
FIDCON,1.015410128
Fifth Third Bank,1.015410128
Fiji,1.012731387
Fiji Institution of Engineers,1.015410128
Fiji Red Cross,1.015410128
Fiji Red Cross Society,1.015410128
FIJIWater,1.015410128
Film Aid,1.015410128
Finca,1.015410128
Finland,1.021408753
Finland Red Cross,1.015410128
Finnchurchaid,1.015410128
Finnchurchaid/Mines Advisory Group,1.015410128
Finnish Red Cross,1.015410128
Finnish Red Cross/Cambodian Red Cross,1.015410128
Firemen without Borders,1.015410128
First Data Corporation,1.015410128
First Moscow Gymnasium,1.015410128
First National Bank of Namibia,1.015410128
Fishermen of Christ Incorporated Philippines,1.015410128
Flakstad Kommune,1.015410128
Flanders Cooperation ,1.015410128
Flanders InterNational Red Cross Society,1.015410128
Fleet Forum,1.015410128
Flemish Office for Development Co-Operation and Technical Assistance,1.015410128
Flood Damage Rehabilitation Committee,1.015410128
Floresta Ayiti [Plant With Purpose],1.015410128
Florida InterNational University,1.015410128
Floridon Foundation,1.015410128
Flowserve,1.015410128
FlÅchtlingshilfe Langen e.V.,1.015410128
FMYY,1.015410128
FOCUS Humanitarian Aid,1.015410128
Focus Humanitarian Assistance,1.015410128
FOCUS InterNational,1.015410128
Foley Hoag LLP,1.015410128
Folkekirkens Nodhjaelp,1.015410128
Fondasyon Kole Zepol,1.015410128
Fondation Assistance InterNationale,1.015410128
Fondation Caritas Luxembourg,1.015410128
Fondation Chreschte mam Sahel,1.015410128
Fondation de France,1.015410128
Fondation de l'Ordre de Malte pour le Liban,1.015410128
Fondation Femmes plus,1.015410128
Fondation Hirondelle,1.015410128
Fondation InterNationale Carrefour,1.015410128
Fondation Luxembourgeoise Raoul Follereau,1.015410128
Fondation Meninos e Meninas de Rua,1.015410128
Fondation Orient Occident ,1.015410128
FONDATION POUR L INSTITUT,1.015410128
Fondation Raoul Follereau,1.015410128
Fondation Suisse pour le DÇminage,1.015410128
Fondazione Un Raggio di Luce,1.015410128
Fonds voor OntwikkelingsSamenwerking,1.015410128
Fînix Special Rescue Team,1.015410128
FONKOZE,1.015410128
Food & Agriculture Organization of the United Nations,1.015410128
Food Aid Liaison Unit/WFP,1.015410128
Food for the Hungry ,1.015410128
Food for the Hungry InterNational,1.015410128
Food for the Poor,1.015410128
Food Security Network,1.015410128
Forced Migration Review,1.015410128
Ford Foundation,1.015410128
Forest for Peace,1.015410128
Foresters,1.015410128
Formal Education Network for Private Schools,1.015410128
Foro Femenino Ma Maeztu,1.015410128
Forsvarets forskningsinstitutt,1.015410128
Forum for African Women Educationalist Gambia Chapter,1.015410128
Forum for Early Warning ,1.015410128
FORUT,1.015410128
Forward Edge InterNational,1.015410128
FOSENET - NGO Food Security Network - Zimbabwe,1.015410128
Foster Parents Plan Canada,1.015410128
Foundation for Co-existence,1.015410128
Foundation for European Development Assistance,1.015410128
Foundation for HR and Freedoms and Humanitarian Relief,1.015410128
Foundation for Rural Development,1.015410128
Foundation for the Future,1.015410128
Foundation for the Peoples of the South Pacific International,1.015410128
Foundation for the Refugee Trust,1.015410128
Foundation Limmat,1.015410128
Foundation of the United for Relief and Adiding Development ,1.015410128
Foundation Politeon,1.015410128
Foundation Signs,1.015410128
Foundation Together,1.015410128
Foundation Vida Peru,1.015410128
Foundation-NL,1.015410128
Four Homes of Mercy,1.015410128
Foyer Maurice Sixto,1.015410128
FPDO,1.015410128
FPL Group Foundation,1.015410128
France,1.014682438
France Cooperation InterNationale,1.015410128
France CoopÇration InterNationale,1.015410128
Franciscan Missionary of Mary,1.015410128
Franziskaner,1.015410128
Fray Rene Giroux Mission,1.015410128
"FRAZIMA, S.A.",1.015410128
Fred Hollows Foundation,1.015410128
Freedom of Expression and of Association,1.015410128
Freeport-McMoRan Copper & Gold Inc,1.015410128
Freightco,1.015410128
French NGOs,1.015410128
French Polynesia,1.015410128
French Red Cross,1.015410128
Fräre des Hommes,1.015410128
Fräres des Hommes,1.015410128
Freundschaftsbrucke Deutschland e.V.,1.015410128
Freundschaftsbrucke-Kinder der Perestroika e.V,1.015410128
Friedensdorf InterNational,1.015410128
Friends Foundation,1.015410128
"Friends of  UNRWA Association, USA",1.015410128
Friends of Love,1.015410128
Friendship,1.015410128
Front Line,1.015410128
Frontiers Ruwad,1.015410128
"Frontiers, Ruwad Association",1.015410128
FRT,1.015410128
FSS,1.015410128
Ft. Bernard Kurera,1.015410128
Ft. Hubert Leeb,1.015410128
Ft. Jakob Krinzinger,1.015410128
Ft. Josef Schrîger,1.015410128
Ft. Karl Kuppelwieser,1.015410128
Ft. Petrus ObermÅller,1.015410128
FTHS,1.015410128
Fuel Relief Fund ,1.015410128
FUJIFILM Holdings Corporation,1.015410128
Fujitsu,1.015410128
Full Gospel Assemblies,1.015410128
Fund for the Good Living in Muslim Countires,1.015410128
Fundaci¢n Amalaka,1.015410128
Fundaci¢n AMEPBO ,1.015410128
Fundaci¢n Antonio Restrepo Barco,1.015410128
Fundaci¢n Apoyar,1.015410128
Fundacion APY,1.015410128
FUNDACION CIPPEC,1.015410128
Fundacion de Beneficencia Capacitas,1.015410128
Fundacion Imagina,1.015410128
FUNDACION LA CAIXA (FLC),1.015410128
Fundaci¢n Mi Sangre,1.015410128
Fundacion para la Libertad de Prensa,1.015410128
Fundaci¢n para las Relaciones Internacionales y el Di†logo Exterior,1.015410128
Fundacion Paz - Holandesa,1.015410128
Fundacion Promocion Social de la Cultura,1.015410128
Funksjonshemmedes fellesorganisasjon,1.015410128
Future of Orphans,1.015410128
FXB -  Franáois-Xavier Bagnoud,1.015410128
G.havanbedrijf Antwerpen,1.015410128
GAAC,1.015410128
Gabon,0.989129998
Gaddafi InterNational Charity and Development Foundation (GICDF),1.015410128
Galicia Humanitarian Agency Foundation,1.015410128
Gamarra's Merchant Commission,1.015410128
Gambia,1.015410128
Gap Inc.,1.015410128
GAPAR - Syrian General Authority for Palestine Arab Refugees,1.015410128
Gargaaar Relief and Development Organization,1.015410128
GAVI Alliance,1.015410128
Gaza Community Mental Health Programme,1.015410128
Gaza Zakat Committee,1.015410128
GCIDS,1.015410128
GDPI,1.015410128
GE Foundation,1.015410128
GEA Society,1.015410128
GEAD,1.015410128
GECONKFOR/CIMIC,1.015410128
Gedo Women Development Organization,1.015410128
GemeinnÅtzige Entwicklungszusammenarbeit GmbH (GEZA),1.015410128
Gender Education Empowerment and Leadership Organization,1.015410128
General Administration for Palestinian Arab Refugees,1.015410128
General Electric,1.015410128
General Mills Foundation,1.015410128
General Motors Foundation,1.015410128
General Secretariat of Awkaf,1.015410128
General Service Agency,1.015410128
Genesis Software,1.015410128
Geneva Call,1.015410128
Geneva Forum,1.015410128
Geneva Institute for Human Rights,1.015410128
Geneva InterNational Centre for Humanitarian Demining,1.015410128
GenNX360,1.015410128
GeoForschungsZentrum Potsdam,1.015410128
Geohazards InterNational,1.015410128
"GeoLogistics Services, Inc.",1.015410128
Georg Dechentreiter Wohlfahrtsstiftung,1.015410128
Georg Fischer (Clean Water Foundation),1.015410128
Georgia,1.001342443
Georgian Red Cross,1.015410128
Gerdau Ameristeel,1.015410128
German Development Service,1.015410128
German Doctors for Developing Countries,1.015410128
German Embassy in Bangladesh,1.015410128
German Embassy Sofia,1.015410128
"German medical aid organisation ""action medeor""",1.015410128
German Mission Herat,1.015410128
German Red Cross,1.015410128
German Relation Office Ramallah,1.015410128
Germany,1.020690984
GESA -  Gesundheitshilfe Afghanistan e.V,1.015410128
GFC,1.015410128
Ghana,1.097995187
Giant Food Stores,1.015410128
"Gibson, Dunn & Crutcher ",1.015410128
"Gift of the Givers Foundation (Pietermaritzburg, RSA)",1.015410128
Gifts in kind InterNational,1.015410128
GIGnos (consulting company),1.015410128
Girls are a Treasure Network,1.015410128
Give World,1.015410128
Give2Asia,1.015410128
GKST - Presbyterian Christian Church of Central Sulawesi,1.015410128
GlaxoSmithKline,1.015410128
Glencree Centre for Peace and Reconciliation,1.015410128
GLIA Initiative Project HIV/AIDS,1.015410128
Global 2000 of the Carter Centre,1.015410128
Global Aid Network,1.015410128
Global Alliance for Improved Nutrition,1.015410128
Global Centre for the Responsibility to Protect,1.015410128
Global Children Foundation,1.015410128
Global Communities,1.015410128
Global Compact,1.015410128
Global Earthquake Model Foundation,1.015410128
Global Editors Network,1.015410128
Global Facility for Disaster Risk Reduction,1.015410128
Global Facility for Disaster Risk Reduction ,1.015410128
Global Fire Monitoring Centre,1.015410128
Global Food Crisis Fund,1.015410128
Global Forum for Media Development,1.015410128
Global Forum on Migration and Development,1.015410128
Global Fund,1.015410128
Global Fund for TB/HIV/AIDS Programme,1.015410128
"Global Fund to Fight AIDS, Tuberculosis and Malaria",1.015410128
Global H20,1.015410128
Global Health Foundation,1.015410128
Global Hope Network InterNational,1.015410128
Global Human Rights Defence,1.015410128
Global Humanitarian Forum,1.015410128
Global Initiative to End All Corporal Punishment of Children,1.015410128
Global Links,1.015410128
Global Medic,1.015410128
Global Network of Civil Society Orgs,1.015410128
Global One 2015,1.015410128
Global Partners,1.015410128
Global Public Policy Institute,1.015410128
Global Recruitment Fund,1.015410128
Global Reporting Initiative,1.015410128
Global Resource Services,1.015410128
Global Rights,1.015410128
Global Thematic Partners,1.015410128
GlobalGiving,1.015410128
GlobalMedic,1.015410128
GMAC,1.015410128
GMC Services,1.015410128
Go Daddy,1.015410128
GOAL,1.015410128
GOAL/IRC,1.015410128
Gobi Regional Economic Growth Initiative,1.015410128
Goddard Enterprises Limited,1.015410128
Golden Heart Fund,1.015410128
Goldman Sachs Group ,1.015410128
Golweyne Relief and Rehabilitation,1.015410128
Gol-yome Rehabilitation and Development Organization,1.015410128
Good Neighbours Inc,1.015410128
Goodrich Corporation,1.015410128
Google,1.015410128
GORTA,1.015410128
Govt of Bosnia & Herzegovina Mine Detection Dog Centre,1.015410128
Govt of Ethiopia Disaster Prevention and Preparedness Commission,1.015410128
Govt of Indonesia: Bidan Kesehatan Department of Health,1.015410128
Govt of Indonesia: Department of Settlement and Regional Infrastructure (Kimpraswil),1.015410128
"Goya Foods, Inc.",1.015410128
Grand Circle Foundation,1.015410128
Grant Foundation,1.015410128
Grass Technologies,1.015410128
Great Family Organization,1.015410128
Great Lakes Initiative Project HIV/AIDS,1.015410128
Greece,1.002265518
Greece Red Cross,1.015410128
Greek Committee For InterNational Democratic Solidarity,1.015410128
"Greek Embassy, Tehran",1.015410128
"Greek Orthodox Ladies Philoptochos Society, Inc.",1.015410128
Greek Orthodox Patriarchate of Antioch and all of the East,1.015410128
Green Cross,1.015410128
Green Hope,1.015410128
"Green Mountain Coffee Roasters, Inc.",1.015410128
Greenshields Cowie,1.015410128
Grenada,1.014602059
GRET,1.015410128
"GRONSUND, STEIN OVE",1.015410128
Groupe d?Action pour la Promotion de la Femme,1.015410128
Groupe de Recherche et de RÇalisations pour le DÇveloppement Rural,1.015410128
Groupe de Recherche et d'Echanges Technologiques,1.015410128
GROUPE DE RECHERCHE ET D'ECHANGES TECHNOLOGIQUES,1.015410128
Groupe de Secours Catastrophes Francais,1.015410128
Groupe La Colombe,1.015410128
GROUPE URD,1.015410128
Groupement des Artisans ruraux d?INTADENE-GARI,1.015410128
Groupement Ingenieria Estrella,1.015410128
GRSP - Ghazni Rural Support Program - Afghanistan,1.015410128
GRT,1.015410128
GrÅnhelme,1.015410128
Grupo Col. - Suisse,1.015410128
Grupo P∆o de Aá£car,1.015410128
Gruppo per le Relazioni Transculturali,1.015410128
Gruppo Volontariato Civile,1.015410128
Guatemala,1.035776538
"Guatemala General Council in Miami, Florida",1.015410128
Guatemalan Red Cross ,1.015410128
Guilde du Raid,1.015410128
Gulf Coast Community Foundation of Venice,1.015410128
Gulf Cooperation Council,1.015410128
Guyana,1.050024746
Guyana Red Cross,1.015410128
Guyana Red Cross Society,1.015410128
GynÇcologie sans frontiäres,1.015410128
Gyro AS,1.015410128
HA + SHA / IOM,1.015410128
Habitat for Humanity InterNational,1.015410128
Hadia Medical,1.015410128
Haiti,0.933885664
Haiti Red Cross,1.015410128
Haitian Health Foundation,1.015410128
Haitian National Red Cross Society,1.015410128
Haitian Women of Miami,1.015410128
Hakima,1.015410128
Halo Partnership,1.015410128
HALO Trust,1.015410128
Halte Aux Mines Antipersonnel ,1.015410128
Hammer Forum e.V,1.015410128
HAMOKED/CNTR DEF.OF INDIVIDUAL,1.015410128
"Hand in Hand Appeal, Syria",1.015410128
Handicap Atlas Logistique,1.015410128
Handicap InterNational,1.015410128
Handicap InterNational Belgium,1.015410128
Handicap InterNational France,1.015410128
Handicap International Luxembourg,1.015410128
Handicap International USA,1.015410128
Handicap InterNational/France,1.015410128
Hands Off Cain,1.015410128
Hands Together,1.015410128
Hanesbrands ,1.015410128
Harikar,1.015410128
Harland Clarke Holdings,1.015410128
Harris Teeter,1.015410128
HARRODS GROUP,1.015410128
Hartford Financial Services Group,1.015410128
Hartford Financial Services Group,1.015410128
Harvard University,1.015410128
Hashemite Charity Organization of Jordan,1.015410128
Haukari e.V,1.015410128
Haut ComitÇ de Secours libanais,1.015410128
Have It Your Way Foundation,1.015410128
Haven,1.015410128
Hawaiian Electric Co.,1.015410128
Hayat Foundation,1.015410128
HBN,1.015410128
HCC-HumanitÑre Nothilfeprogramme weltweit,1.015410128
HCS,1.015410128
Heal Africa,1.015410128
Health Alliance InterNational,1.015410128
Health and Environment Development Society ,1.015410128
Health and Human Rights Info,1.015410128
Health And Nutrition Development Society,1.015410128
Health Limited,1.015410128
Health Link South Sudan,1.015410128
Health Net Inc.,1.015410128
Health Partners InterNational Canada,1.015410128
Health Poverty Action,1.015410128
HEALTH UNLIMITED,1.015410128
"Health, Development, Information and Policy Institute",1.015410128
Healthnet InterNational - Malaria Leishmaniasis Control Programme,1.015410128
HealthNet InterNational Transcultural Psychosocial Organisation,1.015410128
Healthworkers Community ,1.015410128
Heart Doctors,1.015410128
Heartland Alliance for Human Needs & Human Rights,1.015410128
Heartland Alliance International,1.015410128
Heart-to-Heart,1.015410128
H-E-B,1.015410128
Hebrew Immigrant Aid Society,1.015410128
Hedwin Corporation,1.015410128
Heilsarmee,1.015410128
Heinrich Bîll Foundation,1.015410128
HEKS - Hilfswerk der Evangelischen Kirchen Schweiz,1.015410128
Helen Keller InterNational,1.015410128
Helfende HÑnde e.V.,1.015410128
Hellef fir Rosario,1.015410128
Hellenic Red Cross,1.015410128
Hellenic Rescue Team,1.015410128
HELP,1.015410128
HELP e.V.,1.015410128
Help for school,1.015410128
Help In Need,1.015410128
Help the Aged,1.015410128
HelpAge InterNational,1.015410128
HelpAge International UK,1.015410128
Helpage Programme - RD Congo,1.015410128
Helping Hand for Relief & Development,1.015410128
Helping Hand for Relief and Development,1.015410128
Helping Hands,1.015410128
Helse Bergen HF,1.015410128
HELVETAS,1.015410128
HEMCO,1.015410128
Henry Schein Inc.,1.015410128
Heritage Foundation,1.015410128
Heshima Kenya,1.015410128
Hess Corporation,1.015410128
Hewlett-Packard Company Foundation,1.015410128
HHB,1.015410128
HH-SKH,1.015410128
HIAS RefugeeTrust,1.015410128
Hidaya Rehabilitation Corporation for Special Need,1.015410128
Hijra,1.015410128
Hilfe fur Kinder in Not e.V,1.015410128
Hilfe zur Selbsthilfe e.V.,1.015410128
Hilfsgemeinschaft Lippe e.V,1.015410128
Hilfswerk Austria InterNational,1.015410128
Hilfswerk Liechtenstein,1.015410128
Hilina Enriched Food Processing Center PLC,1.015410128
Hillman Family Foundations,1.015410128
Hilton Worldwide,1.015410128
Himalayan Human Rights Monitors,1.015410128
Himilo Organization for Development,1.015410128
Himilo Relief and Development Association,1.015410128
Hiran Water Supply and Community Development Organisation,1.015410128
Hiran Women Action on Advocay for peace & Human Rights,1.015410128
Hirondelle Radio Okapi,1.015410128
"Hitachi America, Ltd.",1.015410128
HIVOS,1.015410128
HNA Group,1.015410128
Hoffnungszeichen - Sign of Hope e.V,1.015410128
Hogar de Cristo Santiago,1.015410128
Hõgskolen i Oslo,1.015410128
Hold the Child Organisation,1.015410128
Holistic Management,1.015410128
Holt InterNational Childrens Services,1.015410128
Holy See,1.015410128
Home Depot Foundation,1.015410128
Home for Human Rights,1.015410128
Honda,1.015410128
Honduran Red Cross,1.015410128
Honduras,0.987907218
Honduras ComitÇ Permanente de Contingencias,1.015410128
Honduras Red Cross,1.015410128
Honeywell,1.015410128
Hong Kong Red Cross,1.015410128
Hong Kong Special Administrative Region of the People's Republic of China,1.015410128
HOPE,1.015410128
Hope for the Horn,1.015410128
Hope in Action,1.015410128
Hope International Development Agency,1.015410128
Hope Worldwide,1.015410128
HOPE'87,1.015410128
Hopital Albert Schweitzer,1.015410128
Hìpital de la CharitÇ d'Oulan-Bator,1.015410128
Hìpital Franáais de Hanoã,1.015410128
Hìpital Saint-Joseph,1.015410128
Hopital sans Frontiäres,1.015410128
Horizon Foundation for New Jersey,1.015410128
Horizont 3000,1.015410128
Horizonte Logico,1.015410128
Horn of Africa Organization for Protection of Environment and Improvement of Livelihoods,1.015410128
Horn Relief,1.015410128
Horn-Aid Kenya,1.015410128
Horsed Relief and Development Organization,1.015410128
Hospital Corporation of America,1.015410128
Hospital Hermanos Ameijeiras,1.015410128
Housing and Property Directorate,1.015410128
Howard Buffet Foundation,1.015410128
Hõyskolen i Buskerud,1.015410128
Hõyskolen i Oslo,1.015410128
HRG Hogg Robinson Nordic AS,1.015410128
Hr£z,1.015410128
HSBC,1.015410128
HSBC Bank Middle East Limited,1.015410128
Huairou Commission,1.015410128
Hudec Sedec,1.015410128
Hudson's Bay Company,1.015410128
Human Appeal InterNational,1.015410128
Human Care InterNational,1.015410128
Human Concern InterNational,1.015410128
Human Development Foundation,1.015410128
Human Help Network e.V.,1.015410128
Human Moral Care,1.015410128
Human Resources Development Agency,1.015410128
Human Right Center in Iraq,1.015410128
Human Rights and Humanitarian Assistance Foundation,1.015410128
Human Rights Division of the United Nations Mission in Angola,1.015410128
Human Rights Foundation,1.015410128
Human Rights House Foundation ,1.015410128
Human Rights Watch,1.015410128
Humana Foundation,1.015410128
Humane Society of the United States,1.015410128
HumanitÑre Hilfe fÅr,1.015410128
Humanitarian Accountability Partnership InterNational,1.015410128
Humanitarian Action for Relief and Development Organisation,1.015410128
Humanitarian Action for the People Afghanistan,1.015410128
Humanitarian Africa Relief Development Organization,1.015410128
Humanitarian Aid and Development Organization,1.015410128
Humanitarian Aid Commission,1.015410128
Humanitarian Aid Relief Trust,1.015410128
Humanitarian Cargo Carriers,1.015410128
Humanitarian Forum,1.015410128
Humanitarian Forum Indonesia,1.015410128
Humanitarian Initiative Just Relief Aid Organizaiton,1.015410128
Humanitarian Initiative Just Relief Aid Organization,1.015410128
Humanitarian Outcomes,1.015410128
Humanitarian Policy and Conflict Research,1.015410128
Humanitarian Policy Group,1.015410128
Humanitarian Relief Foundation,1.015410128
HumaniTerra InterNational,1.015410128
Humanity Brotherhood Association  for Human Rights,1.015410128
Humanity First,1.015410128
Humanity First USA,1.015410128
Humedia InterNational,1.015410128
Humedica,1.015410128
Hungarian Baptist  Aid Organisation,1.015410128
Hungarian Interchurch Aid,1.015410128
Hungarian Malteser Charity Service,1.015410128
Hungarian Red Cross,1.015410128
Hungary,0.95137113
Hungary Red Cross,1.015410128
Hunger Alert,1.015410128
Hydration Technology Innovations,1.015410128
"Hyogo Prefecture, Japan",1.015410128
Hyundai Motor Company,1.015410128
Hy-Vee Inc.,1.015410128
IAM - InterNational Assistance Mission ,1.015410128
Ibdesch Patenschaften,1.015410128
"Ibero-American States Organization for Education, Science & Culture",1.015410128
IBIS,1.015410128
IBM,1.015410128
IBN SINA,1.015410128
Ibon Foundation,1.015410128
ICASE,1.015410128
ICCO - Interchurch organisation for development co-operation,1.015410128
ICDO - InterNational Civil Defence Organisation ,1.015410128
ICDP - InterNational Child Development Programme,1.015410128
Iceland,1.108212347
Iceland Red Cross,1.015410128
Icelandic Church Aid,1.015410128
Icelandic Crisis Response Unit,1.015410128
Icelandic Red Cross,1.015410128
ICI Pakistan,1.015410128
ICIMOD,1.015410128
ICMA - InterNational City/County Management Association,1.015410128
ICMPD/IOM,1.015410128
ICU,1.015410128
IDDEALES,1.015410128
IDE Myanmar,1.015410128
IDRC,1.015410128
IFRC Disaster Relief Emergency Fund,1.015410128
IFTIIN Education and Development Association,1.015410128
IGAD Partnership Forum,1.015410128
IgarapÇ,1.015410128
IHI - InterNational Humanitarian Initiative,1.015410128
IHS,1.015410128
IICD - InterNational Institute for Communication and Development,1.015410128
IIDA Women's Development Organization,1.015410128
Iimaan Relief and Development Organization,1.015410128
IKEA Foundation,1.015410128
I-LIFE,1.015410128
ILP-InterNational Law and Policy Group,1.015410128
ILR,1.015410128
IMA,1.015410128
Impact Forum Norway,1.015410128
Imperial College,1.015410128
Inasmuch Foundation,1.015410128
INDE - Intercooperaáao e Desenvolvimento (Portuguese NGO),1.015410128
Independent Commission for Human Rights,1.015410128
Indesch Patenschaften,1.015410128
India,1.009002827
India Red Cross,1.015410128
Indian Red Cross Society,1.015410128
Indivduell MÖnniskohjÖlp - Swedish NGO,1.015410128
Indonesia,1.043946311
Indonesia Red Crescent,1.015410128
Indonesian Farmers Funds,1.015410128
Indonesian Humanitarian Committee,1.015410128
Indonesian Red Crescent Society,1.015410128
INDONESIA-PALESTINE FRIENDSHIP INITIATIVE,1.015410128
Indus Resource Centre,1.015410128
Industri Energi (fagforbundet),1.015410128
INETER,1.015410128
Infineon Technologies,1.015410128
InfoAsAid,1.015410128
INFONOR,1.015410128
Information Management and Mine Action Programs,1.015410128
"Information Technology Outreach Services, U of Georgia",1.015410128
ING Group Disaster Relief Fund,1.015410128
Inglesia Morava,1.015410128
Initiativ for Etisk Handel,1.015410128
Initiative Congolaise pour la Gestion autonome des populations,1.015410128
Initiative Development,1.015410128
Initiative Developpement,1.015410128
Initiative DÇveloppement,1.015410128
Initiative Dritte Welt Braunau,1.015410128
Initiative for Change,1.015410128
Initiative for Development and Empowerment Axis,1.015410128
INMED Partnership for Children,1.015410128
Innovasjon Norge,1.015410128
Innovative Development Organization,1.015410128
Inprosula,1.015410128
