Recipient Organization,recipientcodename,
Comite Catholique contre la faim,NGOs,
Comité d’Appui à l’Auto Promotion,academia/think/research,
Comité d'Aide Médicale,NGOs,
Comité de bienfaisance assyrien,private individual organisations,
"Comite de crise ""Nyiragongo 2002""",National government,
Comité Français pour la Solidarité ,private individual organisations,
Comité Interministériel pour l’Aide Alimentaire,DAC governments,
Commission d'Entraide pour les Migrants et les Refugies InterNational,NGOs,
Commission diocésaine justice et paix (CDJP),other,
"Commission for Reception, Truth and Reconciliation",other,
Commission of Real Property Claims,private sector corporations,
Committee for the Palestinian Fund,other,
Committee for the Promotion of Medical and Humanitarian Aid in Afghanistan,NGOs,
Committee partnersh Linz- San Carlos,other,
Common Humanitarian Fund,CHF,
Commonwealth Secretariat,Other multi,
Communaute des Eglises de Pentecote en Afrique,NGOs,
Communauté Evangélique au Kwango (CEK),private individual organisations,
Communautés locales FYROM,NGOs,
Communita Impegno Servizio Volontariato,NGOs,
Community Action Programme,other,
Community Activity for Development and Relief Organization,private individual organisations,
Community Aid Abroad,NGOs,
Community Aid for Development,other,
Community and Family Services International,NGOs,
Community Appraisal & Motivation Program,NGOs,
Community Appraisal Programme,other,
Community Bridge Initiative,NGOs,
Community Chest Korea,NGOs,
Community Development Trust,NGOs,
Community Foundation for Southern Arizona,foundations,
Community Foundation of Broward,foundations,
Community Health and AIDS Mitigation Project,NGOs,
Community Humanitarian Emergency Board,other,
Community Peace Fund,other,
Community Research and Development Organization,NGOs,
Community Technology Development Trust,NGOs,
Community Trust Fund,NGOs,
"Comoros Red Crescent, The",red cross,
Compact AS,private sector corporations,
ConAgra Foods,private sector corporations,
CONCERN,NGOs,
Concern India,NGOs,
Concern Universal,NGOs,
Concern Worldwide,NGOs,
CONCORD,NGOs,
Confident Children out of Conflict,NGOs,
Conflict Dynamics International,NGOs,
"Congo, Democratic Republic of",National government,
"Congo, Republic of",National government,
Connacionales del Extranjero,other,
ConocoPhillips,private sector corporations,
Conrad N. Hilton Foundation,foundations,
Consejo Comunitario Mayor de la Asociación Campesina Integral del Atrato,private individual organisations,
Consolata Sisters,private individual organisations,
Consolata Sisters ,private individual organisations,
Consortium for Assistance to Refugees and the Displaced in Indonesia,NGOs,
Consortium for Assistance to Refugees and the Displaced in Indonesia ,NGOs,
"Consortium for Southern Africa Food Security Emergency (World Vision, CARE, CRS, & ADRA)",NGOs,
Consortium of British Humanitarian Agencies,NGOs,
Consulate General,private individual organisations,
Consultative Group on InterNational Agricultural Research,academia/think/research,
Continental AG,private sector corporations,
Control Arms,other,
ConvaTec,private sector corporations,
Convoy of Hope,NGOs,
Coof Bamako,other,
Coof Havanna,NGOs,
Coof Ouagadougou,other,
Cook Islands,National government,
Cook Islands Red Cross,red cross,
Cook Islands Red Cross Society,red cross,
Cooperation Andina de Fomento,Other multi,
Coopération Humanitaire Luxembourg,DAC governments,
Coopération Technique Belge,DAC governments,
Cooperative for Assistance and Relief Everywhere,NGOs,
Cooperative League of the USA,other,
Cooperazione E Sviluppo - CESVI,NGOs,
Cooperazione Internazionale - COOPI,NGOs,
Cooperazione Internazionale Sud Sud,NGOs,
Cooperazione per lo Sviluppo dei Paesi Emergenti - COSPE,NGOs,
Coordinadora Nacional para la Reduccion de Desastres,National government,
Coordinating Action on Small Arms,UN Multi,
Coordinating Committee for Coastal and Offshore Geo. Progr. in East Southeast Asia,Other multi,
Co-ordinating Council Geneva,UN Multi,
Coordination Institute Humanitarian,other,
COPE - The Cooperative Orthotic and Prosthetic Enterprise,NGOs,
Corporacion andina de fomento ,Other multi,
Corporación Desarollo y Paz del Magdalena Medio,NGOs,
Corporación Gestión Ecuador,private individual organisations,
Corporacion Opcion Legal,private sector corporations,
Costa Rica,National government,
Costa Rican Red Cross,red cross,
Cote d'Ivoire,National government,
"Council of A Coruna, Spain",DAC governments,
Council of Churches,private individual organisations,
Council of Europe Development Bank,Other multi,
Council of Governors - Rotary Korea,other,
"Council of Huelva, Spain (thru FAMSI)",DAC governments,
Counselling Services Unit,other,
Counter Narcotics Trust Fund (CNTF) Afghanistan,UN Multi,
Counterpart InterNational,NGOs,
CPH - Comité Protos Haïti,NGOs,
CPR Savers and First Aid Supply,private sector corporations,
CRADA,other,
CRAFOD,NGOs,
Crawford & Company,private sector corporations,
CRC - NGO Group for the Convention on the Rights of the Child,NGOs,
Creative Association Inc.,private sector corporations,
Credit Agricole,private sector corporations,
Credit Suisse,private sector corporations,
CRIC - Centro Regionale di Intervento per la Cooperazione,NGOs,
Crisis Management Initiative,NGOs,
Croatia,National government,
Croatia Red Cross,red cross,
Croatian Mine Action Center,National government,
Croatian Red Cross,red cross,
"Crocs, Inc.",private sector corporations,
Croix Rouge Katanga,red cross,
Croix Rouge RDC,red cross,
Cross InterNational Cathoilc Outreach,NGOs,
CROWN AGENTS,private sector corporations,
CRRDC-TD,other,
CRS and Private Foundations,other,
Cruz Roja Costariricense,red cross,
Cuba,National government,
Culture and Free Thought Association,NGOs,
Cumberland Pharmaceuticals Inc,private sector corporations,
Cummins Foundation,foundations,
Curaçao Red Cross,red cross,
Custodia Franciscana,private individual organisations,
Custodia Franciscana en Tierra Santa,NGOs,
"CVS Caremark Charitable Trust, Inc.",foundations,
CWS Japan,NGOs,
Cyprus,National government,
Cyprus Red Cross,red cross,
"Cyprus, Republic of - Permanent Mission to the United Nations Office at Geneva",National government,
Czech Evang. Diacony,NGOs,
Czech Red Cross,red cross,
Czech Rep. Red Cross,red cross,
Czech Republic,DAC governments,
Czech Republic Ministry of Foreign Affairs,DAC governments,
D. Stiftung furn UNO-Fluchtlingshilfe E.V.,NGOs,
Daaralsalam Development Association,NGOs,
Dabane Trust,NGOs,
DAC - Danish Afghan Committee,NGOs,
DAC Aviation InterNational,private sector corporations,
DACAAR,NGOs,
Daewoo,private sector corporations,
Dag Hammarskjold Scholarship Fund for Journalists,other,
Daiichi Sankyo,private sector corporations,
"Daiki, Inc.",private sector corporations,
Daimler,private sector corporations,
Damascus People Participation,NGOs,
Danchurchaid,NGOs,
Danchurchaid / Danish De-mining Group,NGOs,
DANIDA,DAC governments,
Danidas Health Sector Programme Support ,DAC governments,
Daniela Punz,other,
Danish Assistance to the Self-Reliance Strategy,DAC governments,
Danish Association for InterNational Co-operation,NGOs,
Danish Bilharziasis Laboratory,academia/think/research,
Danish Committee for Aid to Afghan Refugees,NGOs,
Danish De-mining Centre,NGOs,
Danish De-mining Group,NGOs,
Danish Emergency Management Agency,DAC governments,
Danish Ethiopian Mission,DAC governments,
Danish Fellowship Centre,DAC governments,
Danish Institute for Human Rights,academia/think/research,
Danish InterNational Life Saving Association,NGOs,
Danish Mission Council,NGOs,
Danish People's Aid,NGOs,
Danish People's Relief Association,NGOs,
Danish Powerlines,private sector corporations,
Danish Production School,academia/think/research,
Danish Red Cross,red cross,
Danish Refugee Board,NGOs,
Danish Refugee Council,NGOs,
Danish Refugee Council/ICVA,NGOs,
Danish-ethiopia commen initiative,NGOs,
Danmission,NGOs,
Dannon,private sector corporations,
Danube Commission,Other multi,
Darden Restaurants,private sector corporations,
Darfur Peace and Stability Fund,Other pooled,
Dark & Light Foundation,foundations,
Darya Organization for Developing Woman and Community,NGOs,
Datong,private sector corporations,
Daystar Christian Centre,academia/think/research,
DCH Auto Group,private sector corporations,
DCP-TV,private sector corporations,
DDPS,DAC governments,
De Norske Pinsemenigheters Ytremisjon,NGOs,
Defense for Children InterNational,NGOs,
DEH Relief and Development Organization,NGOs,
Dejarup,other,
Delhaize America Inc,private sector corporations,
DELL,private sector corporations,
Deloitte and Touche,private sector corporations,
Delta Development Program,private individual organisations,
Delvon Assistance for Social Harmony (DASH),NGOs,
Demining Agency for Afghanistan,NGOs,
DEMIRA,NGOs,
Democratic Control of Armed Forces,foundations,
Democratic Iraqi Women Group,NGOs,
Den norske Advokatforening,private individual organisations,
Den norske dommerforeningen,private individual organisations,
Den norske forfatterforening,private individual organisations,
Den norske Helsingforskomite,NGOs,
Den Norske Kirke,private individual organisations,
Den norske lægeforening - UD-tilskudd,other,
Den norske Tibet-komite,other,
DENAL,other,
Deniz Feneri Association,NGOs,
Deniz Feneri Yardimlasma ve Dayanisma Dernegi,other,
Denmark,DAC governments,
DentaQuest,private sector corporations,
Departementenes Servicesenter,other,
Department of Defense,other,
Department of Ecumenical Relations and Development,foundations,
Department of Justice and Police,other,
Department of Settlement and Regional Infrastructure (Kimpraswil),National government,
Desert Locust Control Organization for Eastern Africa,Other multi,
Desjardins,private sector corporations,
Det Mosaiske Trossamfund,private individual organisations,
Det Norske Menneskerettighetsfond,NGOs,
Det norske Misjonsforbund,NGOs,
Detachement d'Intervention contre les Catasrophes et de Formation,NGOs,
Deutsche Bank AG,private sector corporations,
Deutsche Gesellschaft für InterNationale Zusammenarbeit,DAC government,
Deutsche Gesellschaft fur Technische Zusammenarbeit - GTZ,DAC governments,
Deutsche Stiftung,foundations,
Deutsche Telekom,private sector corporations,
Deutsche Welthungerhilfe e.V. (German Agro Action),NGOs,
Deutscher Entwicklungsdienst,DAC governments,
Deutsches Institute für Arztliche Mission,private individual organisations,
Deutsches Komitee fur Katastrophenvorsorge e.V.,DAC governments,
Devcon,other,
Development Aid from People to People,NGOs,
Development Alternatives Inc.,private sector corporation,
Development and Peace,NGOs,
Development and Peace,NGOs,
Development Education Network for Liberia,NGOs,
Development Frontiers International,NGOs,
Development Initiatives,academia/think/research,
Development Initiatives Access Link,other,
Development of Palestinian Farmer Association - Deir Albalah,other,
Development Workshop,NGOs,
Developmental Action Without Border (Nabaa),NGOs,
Developpement & Paix,NGOs,
Dewey & LeBoeuf LLP,private sector corporations,
DEZA,DAC governments,
DF Young Inc.,private sector corporations,
DHL InterNational,private sector corporations,
DIA,other,
DIA - Social Justice in development,other,
DIA Eritrea/ICCO,other,
Diageo,private sector corporations,
Diakonia World Federation,Foundation,
"Diakonia, Sweden",NGOs,
Diakonie Austria,NGOs,
Diakonie Emergency Aid,NGOs,
Diakonie Katastrophenhilfe,NGOs,
DIAKONISCHES WERK DER EKD,NGOs,
Dialog Forening,other,
Dialog InterNational e.V.,private sector corporations,
Diamer Poverty Alleviation Programme,NGOs,
Digicel Aruba,private sector corporations,
Digicel Foundation,Foundation,
Digicel Group,private sector corporations,
Dinah Falala & Phoebe Sandi Foundation,foundations,
Dinsons (H. Sheikh Noor-ud-Dini & Sons),private sector corporations,
DIOBASS,other,
Diocese de Hwange,private individual organisations,
Diocese of Ambikapur,private individual organisations,
Diocese of Eldoret,private individual organisations,
Diocese of Gbarnga,private individual organisations,
Diocese of Meru,other,
Diocese of Padang,private individual organisations,
Diocese of Rumbek,private individual organisations,
Diplomat Freight Services,private sector corporations,
Diplomatische Akademie Wien,academia/think/research,
Direct Aid,NGOs,
Direct Relief InterNational,NGOs,
DirectAid,NGOs,
Direktoratet for samfunnssikkerhet og beredskap,DAC governments,
Disabled Children's Care Organization,NGOs,
Disaster Mitigation Institute,NGOs,
Disaster Prevention and Preparedness Agency,other,
Disaster Prevention and Preparedness Commission Ethiopia,National government,
Disaster Relief Agency,NGOs,
Disaster Resource Network,NGOs,
Disasters Emergency Committee (UK),NGOs,
Discover Financial Services,private sector corporations,
Dispositif National de Prévention et de Gestion des Crises Alimentaires,other,
Dissimilis kult.og komp.senter,other,
Distribuidora Ambiente,other,
Div. Assoc.,other,
Div. E+CIS,other,
Diverse,other,
Djibouti,National government,
Djibouti Red Crescent Society,Red Cross,
Djibouti Red Cross,red cross,
DJO Incorporated,other,
DKKV - German Committee for Disaster Reduction,DAC governments,
DMR,private sector corporations,
Docs Heal Africa,NGOs,
"DOCS HEAL AFRICA, Goma",NGOs,
Doctors of the World,NGOs,
Doctors Worldwide,NGOs,
Documentation Center of  Cambodia,NGOs,
DoES,other,
Doha Bank,private sector corporations,
Dollar General Corporation,private sector corporations,
Dominican Republic,National government,
Don Bosco Mondo Prokur,NGOs,
Donegal Peace Centre,other,
Donor not reported by agency,other,
Dorcas Aid InterNational,NGOs,
Double Harvest,NGOs,
Douleurs san Frontières,NGOs,
Dow Chemical Corporation,private sector corporations,
Dr Pepper Snapple Group ,private sector corporations,
"Dr. Fresh, Inc",private sector corporations,
"DRK, ICRC, IFRC (details not yet provided)",red cross,
DROPS,NGOs,
DryLands Coordination Group,private individual organisations,
DSI - Danish Council of Organizations of Disabled People,NGOs,
Dubai Cares (UAE),NGOs,
Dun & Bradstreet,private sector corporations,
Dunkin Brands,private sector corporations,
DuPont,private sector corporations,
Dutch InterNational Aid,DAC governments,
Dutch Postcode Lottery,other,
DWF,other,
DynCorp,private sector corporations,
DZI - German Central Institute for Social Issues ,DAC governments,
EADRCC - Euro-Atlantic Disaster Response Coord.Centre,Other multi,
Eagle Global Logistics,private sector corporations,
Earthquake Relief Fund for Orphans,NGOs,
East Bay Community Foundation,foundations,
Eastern Community Development and Humanitarian Organization,NGOs,
Eastman Kodak Charitable Trust,private sector corporations,
Eaton Corp,private sector corporations,
EAUR,other,
Eaux de Marseille (Société des),other,
eBay Foundation,foundations,
EC/UNDP Consortium,other,
ECCRD,other,
Echelle appui au développement,other,
Ecolab Inc.,private sector corporations,
Ecole Polytechnique Fédérale De Lausanne,academia/think/research,
Economic & Social Development Centre of Palestine,NGOs,
Economic Community of West African States,Other multi,
Economic Research Forum,academia/think/research,
Ecuador,National government,
Ecuador Red Cross,red cross,
Ecuadorian Red Cross,red cross,
EDF9,Other multi,
Edinburgh Direct Aid,NGOs,
Edith Wilkins Hope Foundation,foundations,
EDM,other,
Education Above All Foundation,foundations,
Education Action InterNational,NGOs,
Education Development Center,academia/think/research,
"Education, Health, Social Awareness and Rehabilitation Foundation",NGOs,
EFICOR - Evangelical Fellowship of India Commission on Relief ,NGOs,
Egypt,National government,
Egyptian Red Crescent,red cross,
Egyptian Red Crescent Society,red cross,
Eid Charity,NGOs,
"Eine Welt Kreis, Zell an der Pram",other,
Eine Welt-öö Landlerhilfe,other,
Eisai Co. Ltd.,private sector corporations,
EITI - Extractive Industry Transparency Initiative,Other multi,
El Barde Primary Helath Care Organization,other,
El Obeid,National government,
El Ruhama for Development and Humanitarian Aid,other,
El Ruhama Organization for Development and Humanitarian Aid,NGOs,
El Salvador,National government,
El Salvador Red Cross,red cross,
Electriciens sans frontières,NGOs,
Electricite de France,private sector corporations,
Elena Trevisanato Onlus Foundation,foundations,
Eli Lilly ,private sector corporations,
ELIMU,other,
EMC Corporation,private sector corporations,
"EMCOR Group, Inc",private sector corporations,
EMERCOM,National government,
EMERCOM/Mongolia,National government,
EMERCOM/Russian Federation,National government,
Emergencies Unit for Ethiopia,National government,
EMERGENCY,NGOs,
Emergency Action Uganda,other,
Emergency Architects,NGOs,
Emergency Life Support for Civilian War Victims,other,
Emergency Management Unit,other,
Emergency Nutrition Network,NGOs,
Emergency Organization Group Copenhagen,other,
Emergency Relief InterNational,NGOs,
Emergency Response Fund (OCHA),ERF,
Emmanuel InterNational,NGOs,
Emmanuel InterNational of Canada,NGOs,
Emmaüs InterNational,NGOs,
Empress Shoken Fund,private individual organisations,
ENDESA Group,private individual organisations,
Energy Regulators Regional Association,private individual organisations,
Enfance Tiers Monde asbl,NGOs,
Enfants de Cusco,NGOs,
Enfants des rizières,NGOs,
Enfants du Monde,NGOs,
Enfants du Monde - Droits de l'Homme,NGOs,
Enfants et Développement,NGOs,
Enfants Refugies du Monde ,NGOs,
Eng Oppen Hand fir Malawi,NGOs,
Enhanced Online News,private sector corporations,
Ensemble Contre la Peine de Mort,private individual organisations,
Entrepreneurs du Monde,NGOs,
Environment Africa,NGOs,
EO metterdaad,private individual organisations,
EPER Lausanne,NGOs,
EPI-Center,NGOs,
"Episcopal Conference, Peru",academia/think/research,
Episcopal Relief and Development,private individual organisations,
EPRO,other,
EP-Team,other,
Equate Petrochemical,private sector corporations,
Equatorial Guinea,National government,
Equatorial Guinea ,National government,
Equilibre,foundations,
EQUIP Liberia,NGOs,
EQUITAS - InterNational Centre for Human Rights Education,academia/think/research,
ERF Recipients,Other pooled,
ERF Recipients Outside Appeals,ERF,
ERIC,NGOs,
Ericsson,private sector corporations,
Erika Weissenböck,other,
"Erikshjälpen, Sweden",NGOs,
Eritrea,National government,
Ernesto Sabato Foundation,foundations,
Espana con ACNUR,UN Multi,
ESPE,other,
Esperanza InterNational Foundation,foundations,
Estonia,National government,
Estonia Red Cross,red cross,
Estonian Disaster Relief Team ,National government,
Estonian Public Service Academy,National government,
Estonian Public Service Academy ,National government,
Estonian Rescue Board ,National government,
Estonian Veterinary and Food Laboratory,private sector corporations,
ETANA Press,NGOs,
Ethiopia,National government,
Ethiopian Mine Action Center,NGOs,
Ethiopian Muslims Relief and Development Association,NGOs,
Ethiopian Orthodox Church,private individual organisations,
Ethiopian Red Cross,red cross,
Ethiopian Red Cross Society,red cross,
ETHZ/SED/CRAAG,other,
EU Special Representative,EC,
EU/DFSIS,EC,
Eugene Bell Foundation,foundations,
Eurest Personalrestauranter AS,private sector corporations,
Euro-Mediterranean Foundation of Support to Human Rights Defenders,foundations,
EuronAid,NGOs,
European Agency for Reconstruction,EC,
European Centre for Common Ground/Common Ground,NGOs,
European Centre for Conflict Prevention,NGOs,
European Children's Trust,NGOs,
European Commission,EC,
European Commission Civil Protection Mechanism,EC,
European Commission Directorate General for Development,EC,
European Commission EuropeAid Co-operation Office,EC,
European Commission EuropeAid Development and Cooperation,EC,
European Commission Humanitarian Aid Office,EC,
European Commission Rapid Reaction Mechanism,EC,
European Committe for Agriculture and Training,NGOs,
European Committee for Agriculture and Training,other,
European Grassroots Antiracist Movement,other,
European Investment Bank,Other multi,
European Perspective,NGOs,
European Union,EC,
European Union Border Assistance Mission,EC,
European Union Programme Support Unit 1,EC,
European Union Programme Support Unit 2,EC,
Ev. Zentralstelle e.V.,private sector corporations,
Evangelical Children Rehabilitation Programme,NGOs,
Evangelical Development Programme,private individual organisations,
Evangelical Devolpment Programme,private individual organisations,
Evangelical Fellowship of India Commission on Relief,private individual organisations,
Exactmobile (South Africa),private sector corporations,
Excelon Corporation,private sector corporations,
EXNORA,NGOs,
Experts Comptables Associés,other,
ExxonMobil,private sector corporations,
"F. M. Kirby Foundation, Inc.",foundations,
Fact Mutare,NGOs,
Faeroe Islands,National government,
FAFO ,academia/think/research,
Faire Face,private individual organisations,
Fairfax County Search and Rescue,DAC governments,
Fairmed,NGOs,
FAIRMED Foundation,foundations,
Fairmount Minerals Foundation,foundations,
Family Charitable Organisation,private individual organisations,
Family Empowerment and Relief Organisation,private individual organisations,
Family Health InterNational,private individual organisations,
Family Planning Organization of the Philippines,NGOs,
FAO/UNDP,UN Multi,
FAO/WFP,UN Multi,
FAR/IRC,other,
FAREM,other,
FARM Africa,NGOs,
Farm Community Trust of Zimbabwe,NGOs,
Farmer Life Development Agency,other,
Farmers Insurance,private sector corporations,
Farmers Integrated Development Association,private individual organisations,
Faroe Islands,National government,
Fazilia Trust Pakistan,other,
FE Y ALEGRIA,private individual organisations,
FEA Austria DFA/UFAEG,DAC governments,
FED. I. D. Ligues/Droits l'homme,NGOs,
Federal Foreign Office,DAC governments,
Federation des ONG laiques à Vocation Economique du Congo ,NGOs,
Federation InterNationale de Football Association (FIFA),private individual organisations,
Federation of Women Lawyers in Kenya,private individual organisations,
FedEx,private sector corporations,
Feed My Starving Children,NGOs,
Feed the Children,NGOs,
Feed the Hungry,NGOs,
Feinstein Center,academia/think/research,
Fellowship for African Relief,NGOs,
Fellowship for African Relief ,NGOs,
FERT,other,
FEWS,DAC governments,
FGMed,NGOs,
Fiat Group,private sector corporations,
FICASE,foundations,
Fida InterNational (previously Finnish Free Foreign Mission),NGOs,
FIDCON,private individual organisations,
Fifth Third Bank,private sector corporations,
Fiji,National government,
Fiji Institution of Engineers,academia/think/research,
Fiji Red Cross,red cross,
Fiji Red Cross Society,red cross,
FIJIWater,private sector corporations,
Film Aid,NGOs,
Finca,other,
Finland,DAC governments,
Finland Red Cross,red cross,
Finnchurchaid,NGOs,
Finnchurchaid/Mines Advisory Group,NGOs,
Finnish Red Cross,red cross,
Finnish Red Cross/Cambodian Red Cross,red cross,
Firemen without Borders,NGOs,
First Data Corporation,private sector corporations,
First Moscow Gymnasium,academia/think/research,
First National Bank of Namibia,private sector corporations,
Fishermen of Christ Incorporated Philippines,NGOs,
Flakstad Kommune,other,
Flanders Cooperation ,other,
Flanders InterNational Red Cross Society,red cross,
Fleet Forum,academia/think/research,
Flemish Office for Development Co-Operation and Technical Assistance,NGOs,
Flood Damage Rehabilitation Committee,NGOs,
Floresta Ayiti [Plant With Purpose],private individual organisations,
Florida InterNational University,academia/think/research,
Floridon Foundation,foundations,
Flowserve,private sector corporations,
Flüchtlingshilfe Langen e.V.,NGOs,
FMYY,private individual organisations,
FOCUS Humanitarian Aid,NGOs,
Focus Humanitarian Assistance,NGOs,
FOCUS InterNational,NGOs,
Foley Hoag LLP,private sector corporations,
Folkekirkens Nodhjaelp,NGOs,
Fondasyon Kole Zepol,foundations,
Fondation Assistance InterNationale,foundations,
Fondation Caritas Luxembourg,NGOs,
Fondation Chreschte mam Sahel,foundations,
Fondation de France,foundations,
Fondation de l'Ordre de Malte pour le Liban,NGOs,
Fondation Femmes plus,foundations,
Fondation Hirondelle,foundations,
Fondation InterNationale Carrefour,foundations,
Fondation Luxembourgeoise Raoul Follereau,foundations,
Fondation Meninos e Meninas de Rua,foundations,
Fondation Orient Occident ,foundations,
FONDATION POUR L INSTITUT,foundations,
Fondation Raoul Follereau,foundations,
Fondation Suisse pour le Déminage,NGOs,
Fondazione Un Raggio di Luce,NGOs,
Fonds voor OntwikkelingsSamenwerking,NGOs,
Fönix Special Rescue Team,private individual organisations,
FONKOZE,NGOs,
Food & Agriculture Organization of the United Nations,UN Multi,
Food Aid Liaison Unit/WFP,UN Multi,
Food for the Hungry ,NGOs,
Food for the Hungry InterNational,NGOs,
Food for the Poor,NGOs,
Food Security Network,NGOs,
Forced Migration Review,academia/think/research,
Ford Foundation,foundations,
Forest for Peace,NGOs,
Foresters,private individual organisations,
Formal Education Network for Private Schools,NGOs,
Foro Femenino Ma Maeztu,other,
Forsvarets forskningsinstitutt,DAC governments,
Forum for African Women Educationalist Gambia Chapter,NGOs,
Forum for Early Warning ,NGOs,
FORUT,NGOs,
Forward Edge InterNational,other,
FOSENET - NGO Food Security Network - Zimbabwe,NGOs,
Foster Parents Plan Canada,private individual organisations,
Foundation for Co-existence,foundations,
Foundation for European Development Assistance,foundations,
Foundation for HR and Freedoms and Humanitarian Relief,NGOs,
Foundation for Rural Development,NGOs,
Foundation for the Future,foundations,
Foundation for the Peoples of the South Pacific International,foundations,
Foundation for the Refugee Trust,foundations,
Foundation Limmat,foundations,
Foundation of the United for Relief and Adiding Development ,other,
Foundation Politeon,foundations,
Foundation Signs,foundations,
Foundation Together,foundations,
Foundation Vida Peru,foundations,
Foundation-NL,foundations,
Four Homes of Mercy,NGOs,
Foyer Maurice Sixto,private individual organisations,
FPDO,NGOs,
FPL Group Foundation,foundations,
France,DAC governments,
France Cooperation InterNationale,DAC governments,
France Coopération InterNationale,DAC governments,
Franciscan Missionary of Mary,private individual organisations,
Franziskaner,other,
Fray Rene Giroux Mission,other,
"FRAZIMA, S.A.",private sector corporations,
Fred Hollows Foundation,foundations,
Freedom of Expression and of Association,NGOs,
Freeport-McMoRan Copper & Gold Inc,private sector corporations,
Freightco,private sector corporations,
French NGOs,NGOs,
French Polynesia,National government,
French Red Cross,red cross,
Frère des Hommes,NGOs,
Frères des Hommes,NGOs,
Freundschaftsbrucke Deutschland e.V.,NGOs,
Freundschaftsbrucke-Kinder der Perestroika e.V,other,
Friedensdorf InterNational,NGOs,
Friends Foundation,foundations,
"Friends of  UNRWA Association, USA",NGOs,
Friends of Love,NGOs,
Friendship,NGOs,
Front Line,NGOs,
Frontiers Ruwad,NGOs,
"Frontiers, Ruwad Association",private individual organisations,
FRT,other,
FSS,foundations,
Ft. Bernard Kurera,private individual organisations,
Ft. Hubert Leeb,private individual organisations,
Ft. Jakob Krinzinger,private individual organisations,
Ft. Josef Schröger,private individual organisations,
Ft. Karl Kuppelwieser,private individual organisations,
Ft. Petrus Obermüller,private individual organisations,
FTHS,other,
Fuel Relief Fund ,other,
FUJIFILM Holdings Corporation,private sector corporations,
Fujitsu,private sector corporations,
Full Gospel Assemblies,private individual organisations,
Fund for the Good Living in Muslim Countires,other,
Fundación Amalaka,foundations,
Fundación AMEPBO ,other,
Fundación Antonio Restrepo Barco,foundations,
Fundación Apoyar,foundations,
Fundacion APY,foundations,
FUNDACION CIPPEC,foundations,
Fundacion de Beneficencia Capacitas,foundations,
Fundacion Imagina,foundations,
FUNDACION LA CAIXA (FLC),foundations,
Fundación Mi Sangre,foundations,
Fundacion para la Libertad de Prensa,NGOs,
Fundación para las Relaciones Internacionales y el Diálogo Exterior,academia/think/research,
Fundacion Paz - Holandesa,foundations,
Fundacion Promocion Social de la Cultura,NGOs,
Funksjonshemmedes fellesorganisasjon,private individual organisations,
Future of Orphans,NGOs,
FXB -  François-Xavier Bagnoud,NGOs,
G.havanbedrijf Antwerpen,other,
GAAC,other,
Gabon,National government,
Gaddafi InterNational Charity and Development Foundation (GICDF),foundations,
Galicia Humanitarian Agency Foundation,NGOs,
Gamarra's Merchant Commission,private sector corporations,
Gambia,National government,
Gap Inc.,private sector corporations,
GAPAR - Syrian General Authority for Palestine Arab Refugees,National government,
Gargaaar Relief and Development Organization,NGOs,
GAVI Alliance,other,
Gaza Community Mental Health Programme,NGOs,
Gaza Zakat Committee,National government,
GCIDS,other,
GDPI,other,
GE Foundation,foundations,
GEA Society,private individual organisations,
GEAD,NGOs,
GECONKFOR/CIMIC,other,
Gedo Women Development Organization,other,
Gemeinnützige Entwicklungszusammenarbeit GmbH (GEZA),NGOs,
Gender Education Empowerment and Leadership Organization,other,
General Administration for Palestinian Arab Refugees,National government,
General Electric,private sector corporations,
General Mills Foundation,foundations,
General Motors Foundation,foundations,
General Secretariat of Awkaf,other,
General Service Agency,other,
Genesis Software,private sector corporations,
Geneva Call,NGOs,
Geneva Forum,UN Multi,
Geneva Institute for Human Rights,academia/think/research,
Geneva InterNational Centre for Humanitarian Demining,NGOs,
GenNX360,private sector corporations,
GeoForschungsZentrum Potsdam,academia/think/research,
Geohazards InterNational,NGOs,
"GeoLogistics Services, Inc.",private sector corporations,
Georg Dechentreiter Wohlfahrtsstiftung,foundations,
Georg Fischer (Clean Water Foundation),foundations,
Georgia,National government,
Georgian Red Cross,red cross,
Gerdau Ameristeel,private sector corporations,
German Development Service,other,
German Doctors for Developing Countries,NGOs,
German Embassy in Bangladesh,DAC governments,
German Embassy Sofia,DAC governments,
"German medical aid organisation ""action medeor""",NGOs,
German Mission Herat,private individual organisations,
German Red Cross,red cross,
German Relation Office Ramallah,DAC governments,
Germany,DAC governments,
GESA -  Gesundheitshilfe Afghanistan e.V,other,
GFC,other,
Ghana,National government,
Giant Food Stores,private sector corporations,
"Gibson, Dunn & Crutcher ",private sector corporations,
"Gift of the Givers Foundation (Pietermaritzburg, RSA)",foundations,
Gifts in kind InterNational,NGOs,
GIGnos (consulting company),private sector corporations,
Girls are a Treasure Network,NGOs,
Give World,private individual organisations,
Give2Asia,private individual organisations,
GKST - Presbyterian Christian Church of Central Sulawesi,private individual organisations,
GlaxoSmithKline,private sector corporations,
Glencree Centre for Peace and Reconciliation,NGOs,
GLIA Initiative Project HIV/AIDS,Other multi,
Global 2000 of the Carter Centre,academia/think/research,
Global Aid Network,NGOs,
Global Alliance for Improved Nutrition,UN Multi,
Global Centre for the Responsibility to Protect,academia/think/research,
Global Children Foundation,foundations,
Global Communities,NGOs,
Global Compact,UN Multi,
Global Earthquake Model Foundation,other,
Global Editors Network,private individual organisations,
Global Facility for Disaster Risk Reduction,Other multi,
