Donor,privatemoney,code,check,private?
CRAFOD,no,#N/A,,
Crawford & Company,private,#N/A,,
CRC - NGO Group for the Convention on the Rights of the Child,no,#N/A,,
Creative Association Inc.,private,#N/A,,
Credit Agricole,private,#N/A,,
Credit Suisse,private,#N/A,,
CRIC - Centro Regionale di Intervento per la Cooperazione,no,#N/A,,
Crisis Management Initiative,no,#N/A,,
Croatia,no,#N/A,,
Croatia Red Cross,no,#N/A,,
Croatian Mine Action Center,no,#N/A,,
Croatian Red Cross,no,#N/A,,
"Crocs, Inc.",private,#N/A,,
Croix Rouge Katanga,no,#N/A,,
Croix Rouge RDC,no,#N/A,,
Cross InterNational Cathoilc Outreach,no,#N/A,,
CROWN AGENTS,private,#N/A,,
CRRDC-TD,no,#N/A,,
CRS and Private Foundations,no,#N/A,,
Cruz Roja Costariricense,no,#N/A,,
Cuba,no,#N/A,,
Culture and Free Thought Association,no,#N/A,,
Cumberland Pharmaceuticals Inc,private,#N/A,,
Cummins Foundation,private,#N/A,,
Curaçao Red Cross,no,#N/A,,
Custodia Franciscana,private,#N/A,,
Custodia Franciscana en Tierra Santa,no,#N/A,,
"CVS Caremark Charitable Trust, Inc.",private,#N/A,,
CWS Japan,no,#N/A,,
Cyprus,no,#N/A,,
Cyprus Red Cross,no,#N/A,,
"Cyprus, Republic of - Permanent Mission to the United Nations Office at Geneva",no,#N/A,,
"Cyprus, Republic of - Permanent Mission to the United Nations Office at Geneva",no,#N/A,,
Czech Evang. Diacony,no,#N/A,,
Czech Red Cross,no,#N/A,,
Czech Rep. Red Cross,no,#N/A,,
Czech Republic,no,#N/A,,
Czech Republic Ministry of Foreign Affairs,no,#N/A,,
D. Stiftung furn UNO-Fluchtlingshilfe E.V.,no,#N/A,,
Daaralsalam Development Association,no,#N/A,,
Dabane Trust,no,#N/A,,
DAC - Danish Afghan Committee,no,#N/A,,
DAC Aviation InterNational,private,#N/A,,
DACAAR,no,#N/A,,
Daewoo,private,#N/A,,
Dag Hammarskjold Scholarship Fund for Journalists,no,#N/A,,
Daiichi Sankyo,private,#N/A,,
"Daiki, Inc.",private,#N/A,,
Daimler,private,#N/A,,
Damascus People Participation,no,#N/A,,
Danchurchaid,no,#N/A,,
Danchurchaid / Danish De-mining Group,no,#N/A,,
DANIDA,no,#N/A,,
Danidas Health Sector Programme Support ,no,#N/A,,
Daniela Punz,no,#N/A,,
Danish Assistance to the Self-Reliance Strategy,no,#N/A,,
Danish Association for InterNational Co-operation,no,#N/A,,
Danish Bilharziasis Laboratory,no,#N/A,,
Danish Committee for Aid to Afghan Refugees,no,#N/A,,
Danish De-mining Centre,no,#N/A,,
Danish De-mining Group,no,#N/A,,
Danish Emergency Management Agency,no,#N/A,,
Danish Ethiopian Mission,no,#N/A,,
Danish Fellowship Centre,no,#N/A,,
Danish Institute for Human Rights,no,#N/A,,
Danish InterNational Life Saving Association,no,#N/A,,
Danish Mission Council,no,#N/A,,
Danish People's Aid,no,#N/A,,
Danish People's Relief Association,no,#N/A,,
Danish Powerlines,private,#N/A,,
Danish Production School,no,#N/A,,
Danish Red Cross,no,#N/A,,
Danish Refugee Board,no,#N/A,,
Danish Refugee Council,no,#N/A,,
Danish Refugee Council/ICVA,no,#N/A,,
Danish-ethiopia commen initiative,no,#N/A,,
Danmission,no,#N/A,,
Dannon,private,#N/A,,
Danube Commission,no,#N/A,,
Darden Restaurants,private,#N/A,,
Darfur Peace and Stability Fund,no,#N/A,,
Dark & Light Foundation,private,#N/A,,
Darya Organization for Developing Woman and Community,no,#N/A,,
Datong,private,#N/A,,
Daystar Christian Centre,no,#N/A,,
DCH Auto Group,private,#N/A,,
DCP-TV,private,#N/A,,
DDPS,no,#N/A,,
De Norske Pinsemenigheters Ytremisjon,no,#N/A,,
Defense for Children InterNational,no,#N/A,,
DEH Relief and Development Organization,no,#N/A,,
Dejarup,no,#N/A,,
Delhaize America Inc,private,#N/A,,
DELL,private,#N/A,,
Deloitte and Touche,private,#N/A,,
Delta Development Program,private,#N/A,,
Delvon Assistance for Social Harmony (DASH),no,#N/A,,
Demining Agency for Afghanistan,no,#N/A,,
DEMIRA,no,#N/A,,
Democratic Control of Armed Forces,private,#N/A,,
Democratic Iraqi Women Group,no,#N/A,,
Den norske Advokatforening,private,#N/A,,
Den norske dommerforeningen,private,#N/A,,
Den norske forfatterforening,private,#N/A,,
Den norske Helsingforskomite,no,#N/A,,
Den Norske Kirke,private,#N/A,,
Den norske lægeforening - UD-tilskudd,no,#N/A,,
Den norske Tibet-komite,no,#N/A,,
DENAL,no,#N/A,,
Deniz Feneri Association,no,#N/A,,
Deniz Feneri Yardimlasma ve Dayanisma Dernegi,no,#N/A,,
Denmark,no,#N/A,,
DentaQuest,private,#N/A,,
Departementenes Servicesenter,no,#N/A,,
Department of Defense,no,#N/A,,
Department of Ecumenical Relations and Development,private,#N/A,,
Department of Justice and Police,no,#N/A,,
Department of Settlement and Regional Infrastructure (Kimpraswil),no,#N/A,,
Desert Locust Control Organization for Eastern Africa,no,#N/A,,
Desjardins,private,#N/A,,
Det Mosaiske Trossamfund,private,#N/A,,
Det Norske Menneskerettighetsfond,no,#N/A,,
Det norske Misjonsforbund,no,#N/A,,
Detachement d'Intervention contre les Catasrophes et de Formation,no,#N/A,,
Deutsche Bank AG,private,#N/A,,
Deutsche Gesellschaft für InterNationale Zusammenarbeit,private,Deutsche Gesellschaft für InterNationale Zusammenarbeit,DAC governments,no
Deutsche Gesellschaft fur Technische Zusammenarbeit - GTZ,no,#N/A,,
Deutsche Stiftung,private,#N/A,,
Deutsche Telekom,private,#N/A,,
Deutsche Welthungerhilfe e.V. (German Agro Action),no,#N/A,,
Deutscher Entwicklungsdienst,no,#N/A,,
Deutsches Institute für Arztliche Mission,private,#N/A,,
Deutsches Komitee fur Katastrophenvorsorge e.V.,no,#N/A,,
Devcon,no,#N/A,,
Development Aid from People to People,no,#N/A,,
Development Alternatives Inc.,no,Development Alternatives Inc.,private sector corporation,private
Development and Peace,no,#N/A,,
Development Associates Inc.,private,#N/A,,
Development Education Network for Liberia,no,#N/A,,
Development Frontiers International,no,#N/A,,
Development Initiatives,no,#N/A,,
Development Initiatives Access Link,no,#N/A,,
Development of Palestinian Farmer Association - Deir Albalah,no,#N/A,,
Development Workshop,no,#N/A,,
Developmental Action Without Border (Nabaa),no,#N/A,,
Developpement & Paix,no,#N/A,,
Dewey & LeBoeuf LLP,private,#N/A,,
DEZA,no,#N/A,,
DF Young Inc.,private,#N/A,,
DHL InterNational,private,#N/A,,
DIA,no,#N/A,,
DIA - Social Justice in development,no,#N/A,,
DIA Eritrea/ICCO,no,#N/A,,
Diageo,private,#N/A,,
Diakonia World Federation,no,Diakonia World Federation,Foundation,private
"Diakonia, Sweden",no,#N/A,,
Diakonie Austria,no,#N/A,,
Diakonie Emergency Aid,no,#N/A,,
Diakonie Katastrophenhilfe,no,#N/A,,
DIAKONISCHES WERK DER EKD,no,#N/A,,
Dialog Forening,no,#N/A,,
Dialog InterNational e.V.,private,#N/A,,
Diamer Poverty Alleviation Programme,no,#N/A,,
Digicel Aruba,private,#N/A,,
Digicel Foundation,private,#N/A,,
Digicel Group,private,#N/A,,
Dinah Falala & Phoebe Sandi Foundation,private,#N/A,,
Dinsons (H. Sheikh Noor-ud-Dini & Sons),private,#N/A,,
DIOBASS,no,#N/A,,
Diocese de Hwange,private,#N/A,,
Diocese of Ambikapur,private,#N/A,,
Diocese of Eldoret,private,#N/A,,
Diocese of Gbarnga,private,#N/A,,
Diocese of Meru,no,#N/A,,
Diocese of Padang,private,#N/A,,
Diocese of Rumbek,private,#N/A,,
Diplomat Freight Services,private,#N/A,,
Diplomatische Akademie Wien,no,#N/A,,
Direct Aid,no,#N/A,,
Direct Relief InterNational,no,#N/A,,
DirectAid,no,#N/A,,
Direktoratet for samfunnssikkerhet og beredskap,no,#N/A,,
Disabled Children's Care Organization,no,#N/A,,
Disaster Mitigation Institute,no,#N/A,,
Disaster Prevention and Preparedness Agency,no,#N/A,,
Disaster Prevention and Preparedness Commission Ethiopia,no,#N/A,,
Disaster Relief Agency,no,#N/A,,
Disaster Resource Network,no,#N/A,,
Disasters Emergency Committee (UK),private,#N/A,,
Discover Financial Services,private,#N/A,,
Dispositif National de Prévention et de Gestion des Crises Alimentaires,no,#N/A,,
Dissimilis kult.og komp.senter,no,#N/A,,
Distribuidora Ambiente,no,#N/A,,
Div. Assoc.,no,#N/A,,
Div. E+CIS,no,#N/A,,
Diverse,no,#N/A,,
Djibouti,no,#N/A,,
Djibouti Red Crescent Society,no,#N/A,,
Djibouti Red Cross,no,#N/A,,
DJO Incorporated,no,#N/A,,
DKKV - German Committee for Disaster Reduction,no,#N/A,,
DMR,private,#N/A,,
Docs Heal Africa,no,#N/A,,
"DOCS HEAL AFRICA, Goma",no,#N/A,,
Doctors of the World,no,#N/A,,
Doctors Worldwide,no,#N/A,,
Documentation Center of  Cambodia,no,#N/A,,
DoES,no,#N/A,,
Doha Bank,private,#N/A,,
Dollar General Corporation,private,#N/A,,
Dominican Republic,no,#N/A,,
Don Bosco Mondo Prokur,no,#N/A,,
Donegal Peace Centre,no,#N/A,,
Donor not reported by agency,no,#N/A,,
Dorcas Aid InterNational,no,#N/A,,
Double Harvest,no,#N/A,,
Douleurs san Frontières,no,#N/A,,
Dow Chemical Corporation,private,#N/A,,
Dr Pepper Snapple Group ,private,#N/A,,
"Dr. Fresh, Inc",private,#N/A,,
"DRK, ICRC, IFRC (details not yet provided)",no,#N/A,,
DROPS,no,#N/A,,
DryLands Coordination Group,private,#N/A,,
DSI - Danish Council of Organizations of Disabled People,no,#N/A,,
Dubai Cares (UAE),no,#N/A,,
Dun & Bradstreet,private,#N/A,,
Dunkin Brands,private,#N/A,,
DuPont,private,#N/A,,
Dutch InterNational Aid,no,#N/A,,
Dutch Postcode Lottery,no,#N/A,,
DWF,no,#N/A,,
DynCorp,private,#N/A,,
DZI - German Central Institute for Social Issues ,no,#N/A,,
EADRCC - Euro-Atlantic Disaster Response Coord.Centre,no,#N/A,,
Eagle Global Logistics,private,#N/A,,
Earthquake Relief Fund for Orphans,no,#N/A,,
East Bay Community Foundation,private,#N/A,,
Eastern Community Development and Humanitarian Organization,no,#N/A,,
Eastman Kodak Charitable Trust,private,#N/A,,
Eaton Corp,private,#N/A,,
EAUR,no,#N/A,,
Eaux de Marseille (Société des),no,#N/A,,
eBay Foundation,private,#N/A,,
EC/UNDP Consortium,no,#N/A,,
ECCRD,no,#N/A,,
Echelle appui au développement,no,#N/A,,
Ecolab Inc.,private,#N/A,,
Ecole Polytechnique Fédérale De Lausanne,no,#N/A,,
Economic & Social Development Centre of Palestine,no,Economic & Social Development Centre of Palestine,NGOs,
Economic Community of West African States,no,#N/A,,
Economic Research Forum,no,#N/A,,
Ecuador,no,#N/A,,
Ecuador Red Cross,no,#N/A,,
Ecuadorian Red Cross,no,#N/A,,
EDF9,no,#N/A,,
Edinburgh Direct Aid,no,#N/A,,
Edith Wilkins Hope Foundation,private,#N/A,,
EDM,no,#N/A,,
Education Above All Foundation,private,#N/A,,
Education Action InterNational,no,#N/A,,
Education Development Center,no,#N/A,,
"Education, Health, Social Awareness and Rehabilitation Foundation",private,"Education, Health, Social Awareness and Rehabilitation Foundation",NGOs,no
EFICOR - Evangelical Fellowship of India Commission on Relief ,no,#N/A,,
Egypt,no,#N/A,,
Egyptian Red Crescent,no,#N/A,,
Egyptian Red Crescent Society,no,#N/A,,
Eid Charity,no,#N/A,,
"Eine Welt Kreis, Zell an der Pram",no,#N/A,,
Eine Welt-öö Landlerhilfe,no,#N/A,,
Eisai Co. Ltd.,private,#N/A,,
EITI - Extractive Industry Transparency Initiative,no,#N/A,,
El Barde Primary Helath Care Organization,no,#N/A,,
El Obeid,no,#N/A,,
El Ruhama for Development and Humanitarian Aid,no,#N/A,,
El Ruhama Organization for Development and Humanitarian Aid,no,#N/A,,
El Salvador,no,#N/A,,
El Salvador Red Cross,no,#N/A,,
Electriciens sans frontières,no,#N/A,,
Electricite de France,private,#N/A,,
Elena Trevisanato Onlus Foundation,private,#N/A,,
Eli Lilly ,private,#N/A,,
ELIMU,no,#N/A,,
EMC Corporation,private,#N/A,,
"EMCOR Group, Inc",private,#N/A,,
EMERCOM,no,#N/A,,
EMERCOM/Mongolia,no,#N/A,,
EMERCOM/Russian Federation,no,#N/A,,
Emergencies Unit for Ethiopia,no,#N/A,,
EMERGENCY,no,#N/A,,
Emergency Action Uganda,no,#N/A,,
Emergency Architects,no,#N/A,,
Emergency Life Support for Civilian War Victims,no,#N/A,,
Emergency Management Unit,no,#N/A,,
Emergency Nutrition Network,no,#N/A,,
Emergency Organization Group Copenhagen,no,#N/A,,
Emergency Relief InterNational,no,#N/A,,
Emergency Response Fund (OCHA),no,#N/A,,
Emmanuel InterNational,no,#N/A,,
Emmanuel InterNational of Canada,no,#N/A,,
Emmaüs InterNational,no,#N/A,,
Empress Shoken Fund,private,#N/A,,
ENDESA Group,private,#N/A,,
Energy Regulators Regional Association,private,#N/A,,
Enfance Tiers Monde asbl,no,#N/A,,
Enfants de Cusco,no,#N/A,,
Enfants des rizières,no,#N/A,,
Enfants du Monde,no,#N/A,,
Enfants du Monde - Droits de l'Homme,no,#N/A,,
Enfants et Développement,no,#N/A,,
Enfants Refugies du Monde ,no,#N/A,,
Eng Oppen Hand fir Malawi,no,#N/A,,
Enhanced Online News,private,#N/A,,
Ensemble Contre la Peine de Mort,private,#N/A,,
Entrepreneurs du Monde,no,#N/A,,
Environment Africa,no,#N/A,,
EO metterdaad,private,#N/A,,
EPER Lausanne,no,#N/A,,
EPI-Center,no,#N/A,,
"Episcopal Conference, Peru",no,#N/A,,
Episcopal Relief and Development,private,#N/A,,
EPRO,no,#N/A,,
EP-Team,no,#N/A,,
Equate Petrochemical,private,#N/A,,
Equatorial Guinea,no,#N/A,,
Equatorial Guinea ,no,#N/A,,
Equilibre,private,#N/A,,
EQUIP Liberia,no,#N/A,,
EQUITAS - InterNational Centre for Human Rights Education,no,#N/A,,
ERF Recipients,no,#N/A,,
ERF Recipients,no,#N/A,,
ERF Recipients Outside Appeals,no,#N/A,,
ERIC,no,#N/A,,
Ericsson,private,#N/A,,
Erika Weissenböck,no,#N/A,,
"Erikshjälpen, Sweden",no,#N/A,,
Eritrea,no,#N/A,,
Ernesto Sabato Foundation,private,#N/A,,
Espana con ACNUR,no,#N/A,,
ESPE,no,#N/A,,
Esperanza InterNational Foundation,private,#N/A,,
Estonia,no,#N/A,,
Estonia Red Cross,no,#N/A,,
Estonian Disaster Relief Team ,no,#N/A,,
Estonian Public Service Academy,no,#N/A,,
Estonian Public Service Academy ,no,#N/A,,
Estonian Rescue Board ,no,#N/A,,
Estonian Veterinary and Food Laboratory,private,#N/A,,
ETANA Press,no,#N/A,,
Ethiopia,no,#N/A,,
Ethiopian Mine Action Center,no,#N/A,,
Ethiopian Muslims Relief and Development Association,no,#N/A,,
Ethiopian Orthodox Church,private,#N/A,,
Ethiopian Red Cross,no,#N/A,,
Ethiopian Red Cross Society,no,#N/A,,
ETHZ/SED/CRAAG,no,#N/A,,
EU Special Representative,no,#N/A,,
EU/DFSIS,no,#N/A,,
Eugene Bell Foundation,private,#N/A,,
Eurest Personalrestauranter AS,private,#N/A,,
Euro-Mediterranean Foundation of Support to Human Rights Defenders,private,#N/A,,
EuronAid,no,#N/A,,
European Agency for Reconstruction,no,#N/A,,
European Centre for Common Ground/Common Ground,no,#N/A,,
European Centre for Conflict Prevention,no,#N/A,,
European Children's Trust,no,#N/A,,
European Commission,no,#N/A,,
European Commission Civil Protection Mechanism,no,#N/A,,
European Commission Directorate General for Development,no,#N/A,,
European Commission EuropeAid Co-operation Office,no,#N/A,,
European Commission EuropeAid Development and Cooperation,no,#N/A,,
European Commission Humanitarian Aid Office,no,#N/A,,
European Commission Rapid Reaction Mechanism,no,#N/A,,
European Committe for Agriculture and Training,no,#N/A,,
European Committee for Agriculture and Training,no,#N/A,,
European Grassroots Antiracist Movement,no,#N/A,,
European Investment Bank,no,#N/A,,
European Perspective,no,#N/A,,
European Union,no,#N/A,,
European Union Border Assistance Mission,no,#N/A,,
European Union Programme Support Unit 1,no,#N/A,,
European Union Programme Support Unit 2,no,#N/A,,
Ev. Zentralstelle e.V.,private,#N/A,,
Evangelical Children Rehabilitation Programme,no,#N/A,,
Evangelical Development Programme,private,#N/A,,
Evangelical Devolpment Programme,private,#N/A,,
Evangelical Fellowship of India Commission on Relief,private,#N/A,,
Exactmobile (South Africa),private,#N/A,,
Excelon Corporation,private,#N/A,,
EXNORA,no,#N/A,,
Experts Comptables Associés,no,#N/A,,
ExxonMobil,private,#N/A,,
"F. M. Kirby Foundation, Inc.",private,#N/A,,
Fact Mutare,no,#N/A,,
Faeroe Islands,no,#N/A,,
FAFO ,no,#N/A,,
Faire Face,private,#N/A,,
Fairfax County Search and Rescue,no,#N/A,,
Fairmed,no,#N/A,,
FAIRMED Foundation,private,#N/A,,
Fairmount Minerals Foundation,private,#N/A,,
Family Charitable Organisation,private,#N/A,,
Family Empowerment and Relief Organisation,private,#N/A,,
Family Health InterNational,private,#N/A,,
Family Planning Organization of the Philippines,no,#N/A,,
FAO/UNDP,no,#N/A,,
FAO/WFP,no,#N/A,,
FAR/IRC,no,#N/A,,
FAREM,no,#N/A,,
FARM Africa,no,#N/A,,
Farm Community Trust of Zimbabwe,no,#N/A,,
Farmer Life Development Agency,no,#N/A,,
Farmers Insurance,private,#N/A,,
Farmers Integrated Development Association,private,#N/A,,
Faroe Islands,no,#N/A,,
Fazilia Trust Pakistan,no,#N/A,,
FE Y ALEGRIA,private,#N/A,,
FEA Austria DFA/UFAEG,no,#N/A,,
FED. I. D. Ligues/Droits l'homme,no,#N/A,,
Federal Foreign Office,no,#N/A,,
Federation des ONG laiques à Vocation Economique du Congo ,no,#N/A,,
Federation InterNationale de Football Association (FIFA),private,#N/A,,
Federation of Women Lawyers in Kenya,private,#N/A,,
FedEx,private,#N/A,,
Feed My Starving Children,no,#N/A,,
Feed the Children,no,#N/A,,
Feed the Hungry,no,#N/A,,
Feinstein Center,no,#N/A,,
Fellowship for African Relief,no,#N/A,,
Fellowship for African Relief ,no,#N/A,,
FERT,no,#N/A,,
FEWS,no,#N/A,,
FGMed,no,#N/A,,
Fiat Group,private,#N/A,,
FICASE,private,#N/A,,
Fida InterNational (previously Finnish Free Foreign Mission),no,#N/A,,
FIDCON,private,#N/A,,
Fifth Third Bank,private,#N/A,,
Fiji,no,#N/A,,
Fiji Institution of Engineers,no,#N/A,,
Fiji Red Cross,no,#N/A,,
Fiji Red Cross Society,no,#N/A,,
FIJIWater,private,#N/A,,
Film Aid,no,#N/A,,
Finca,no,#N/A,,
Finland,no,#N/A,,
Finland Red Cross,no,#N/A,,
Finnchurchaid,no,#N/A,,
Finnchurchaid/Mines Advisory Group,no,#N/A,,
Finnish Red Cross,no,#N/A,,
Finnish Red Cross/Cambodian Red Cross,no,#N/A,,
Firemen without Borders,no,#N/A,,
First Data Corporation,private,#N/A,,
First Moscow Gymnasium,no,#N/A,,
First National Bank of Namibia,private,#N/A,,
Fishermen of Christ Incorporated Philippines,no,#N/A,,
Flakstad Kommune,no,#N/A,,
Flanders Cooperation ,no,#N/A,,
Flanders InterNational Red Cross Society,no,#N/A,,
Fleet Forum,no,#N/A,,
Flemish Office for Development Co-Operation and Technical Assistance,no,#N/A,,
Flood Damage Rehabilitation Committee,no,#N/A,,
Floresta Ayiti [Plant With Purpose],private,#N/A,,
Florida InterNational University,no,#N/A,,
Floridon Foundation,private,#N/A,,
Flowserve,private,#N/A,,
Flüchtlingshilfe Langen e.V.,no,#N/A,,
FMYY,private,#N/A,,
FOCUS Humanitarian Aid,no,#N/A,,
Focus Humanitarian Assistance,no,Focus Humanitarian Assistance,NGOs,
FOCUS InterNational,no,#N/A,,
Foley Hoag LLP,private,#N/A,,
Folkekirkens Nodhjaelp,no,#N/A,,
Fondasyon Kole Zepol,private,#N/A,,
Fondation Assistance InterNationale,private,#N/A,,
Fondation Caritas Luxembourg,no,#N/A,,
Fondation Chreschte mam Sahel,private,#N/A,,
Fondation de France,private,#N/A,,
Fondation de l'Ordre de Malte pour le Liban,no,#N/A,,
Fondation Femmes plus,private,#N/A,,
Fondation Hirondelle,private,#N/A,,
Fondation InterNationale Carrefour,private,#N/A,,
Fondation Luxembourgeoise Raoul Follereau,private,#N/A,,
Fondation Meninos e Meninas de Rua,private,#N/A,,
Fondation Orient Occident ,private,#N/A,,
FONDATION POUR L INSTITUT,private,#N/A,,
Fondation Raoul Follereau,private,#N/A,,
Fondation Suisse pour le Déminage,private,Fondation Suisse pour le Déminage,NGOs,no
Fondazione Un Raggio di Luce,no,#N/A,,
Fonds voor OntwikkelingsSamenwerking,no,#N/A,,
Fönix Special Rescue Team,private,#N/A,,
FONKOZE,no,#N/A,,
Food & Agriculture Organization of the United Nations,no,#N/A,,
Food Aid Liaison Unit/WFP,no,#N/A,,
Food for the Hungry ,no,#N/A,,
Food for the Hungry InterNational,no,#N/A,,
Food for the Poor,no,#N/A,,
Food Security Network,no,#N/A,,
Forced Migration Review,no,#N/A,,
Ford Foundation,private,#N/A,,
Forest for Peace,no,#N/A,,
Foresters,private,#N/A,,
Formal Education Network for Private Schools,no,#N/A,,
Foro Femenino Ma Maeztu,no,#N/A,,
Forsvarets forskningsinstitutt,no,#N/A,,
Forum for African Women Educationalist Gambia Chapter,no,#N/A,,
Forum for Early Warning ,no,#N/A,,
FORUT,no,#N/A,,
Forward Edge InterNational,no,#N/A,,
FOSENET - NGO Food Security Network - Zimbabwe,no,#N/A,,
Foster Parents Plan Canada,private,#N/A,,
Foundation for Co-existence,private,#N/A,,
Foundation for European Development Assistance,private,#N/A,,
Foundation for HR and Freedoms and Humanitarian Relief,no,#N/A,,
Foundation for Rural Development,no,#N/A,,
Foundation for the Future,private,#N/A,,
Foundation for the Peoples of the South Pacific International,private,#N/A,,
Foundation for the Refugee Trust,private,#N/A,,
Foundation Limmat,private,#N/A,,
Foundation of the United for Relief and Adiding Development ,no,#N/A,,
Foundation Politeon,private,#N/A,,
Foundation Signs,private,#N/A,,
Foundation Together,private,#N/A,,
Foundation Vida Peru,private,#N/A,,
Foundation-NL,private,#N/A,,
Four Homes of Mercy,no,#N/A,,
Foyer Maurice Sixto,private,#N/A,,
FPDO,no,FPDO,NGOs,
FPL Group Foundation,private,#N/A,,
France,no,#N/A,,
France Cooperation InterNationale,no,#N/A,,
France Coopération InterNationale,no,#N/A,,
Franciscan Missionary of Mary,private,#N/A,,
Franziskaner,no,#N/A,,
Fray Rene Giroux Mission,no,#N/A,,
"FRAZIMA, S.A.",private,#N/A,,
Fred Hollows Foundation,private,#N/A,,
Freedom of Expression and of Association,no,#N/A,,
Freeport-McMoRan Copper & Gold Inc,private,#N/A,,
Freightco,private,#N/A,,
French NGOs,no,#N/A,,
French Polynesia,no,#N/A,,
French Red Cross,no,#N/A,,
Frère des Hommes,no,#N/A,,
Frères des Hommes,no,#N/A,,
Freundschaftsbrucke Deutschland e.V.,no,#N/A,,
Freundschaftsbrucke-Kinder der Perestroika e.V,no,#N/A,,
Friedensdorf InterNational,no,#N/A,,
Friends Foundation,private,#N/A,,
"Friends of  UNRWA Association, USA",private,#N/A,,
Friends of Love,no,#N/A,,
Friendship,no,#N/A,,
Front Line,no,#N/A,,
Frontiers Ruwad,no,#N/A,,
"Frontiers, Ruwad Association",private,#N/A,,
FRT,no,#N/A,,
FSS,private,#N/A,,
Ft. Bernard Kurera,private,#N/A,,
Ft. Hubert Leeb,private,#N/A,,
Ft. Jakob Krinzinger,private,#N/A,,
Ft. Josef Schröger,private,#N/A,,
Ft. Karl Kuppelwieser,private,#N/A,,
Ft. Petrus Obermüller,private,#N/A,,
FTHS,no,#N/A,,
Fuel Relief Fund ,no,#N/A,,
FUJIFILM Holdings Corporation,private,#N/A,,
Fujitsu,private,#N/A,,
Full Gospel Assemblies,private,#N/A,,
Fund for the Good Living in Muslim Countires,no,#N/A,,
Fundación Amalaka,private,#N/A,,
Fundación AMEPBO ,no,#N/A,,
Fundación Antonio Restrepo Barco,private,#N/A,,
Fundación Apoyar,private,#N/A,,
Fundacion APY,private,#N/A,,
FUNDACION CIPPEC,private,#N/A,,
Fundacion de Beneficencia Capacitas,private,#N/A,,
Fundacion Imagina,private,#N/A,,
FUNDACION LA CAIXA (FLC),private,#N/A,,
Fundación Mi Sangre,private,#N/A,,
Fundacion para la Libertad de Prensa,no,#N/A,,
Fundación para las Relaciones Internacionales y el Diálogo Exterior,no,#N/A,,
Fundacion Paz - Holandesa,private,#N/A,,
Fundacion Promocion Social de la Cultura,private,Fundacion Promocion Social de la Cultura,NGOs,no
Funksjonshemmedes fellesorganisasjon,private,#N/A,,
Future of Orphans,no,#N/A,,
FXB -  François-Xavier Bagnoud,no,#N/A,,
G.havanbedrijf Antwerpen,no,#N/A,,
GAAC,no,#N/A,,
Gabon,no,#N/A,,
Gaddafi InterNational Charity and Development Foundation (GICDF),private,#N/A,,
Galicia Humanitarian Agency Foundation,no,#N/A,,
Gamarra's Merchant Commission,private,#N/A,,
Gambia,no,#N/A,,
Gap Inc.,private,#N/A,,
GAPAR - Syrian General Authority for Palestine Arab Refugees,no,#N/A,,
Gargaaar Relief and Development Organization,no,#N/A,,
GAVI Alliance,no,#N/A,,
Gaza Community Mental Health Programme,no,#N/A,,
Gaza Zakat Committee,no,#N/A,,
GCIDS,no,#N/A,,
GDPI,no,#N/A,,
GE Foundation,private,#N/A,,
GEA Society,private,#N/A,,
GEAD,no,#N/A,,
GECONKFOR/CIMIC,no,#N/A,,
Gedo Women Development Organization,no,#N/A,,
Gemeinnützige Entwicklungszusammenarbeit GmbH (GEZA),no,#N/A,,
Gender Education Empowerment and Leadership Organization,no,#N/A,,
General Administration for Palestinian Arab Refugees,no,#N/A,,
General Electric,private,#N/A,,
General Mills Foundation,private,#N/A,,
General Motors Foundation,private,#N/A,,
General Secretariat of Awkaf,no,#N/A,,
General Service Agency,no,#N/A,,
Genesis Software,private,#N/A,,
Geneva Call,no,#N/A,,
Geneva Forum,no,#N/A,,
Geneva Institute for Human Rights,no,#N/A,,
Geneva InterNational Centre for Humanitarian Demining,no,#N/A,,
GenNX360,private,#N/A,,
GeoForschungsZentrum Potsdam,no,#N/A,,
Geohazards InterNational,no,#N/A,,
"GeoLogistics Services, Inc.",private,#N/A,,
Georg Dechentreiter Wohlfahrtsstiftung,private,#N/A,,
Georg Fischer (Clean Water Foundation),private,#N/A,,
Georgia,no,#N/A,,
Georgian Red Cross,no,#N/A,,
Gerdau Ameristeel,private,#N/A,,
German Development Service,no,#N/A,,
German Doctors for Developing Countries,no,#N/A,,
German Embassy in Bangladesh,no,#N/A,,
German Embassy Sofia,no,#N/A,,
"German medical aid organisation ""action medeor""",no,#N/A,,
German Mission Herat,private,#N/A,,
German Red Cross,no,#N/A,,
German Relation Office Ramallah,no,#N/A,,
Germany,no,#N/A,,
GESA -  Gesundheitshilfe Afghanistan e.V,no,#N/A,,
GFC,no,#N/A,,
Ghana,no,#N/A,,
Giant Food Stores,private,#N/A,,
"Gibson, Dunn & Crutcher ",private,#N/A,,
"Gift of the Givers Foundation (Pietermaritzburg, RSA)",private,#N/A,,
Gifts in kind InterNational,no,#N/A,,
GIGnos (consulting company),private,#N/A,,
Girls are a Treasure Network,no,#N/A,,
Give World,private,#N/A,,
Give2Asia,private,#N/A,,
GKST - Presbyterian Christian Church of Central Sulawesi,private,#N/A,,
GlaxoSmithKline,private,#N/A,,
Glencree Centre for Peace and Reconciliation,no,#N/A,,
GLIA Initiative Project HIV/AIDS,no,#N/A,,
Global 2000 of the Carter Centre,no,#N/A,,
Global Aid Network,no,#N/A,,
