country,continent,regionUN,subregionUN,totalpop2015,under5pop,urbanpop,over65pop,u5mr2009,u5mr2010,u5mr2011,u5mr2012,u5mr2013,yearpov125_1,poverty125_1,yearpov125_2,poverty125_2,yearpov125_3,poverty125_3,yearpov125_4,poverty125_4,yearpov2_1,poverty2_1,yearpov2_2,poverty2_2,yearpov2_3,poverty2_3,yearpov2_4,poverty2_4,yearGDP_1,GDP_1,yearGDP_2,GDP_2,yearGDP_3,GDP_3,yearGDP_4,GDP_4,yearGDP_5,GDP_5,year_gini,value_gini,year_stunting_current,prev_stunting_current,number_stunting_current,current_aarr_stunting,reqd_aarr_stunting,stunting_progress,year_u5overweight,prev_u5overweight,number_u5overweight,current_aarr_u5overweight,reqd_aarr_u5overweight,u5overweight_progress,year_wasting,prev_wasting,number_wasting,wasting_progress,year_sev_wasting,number_sev_wasting,prev_sev_wasting,year_ebf_current,value_ebf_current,EBF_progress,year_lbw,LBW,year_stuntingtrend1,rate_stuntingtrend1,year_stuntingtrend2,rate_stuntingtrend2,year_stuntingtrend3,rate_stuntingtrend3,year_stuntingtrend4,rate_stuntingtrend4,year_stuntingtrend5,rate_stuntingtrend5,year_adolOWOB,AdolOW,AdolOB,year_heightBMI,prev_height145,prev_BMI185,year_adult_OB_OW,ow_male,ow_female,ow_bothsexes,ob_male,ob_female,ob_bothsexes,year_WRAanaemia,WRAanaemia_RATE,WRAanaemia_NUMBER,year_WHAtarget_WRAanaemia,WHAtarget_WRAanaemia1,year_vitA_def,prevalence_vita,year_IodineNutrition,Class_IodineNutrition,year_bloodglucose,BGboth,BGmale,BGfemale,year_bloodpressure,BPboth,BPmale,BPfemale,year_cholesterol,cholesterol_BOTH,cholesterol_MALE,cholesterol_FEMALE,YearMAD,MADTotal,YearMDD,MDDtotal,year_UNICEF_ANC_4,value_UNICEF_ANC_4,year_skilled,value_UNICEF_skilled_att,yearearly,early_BF,year_continued_BF,continued_BF,year_UNpop_Unmet_Needs,UnmetneedTotal,year_EBFtrend_1,EBF_trend_1,Source_EBFtrend1,year_EBFtrend_2,EBF_trend_2,Source_EBFtrend_2,year_EBFtrend_3,EBF_trend_3,Source_EBFtrend_3,year_SAM,SAMcoverage_rate,year_vitA_coverage,vitaminAdosecoverage,year_ORS,ORS,year_DTP,DTP3,year_Iodised,householdconsumingsalt,value_undernourishment1991,value_undernourishment2000,value_undernourishment2010,value_undernourishment2015,fruitandveg_gram1990,fruitandveg_gram2000,fruitandveg_gram2010,fruitandveg_gram2011,value_nonstaples1991,value_nonstaples2000,value_nonstaples2009,value_nonstaples2012,gender_inequality_year,gender_inequality_index,gender_inequality_rank,yearphysician,valuephysician,yearnurse,valuenurse,yearhealthworker,valuehealthworker,year_early_childbearing,early_childbearing,year_femaleED_1,rate_femaleED_1,year_femaleED_2,rate_femaleED_2,year_femaleED_3,rate_femaleED_3,year_femaleED_4,rate_femaleED_4,year_femaleED_5,rate_femaleED_5,water_piped1990,water_othimprov1990,water_unimprov1990,water_surface1990,water_piped2000,water_unimprov2000,water_othimprov2000,water_surface2000,water_piped2015,water_othimprov2015,water_unimprov2015,water_surface2015,san_improved1990,san_shared1990,san_othunimprov1990,san_opendef1990,san_improved2000,san_shared2000,san_othunimprov2000,san_opendef2000,san_improved2015,san_shared2015,san_othunimprov2015,san_opendef2015,totag_ppp1990,toteducation_ppp1990,tothealth_ppp1990,totsp_ppp1990,totag_ppp2000,toteducation_ppp2000,tothealth_ppp2000,totsp_ppp2000,totag_ppp2010,toteducation_ppp2010,tothealth_ppp2010,totsp_ppp2010,totag_ppp2012,toteducation_ppp2012,tothealth_ppp2012,totsp_ppp2012,year_code_bf,Code_breastfeeding,year_RTF,RTF_level1,year_maternityprotection,cat_maternityprotection,year_FFI,Fortification,year_policyrank,undernutritionrank_1to126,overnutritionrank_1to116,year_NCDpolicy,hypertension_policy,diabetes_policy,year_SUN,SUN_Process1,SUN_Process2,SUN_Process3,SUN_Process4,SUN_TotalAccomplished
Lesotho,Africa,Africa,Southern Africa,2120,265,31,8,113,109,102,100,98,2010,56,2002,55,1994,56,1993,67,2010,73,2002,74,1994,69,1993,80,2014,2494,2013,2473,2012,2390,2011,2301,2010,2235,2007,41,2014,33,87,3,4,Off course - Some progress,2014,7,19,-0.270000011,0.5,Off course - No progress,2014,3,7,on course,2014,0,0.600000024,2014,67,on course,2009,10.7,2014,33,2009,39,2004,45,2000,53,1993,38,,,,2009,1.2,3.6,2014,19,51,35,4,24,14,2011,27,151,2011,Currently off course,2013,44,1999,Moderate iodine deficiency,2008,11,9,12,2008,45,46,45,2008,24,21,24,,,,,2009,70.4,2009,62,2009,53.4,2009,77,2014,18.4,2004,36.4,DHS,2009,53.5,DHS,2014,66.9,DHS,2012,,2013,66,2009,51.3,2013,96,2009,79.4,15.60000038,13,11.39999962,11.19999981,139,107,105,110,22,20,19,,2013,0.557,126,2003,0.049,2003,0.623,,,,13,2012,62,2011,61,2010,59,2009,55,2008,51,6,71,21,2,10,20,69,1,22,60,18,0,,,,,24,9,21,46,30,12,25,33,9.8,17.5,10.7,1.6,3.7,19.5,7.1,2.9,3.1,18.4,8.9,0.3,3.2,17.1,9.7,0.2,2014,Measure drafted awaiting final approval,2003,Medium low,2011,Partial,,Planning,2012 -2017,24,60,2010,"Available, fully implemented","Available, fully implemented",,,,,,
Liberia,Africa,Africa,Western Africa,4503,701,50,6,87,82,78,74,71,,,,,,,2007,84,,,,,,,2007,95,2014,934,2013,875,2012,782,2011,729,2010,689,2009,46,2013,32,220,8,5,On course - Good progress,2013,3,22,4.429999828,0.0,On course - Good progress,2013,6,38,off course,2013,0,2,2013,55,on course,2007,14,,,2013,32,2010,42,2007,39,2000,45,,,,2013,2.2,6.1,2014,17,33,25,3,11,7,2011,49,475,2011,Currently off course,2013,60,1999,"Risk of adverse health consequences (iodine induced hyperthyroidism, auto-immune thyroid diseases)",2008,9,8,9,2008,46,47,45,2008,16,14,18,2013,4,2013,11.3,2007,66,2007,46,2013,61.2,2013,88,2013,31.1,1999-2000,35.4,NS,2007,29.1,DHS,2013,55.2,DHS,2012,43.2,2013,88,2007,53.1,2013,89,,,29,36.5,34.90000153,31.89999962,216,249,197,195,33,35,33,,2013,0.655,145,2008,0.014,2008,0.274,2004,0.041,,38,,,2014,33,2011,41,2000,30,1999,25,,,,,3,26,59,12,2,74,7,17,,,,,13,19,21,47,17,25,10,48,3.8,11.8,5.5,1.1,2.0,13.3,6.8,1.0,3.4,9.3,9.1,0.7,1.9,14.0,9.8,0.6,2014,Some provisions voluntary,2003,Medium high,.,,,Mandatory,2011-2016,65,116,2010,Not available,Not available,2014,17,22,29,19,22
Libya,Africa,Africa,Northern Africa,6317,631,78,10,18,17,16,15,15,,,,,,,,,,,,,,,,,2014,14887,2013,19760,2012,23032,2011,11358,2010,30261,2009,61,2007,21,132,,3,,2007,22,141,,6.3,,2007,7,41,off course,2007,0,2.900000095,,,,,,,,,,,,2007,21,1995,21,2007,26,8.2,,,,2014,67,71,69,27,40,33,2011,28,503,2011,Currently off course,2013,8,,,2008,14,15,14,2008,50,52,47,2008,36,35,37,,,,,,,2008,100,,,,,2007,27,,,.,,,.,,,.,2012,,,,,,2013,98,,,,,,,737,746,801,846,,,,,2013,0.215,40,2009,1.9,2009,6.8,,,,,,,2006,113,2005,108,2003,114,2002,116,,,29,,,29,71,,,,,,97,,3,,97,,4,,97,,3,,,,,,,,,,,,,,,,,,2014,Action to end Free Supplies only,.,,2011,Yes,2015,,,,,2010,"Available, partially implemented","Available, partially implemented",,,,,,
Liechtenstein,Europe,Europe,Western Europe,37,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,,,2011,,,,,,2008,,,,2008,,,,2008,,,,,,,,,,.,,,,,,,,,,.,,,.,,,.,2012,,,,,,,,,,,,,,,,,,,,,,2013,,,,,,,,,,,2012,101,2011,101,2010,100,2009,98,2008,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,2003,Medium low,.,,,No Fortification,,,,.,,,,,,,,
Lithuania,Europe,Europe,Northern Europe,2999,167,68,31,7,7,6,6,5,2011,1,2010,1,2008,0,2006,1,2011,1,2010,3,2008,0,2006,2,2014,25708,2013,24732,2012,23711,2011,22530,2010,20758,2010,29,,,,,,,,,,,,,,,,,,,,,,,2012,4.8,,,,,,,,,,,,,,,,,2014,63,58,60,23,28,26,2011,23,194,2011,Currently off course,,,1995,Mild iodine deficiency,2008,10,11,10,2008,48,52,43,2008,55,55,54,,,,,,,2006,100,,,,,1995,18,,,.,,,.,,,.,2012,,,,,,2013,93,,,,,,,,447,377,458,47,51,61,,2013,0.116,21,2012,4.116,,,,,,,2012,103,2011,105,2010,106,2009,105,2008,105,74,13,13,,82,9,9,,93,4,3,,83,2,15,,87,2,13,,92,2,6,,,,,,5.6,6.3,1.2,4.9,2.6,6.0,12.6,34.3,2.3,7.2,17.3,33.1,2014,Being studied,2003,Medium,2011,Yes,,No Fortification,Unitil 2030,126,116,2010,"Available, fully implemented","Available, fully implemented",,,,,,
Luxembourg,Europe,Europe,Western Europe,543,32,86,29,3,2,2,2,2,,,,,,,,,,,,,,,,,2013,88850,2012,89153,2011,91469,2010,91147,2009,88284,2009,46,,,,,,,,,,,,,,,,,,,,,,,2011,7.1,,,,,,,,,,,,,,,,,2014,68,48,58,27,20,23,2011,18,23,2011,Currently off course,,,1994,Mild iodine deficiency,2008,8,10,7,2008,37,42,31,2008,67,70,64,,,,,,,2003,100,,,,,,,,,.,,,.,,,.,2012,,,,,,2013,99,,,,,,,,817,782,855,,75,71,,2013,0.154,29,2013,2.9,2013,12.611,,,,,2012,102,2011,103,2010,103,2008,98,2007,98,100,0,0,0,100,0,0,0,100,0,0,0,98,2,0,0,98,2,0,0,98,2,0,0,3.0,11.3,11.1,39.4,1.2,11.5,10.9,41.7,1.0,12.0,11.6,43.1,0.9,12.3,11.5,43.2,2014,Many provisions law,2003,Medium low,2011,Yes,,No Fortification,Not indicated,126,16,2010,"Available, partially implemented","Available, partially implemented",,,,,,
Madagascar,Africa,Africa,Eastern Africa,24235,3770,35,6,66,63,61,58,56,2010,88,2005,82,2001,76,1999,82,2010,95,2005,93,2001,89,1999,93,2014,1371,2013,1369,2012,1374,2011,1372,2010,1390,2011,31,2009,49,1631,1,6,Off course - Some progress,,,,,,,,,,,,,,2012,42,Off course no progress,2008,16,2009,49,2004,53,1997,58,1995,55,1993,54,,,,2008,6.9,28.2,2014,15,30,23,2,9,5,2011,32,1603,2011,Currently off course,2013,52,,,2008,8,8,7,2008,48,49,46,2008,24,24,26,,,,,2012,51.1,2012-2013,44,2012,65.8,2012,89,2009,19,2003-2004,67.2,DHS,2008-2009,50.7,DHS,2012-13,41.9,NS,2012,23.6,2013,94,2012,14.6,2013,74,2009,50.3,27.29999924,34.79999924,31.60000038,33,232,183,178,181,26,23,21,20,2013,,,2007,0.161,2004,0.316,2004,0.022,2012-2013,36,2013,38,2012,37,2011,36,2009,29,2008,28,6,23,27,44,7,27,31,35,7,45,26,22,9,14,26,51,10,15,28,47,12,18,30,40,14.5,15.0,6.1,2.4,,,,,,,,,,,,,2014,Law,2003,Medium,2011,Yes,,No Fortification,2007-2012,11,116,2010,"Available, partially implemented","Available, partially implemented",2014,62,56,54,54,57
Malawi,Africa,Africa,Eastern Africa,17309,2911,16,6,89,83,77,71,68,,,2010,72,2004,75,1997,83,,,2010,88,2004,91,1997,94,2014,778,2013,757,2012,740,2011,747,2010,737,2010,43,2014,42,1221,3,6,Off course - Some progress,2014,5,147,13.71000004,0.0,On course - Good progress,2014,4,109,on course,2014,0,1.100000024,2014,70,Off course no progress,2010,13.5,2014,42,2010,48,2009,49,2006,53,2004,53,2009,6,0.3,2010,2,7,2014,13,31,22,2,9,5,2011,29,984,2011,Currently off course,2013,47,,,2008,6,6,6,2008,50,52,48,2008,24,23,25,2010,19,2010,29.4,2010,45.5,2010,71,2010,94.5,2014,97,2014,19.4,2006,56.7,MICS,2010,71.4,DHS,2014,70.2,NS,2012,83.7,2013,90,2010,69,2013,89,2010,62.1,44.70000076,28.60000038,21.79999924,20.70000076,194,226,236,230,27,25,29,,2013,0.591,131,2009,0.019,2009,0.343,2008,0.732,,35,2013,35,2012,32,2011,32,2010,31,2009,29,6,36,41,17,7,27,56,10,8,82,9,1,29,17,25,29,34,20,27,19,41,24,31,4,9.9,12.2,7.5,16.1,4.9,12.9,6.4,4.1,18.9,20.8,20.1,8.8,,,,,2014,Many provisions law,2003,High,2011,No,,Planning,2011-2016,1,110,2010,Not available,Not available,2014,75,74,61,69,70
Malaysia,Asia,Asia,South-Eastern Asia,30651,2630,75,11,8,9,9,9,9,2009,0,2007,0,2004,1,1997,1,2009,2,2007,3,2004,8,1997,7,2014,23579,2013,22589,2012,21920,2011,21096,2010,20398,2010,27,2006,17,438,3,4,Off course - Some progress,,,,,,,,,,,2006,,,1996,29,,2012,11.1,2006,17,1999,21,,,,,,,2012,23.7,9.6,,,,2014,37,40,39,11,16,13,2011,21,1556,2011,Currently off course,2013,7,1995,Mild iodine deficiency,2008,11,12,11,2008,38,40,36,2008,52,50,54,,,,,,,2012,99,,,,,,,,,.,,,.,1996,29,NS,2012,,,,,,2013,97,,,5.099999905,,,,210,247,308,310,56,55,54,,2013,0.21,39,2010,1.198,2010,3.276,2010,0.444,,,2012,69,2011,66,2010,66,2009,65,2008,66,76,14,9,1,86,5,8,1,96,2,1,1,86,4,6,4,91,4,3,2,96,4,0,0,6.7,21.5,5.3,4.9,3.3,33.6,7.6,9.2,6.7,24.6,7.2,8.7,8.4,23.4,7.1,4.5,2014,Voluntary,.,,2011,No,,Planning,2011-2015,125,82,2010,"Available, fully implemented","Available, fully implemented",,,,,,
Maldives,Asia,Asia,Southern Asia,358,38,46,10,14,13,12,11,10,,,,,2004,1,1998,26,,,,,2004,12,1998,37,2014,14095,2013,13353,2012,12637,2011,12694,2010,11674,2010,30,2009,20,7,5,4,On course - Good progress,2009,7,2,-6.590000153,0.0,On course - At risk,2009,10,3,off course,2009,0,2.599999905,2009,48,,2009,11,2009,20,2001,32,1997,47,1995,33,1994,36,,,,2009,9.8,8.6,2014,26,34,30,5,11,8,2011,37,36,2011,Currently off course,2013,5,1995,Mild iodine deficiency,2008,8,8,8,2008,38,42,35,2008,42,37,46,,,,,2009,85.1,2011,99,2009,64.3,2009,77,2009,28.6,,,.,,,.,2009,47.8,DHS,2012,,2013,76,2009,57,2013,99,2001,44,12.19999981,11.80000019,10,5.199999809,127,332,496,520,49,55,59,,2013,0.283,49,2010,1.415,2010,5.035,2010,2.17,,1,2004,77,2003,75,2002,69,2001,66,2000,56,13,80,7,0,19,5,76,0,46,53,1,0,68,1,8,23,79,2,5,14,98,2,0,0,1.9,11.3,9.7,2.0,1.7,19.8,10.9,2.8,1.3,15.8,8.6,5.3,,,,,2014,Law,2003,Medium low,.,,,No Fortification,2006-2010,60,89,2010,"Available, partially implemented","Available, partially implemented",,,,,,
Mali,Africa,Africa,Western Africa,16259,3129,38,5,143,137,132,128,123,2010,51,2006,51,2001,61,1994,86,2010,79,2006,77,2001,82,1994,94,2014,1653,2013,1589,2012,1603,2011,1658,2010,1664,2012,52,2006,39,906,2,7,Off course - Some progress,2006,5,111,-8.680000305,0.0,On course - At risk,2006,15,360,off course,2006,0,6,2006,38,,2010,18,,,2006,39,2001,43,1996,40,1987,36,,,,2012,0.5,10.1,2014,19,31,25,4,10,7,2011,56,2016,2011,Currently off course,2013,66,1999,Risk of iodine-induced hyperthyroidism within 5?10 years following introduction of iodized salt in susceptible groups,2008,9,9,10,2008,41,41,41,2008,19,18,20,,,,,2010,34.9,2010,56,2006,45.9,2006,94,2013,26,1995-1996,8.3,DHS,2001,25.1,DHS,2006,37.8,DHS,2012,5.2,2013,98,2010,11.2,2013,74,2006,74.4,16.70000076,13.89999962,,,213,228,243,246,31,32,33,,2013,0.673,148,2010,0.083,2010,0.43,2010,0.007,,46,2013,40,2011,37,2010,35,2009,32,2008,29,4,23,65,8,8,48,39,5,16,61,22,1,14,13,43,30,18,16,45,21,25,23,42,10,17.8,,,,9.8,,,,12.1,,,,9.7,,,,2014,Many provisions law,2003,Medium,2011,Yes,,Mandatory,2012-2017,2,116,2010,"Available, partially implemented","Available, partially implemented",2014,59,46,50,40,49
Malta,Europe,Europe,Southern Europe,431,20,95,35,7,6,6,6,6,,,,,,,,,,,,,,,,,2013,28822,2012,28271,2011,28178,2010,27906,2009,26888,1996,51,,,,,,,,,,,,,,,,,,,,,,,2011,7,,,,,,,,,,,,,,,,,2014,69,60,64,25,29,27,2011,17,17,2011,Currently off course,,,,,2008,10,12,9,2008,39,43,34,2008,59,61,57,,,,,,,1993,98,,,,,,,,,.,,,.,,,.,2012,,,,,,2013,99,,,,,,,577,779,748,798,65,63,65,,2013,0.22,41,2013,3.486,2013,7.492,,,,,2012,88,2011,88,2010,94,2008,95,2007,94,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,1.4,8.8,7.1,32.4,0.6,12.8,12.1,13.5,1.8,13.6,13.0,22.8,1.5,13.7,13.4,32.3,2014,Measure drafted awaiting final approval,2003,Medium low,2011,Yes,,No Fortification,2007-2016,126,35,2010,Not available,"Available, partially implemented",,,,,,
Marshall Islands,Oceania,Oceania,Micronesia,53,,73,,39,39,39,38,38,,,,,,,,,,,,,,,,,2013,3776,2012,3672,2011,3510,2010,3514,2009,3316,2012,48,,,,,,,,,,,,,,,,,,,,2007,31,,2007,18,,,,,,,,,,,,,,,,,2014,73,79,76,37,49,43,2011,20,3,2011,Currently off course,2013,13,,,2008,29,26,32,2008,37,41,33,2008,46,43,49,,,,,2007,77.1,2010,99,2007,72.5,2007,64,2007,8.1,,,.,,,.,2007,31.3,DHS,2012,,,,2007,38.2,2013,36,,,,,,,,,,,,,,,2013,,,2010,0.438,2010,1.74,,,,21,2009,104,2008,104,2007,93,2006,84,2005,76,3,89,8,,3,7,90,,3,92,5,,65,10,17,8,70,11,11,8,77,12,4,7,,,,,,,,,,,,,,,,,,.,2003,Medium low,.,,,Planning,2003-2018,28,10,2010,"Available, fully implemented","Available, fully implemented",,,,,,
Mauritania,Africa,Africa,Western Africa,4080,602,43,6,101,98,96,93,90,2008,23,2004,25,2000,21,1995,23,2008,48,2004,53,2000,44,1995,48,2014,3718,2013,3579,2012,3470,2011,3357,2010,3299,2012,45,2012,22,127,4,5,Off course - Some progress,2012,1,7,6.389999866,0.0,On course - Good progress,2012,12,67,off course,2012,0,1.899999976,2011,27,on course,2011,34.7,2012,22,2011,30,2008,23,2007,29,2000,40,2010,22.5,3,2000,0.6,8.6,2014,25,36,30,6,14,10,2011,39,343,2011,Currently off course,2013,56,1995,Mild iodine deficiency,2008,8,8,8,2008,45,47,43,2008,22,21,23,,,,,2011,48.4,2011,65,2011,55.7,2011,85,2011,31.1,2000-2001,20.4,DHS,2007,11.4,MICS,2011,26.9,MICS,2012,88.4,2013,99,2011,18.8,2013,80,2010,7.3,14.60000038,11.5,7.900000095,5.599999905,38,61,81,95,44,49,49,,2013,0.644,142,2009,0.13,2009,0.672,2009,0.284,,24,2013,29,2012,24,2011,21,2010,19,2009,18,6,23,65,6,17,54,25,4,33,25,41,1,16,6,25,53,24,8,22,46,40,14,11,35,,,,,,,,,,,,,,,,,2014,Being studied,.,,2011,Yes,,Mandatory,2011-2015,12,56,2010,"Available, partially implemented","Available, not implemented",2014,44,42,34,40,40
Mauritius,Africa,Africa,Eastern Africa,1254,71,42,19,16,15,15,15,14,,,,,2012,0,2006,0,,,,,2012,2,2006,1,2014,17731,2013,17146,2012,16651,2011,16179,2010,15599,2012,43,,,,,,,,,,,,,,,,,,,,2002,21,,2003,14,,,,,,,1995,14,1985,27,2011,21,6.2,,,,2014,38,52,45,11,24,18,2011,23,85,2011,Currently off course,2013,29,1995,Optimal iodine nutrition,2008,11,12,10,2008,46,49,44,2008,47,48,46,,,,,,,2003,98,,,,,2002,3.5,,,.,,,.,2002,21,NS,2012,,,,,,2013,98,,,8.100000381,7.099999905,,,163,330,358,362,52,53,51,,2013,0.375,72,2004,1.057,2004,3.734,2004,0.191,,,2012,98,2011,96,2010,95,2009,94,2008,93,99,0,1,0,99,1,0,0,100,0,0,0,91,6,3,0,91,6,2,0,93,6,1,0,7.1,8.8,8.5,5.4,4.2,8.0,8.0,6.7,3.8,13.2,10.1,22.2,2.6,13.7,9.6,23.4,2014,Some provisions voluntary,.,,2011,Partial,,No Fortification,2015-2019,126,116,2010,"Available, partially implemented","Available, partially implemented",,,,,,
Mexico,Americas,Latin America and the Caribbean,Central America,125236,11081,79,13,17,17,16,15,15,2012,1,2010,1,2008,1,2006,1,2012,4,2010,5,2008,5,2006,5,2014,16496,2013,16346,2012,16320,2011,15887,2010,15460,2011,33,2012,14,1551,2,3,Off course - Some progress,2012,9,1026,-2.859999895,1.9,Off course - No progress,2012,2,182,on course,2012,0,0.400000006,2012,14,,2012,9.15,2012,14,2006,16,1998,22,1996,26,1989,26,,,,,,,2014,63,66,64,23,33,28,2011,14,4492,2011,Currently off course,2013,12,1999,Risk of iodine-induced hyperthyroidism within 5?10 years following introduction of iodized salt in susceptible groups,2008,14,13,15,2008,36,39,33,2008,51,47,54,,,,,2012,92.62,2012,96,2012,38.7,2012,36,2009,9.8,1987,27.9,DHS,1999,20.3,NS,2012,14.4,NS,2012,,,,2012,52.32,2013,83,2003,91,6.900000095,,,,382,465,421,416,52,53,56,56,2013,0.376,73,2011,2.095,2011,2.529,,,,39,2012,89,2011,87,2010,87,2009,86,2008,85,75,7,6,12,83,5,6,6,92,4,4,0,66,8,4,22,75,9,4,12,85,10,4,1,3.5,16.6,2.1,0.6,3.3,30.5,6.1,1.3,2.3,,,,,,,,2014,Many provisions law,2003,Medium,2011,Partial,,Mandatory,2013-2018,71,13,2010,"Available, fully implemented","Available, fully implemented",,,,,,
Micronesia (Federated States of),Oceania,Oceania,Micronesia,104,12,23,9,41,40,39,38,36,,,,,,,2000,31,,,,,,,2000,45,2013,3286,2012,3428,2011,3412,2010,3337,2009,3243,2012,27,,,,,,,,,,,,,,,,,,,,1999,60,,2009,11.1,,,,,,,,,,,,,,,,,2014,64,75,69,31,44,37,2011,18,5,2011,Currently off course,2013,17,,,2008,17,14,20,2008,42,46,38,2008,48,49,48,,,,,,,2009,100,,,,,,,,,.,,,.,1999,60,NS,2012,,,,,,2013,81,,,,,,,,,,,,,,,2013,,,2009,0.177,2009,3.319,2008,0.274,,,,,,,,,2005,87,2004,85,,,2,7,,3,90,7,37,52,4,7,19,,72,9,34,,57,10,57,,33,10,,,,,,,,,,,,,,,,,,.,.,,.,,2015,,2004-2023,34,11,2010,"Available, fully implemented","Available, fully implemented",,,,,,
Monaco,Europe,Europe,Western Europe,38,,100,,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,40,,,,,,,,,,,,,,,,,,,,,,,2012,6,,,,,,,,,,,,,,,,,2014,,,,,,,2011,,,2011,,,,,,2008,,,,2008,,,,2008,,,,,,,,,,.,,,,,,,,,,.,,,.,,,.,2012,,,,,,2013,99,,,,,,,,,,,,,,,2013,,,2012,7.167,2011,17.217,,,,,,,,,,,,,,,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,,,,,,,,,,,,,,,,,,.,.,,.,,,No Fortification,,,,2010,"Available, partially implemented","Available, partially implemented",,,,,,
Mongolia,Asia,Asia,Eastern Asia,2923,311,72,8,37,36,34,33,32,,,,,,,,,,,,,,,,,2014,11509,2013,10833,2012,9851,2011,8905,2010,7708,2011,51,2013,11,33,12,4,On course - Good progress,2013,11,32,-16.15999985,3.7,Off course - No progress,2013,1,3,on course,2013,0,0.400000006,2013,47,off course reversal,2010,4.7,2013,11,2010,16,2005,28,2004,24,2000,30,2013,11.5,1.6,,,,2014,51,50,50,15,19,17,2011,20,168,2011,Currently off course,2013,18,2001,Optimal iodine nutrition,2008,10,11,9,2008,47,51,43,2008,37,37,37,,,2013,47,2010,81.4,2010,99,2013,71.1,2013,83,2013,16,2005,57.2,MICS,2010,65.7,MICS,2013,47.1,MICS,2012,,2013,95,2010,30.6,2013,98,2010,69.9,29.89999962,38.20000076,25.89999962,20.5,51,76,193,211,56,54,53,,2013,0.32,54,2011,2.837,2011,3.622,2010,0.155,,2,2010,95,2009,101,2006,94,2005,95,2004,93,26,27,20,27,23,24,33,20,24,40,32,4,,,,,48,26,11,16,60,31,0,9,,,,,1.9,19.1,10.7,17.7,6.4,23.1,11.7,13.0,2.4,22.0,10.1,10.8,2014,Many provisions law,2003,Medium,2011,Yes,,Planning,2008,79,116,2010,"Available, partially implemented","Available, partially implemented",,,,,,
Montenegro,Europe,Europe,Southern Europe,622,36,64,27,8,7,6,6,5,2011,0,2010,0,2009,0,2008,0,2011,1,2010,0,2009,0,2008,0,2014,14358,2013,14156,2012,13712,2011,14082,2010,13656,2010,34,2013,9,4,-2,3,Off course - No progress,2013,22,9,-4.570000172,9.2,Off course - No progress,2013,3,1,on course,2013,0,1.200000048,2013,17,Off course no progress,2012,5.1,,,,,,,2013,9,2005,8,,,,,,,2014,62,50,56,19,21,20,2011,24,38,2011,Currently off course,,,,,2008,9,10,8,2008,46,50,42,2008,48,48,48,2013,68,2013,81.3,,,2009,100,2013,14.4,2013,24,,,,,.,2005,19.3,MICS,2013,16.8,MICS,2012,,,,2005,16.3,2013,94,2000,70.7,,,,,,,1118,1090,,,64,,2013,,,2013,2.113,2013,5.414,,,,,2012,91,2011,91,2010,99,2009,97,2008,101,,,,,88,3,9,0,84,16,0,0,,,,,89,2,9,0,96,2,2,0,,,,,,,,,,,,,,,,,,.,.,,.,,2015,,,,,2010,Not available,Not available,,,,,,
Morocco,Africa,Africa,Northern Africa,33955,3680,59,10,35,34,33,32,30,2007,3,2001,6,1998,7,1990,2,2007,14,2001,24,1998,24,1990,16,2014,7040,2013,6967,2012,6777,2011,6698,2010,6466,2011,40,2011,15,458,5,4,On course - Good progress,2011,11,329,2.680000067,3.0,Off course - Some progress,2011,2,71,on course,2011,0,1,2010,28,,2003,15,2011,15,2003,23,1997,29,1992,30,1987,35,2010,14.1,2.5,2003,0.7,4.4,2014,52,61,57,16,28,22,2011,33,3037,2011,Currently off course,2013,15,1993,Mild iodine deficiency,2008,11,11,11,2008,45,44,46,2008,37,35,39,,,,,2010,55.3,2011,74,2003,52,2003,57,2011,10.9,1995,24.8,DHS,2003-2004,31,DHS,2010-11,27.8,NS,2012,,,,2011,22.1,2013,99,2006,21.2,5.900000095,6.5,5.300000191,,427,439,589,621,36,36,38,,2013,0.46,92,2009,0.62,2009,0.89,,,2003-2004,8,2012,63,2011,61,2010,58,2009,56,2008,53,38,35,24,3,49,19,29,3,64,21,13,2,52,8,2,38,64,10,2,24,77,12,2,9,5.3,19.2,3.2,0.1,3.5,20.8,3.2,10.5,,,,,,,,,2014,Some provisions voluntary,.,,2011,Yes,,Mandatory,,,,2010,"Available, partially implemented","Available, partially implemented",,,,,,
