indicator,year,region,n,value
Drinking.Basic,2015,Eastern Asia,5,85
Drinking.Limited,2015,Eastern Asia,3,1
Drinking.Surface water,2015,Eastern Asia,5,0
Drinking.Unimproved,2015,Eastern Asia,5,3
Drinking.Safely managed,2015,Eastern Asia,0,
Sanitation.Basic,2000,Eastern Asia,4,29
Sanitation.Limited,2000,Eastern Asia,4,3
Sanitation.Safely managed,2000,Eastern Asia,3,36
Sanitation.Unimproved,2000,Eastern Asia,4,30
Sanitation.Open defecation,2000,Eastern Asia,4,2
Sanitation.Basic,2010,Eastern Asia,5,22
Sanitation.Limited,2010,Eastern Asia,5,4
Sanitation.Safely managed,2010,Eastern Asia,3,52
Sanitation.Unimproved,2010,Eastern Asia,5,21
Sanitation.Open defecation,2010,Eastern Asia,5,2
Sanitation.Basic,2015,Eastern Asia,5,15
Sanitation.Limited,2015,Eastern Asia,5,4
Sanitation.Safely managed,2015,Eastern Asia,3,64
Sanitation.Unimproved,2015,Eastern Asia,5,17
Sanitation.Open defecation,2015,Eastern Asia,5,1
Agriculture,1990,Eastern Asia,3,9
Education,1990,Eastern Asia,3,15
Health,1990,Eastern Asia,3,4
Social protection,1990,Eastern Asia,3,3
Agriculture,2000,Eastern Asia,4,7
Education,2000,Eastern Asia,4,18
Health,2000,Eastern Asia,4,5
Social protection,2000,Eastern Asia,4,11
Agriculture,2010,Eastern Asia,4,9
Education,2010,Eastern Asia,4,13
Health,2010,Eastern Asia,4,5
Social protection,2010,Eastern Asia,4,12
Agriculture,2012,Eastern Asia,4,9
Education,2012,Eastern Asia,4,16
Health,2012,Eastern Asia,4,5
Social protection,2012,Eastern Asia,4,12
National Implementation of the International Code of Marketing of Breast Milk Substitutes,2016,Eastern Asia,5,Few provisions in law
Extent of Constitutional Right to Food,2003,Eastern Asia,4,Medium
Maternity protection (Convention 183),2011,Eastern Asia,4,Partial
Wheat fortification legislation ,2015,Eastern Asia,5,Planning
Existence of evidence-based national guidelines/protocols/standards for the management of major NCDs through a primary care approach,2015,Eastern Asia,5,Yes
Bringing people into a shared space for action (%),2017,Eastern Asia,,
Ensuring a coherent policy and legal framework (%),2017,Eastern Asia,,
Aligning actions around a common results framework (%),2017,Eastern Asia,,
Financial tracking and resource mobilization (%),2017,Eastern Asia,,
Total weighed score (%),2017,Eastern Asia,,
Total population (000),2017,Eastern Europe,10,292454
Under-5 population (000),2017,Eastern Europe,10,16888
Urban population (%),2017,Eastern Europe,10,70
>65 population (%),2017,Eastern Europe,10,16
Under-5 mortality rate (deaths per 1000 live births),2015,Eastern Europe,10,9
GDP per capita (PPP),2016,Eastern Europe,10,21394
Poverty rates $1.90,2000-2013,Eastern Europe,10,1
Poverty rates $3.10,2000-2013,Eastern Europe,10,1
Stunting (millions),2016,Eastern Europe,,
Wasting (millions),2016,Eastern Europe,,
Overweight (millions),2016,Eastern Europe,,
Stunting (%),2016,Eastern Europe,,
Wasting (%),2016,Eastern Europe,,
Overweight (%),2016,Eastern Europe,,
Severe wasting (%),2016,Eastern Europe,,
Low birth weight (%),2000-2012,Eastern Europe,10,6
Adolescent overweight (%),2003-2014,Eastern Europe,0,
Adolescent obesity (%),2003-2014,Eastern Europe,0,
"Women of reproductive age, thinness (%)",1994-2015,Eastern Europe,0,
"Women of reproductive age, short stature (%)",1994-2015,Eastern Europe,0,
Women of reproductive age with anaemia (000),2016,Eastern Europe,10,16817
Women of reproductive age with anaemia (%),2016,Eastern Europe,10,24
Vitamin A deficiency in children 6-59 months (%),2013,Eastern Europe,0,
Population classification of iodine status,1996-2001,Eastern Europe,9,Mild iodine deficiency
"Raised blood pressure, Male (%)",2015,Eastern Europe,10,33
"Raised blood pressure, Female (%)",2015,Eastern Europe,10,23
"Raised blood glucose, Male (%)",2014,Eastern Europe,10,8
"Raised blood glucose, Female (%)",2014,Eastern Europe,10,7
"Raised blood cholesterol, Male (%)",2008,Eastern Europe,10,49
"Raised blood cholesterold, Female (%)",2008,Eastern Europe,10,50
"Adult overweight and obesity, Male (%)",2014,Eastern Europe,10,61
"Adult overweight and obesity, Female (%)",2014,Eastern Europe,10,53
"Adult obesity, Male (%)",2014,Eastern Europe,10,20
"Adult obesity, Female (%)",2014,Eastern Europe,10,24
Stunting.No progress or worsening,2017,Eastern Europe,,0
Stunting.On course,2017,Eastern Europe,,0
Stunting.Some progress,2017,Eastern Europe,,0
Stunting.Insufficient data to make assessment,2017,Eastern Europe,,10
Wasting.No progress or worsening,2017,Eastern Europe,,0
Wasting.On course,2017,Eastern Europe,,0
Wasting.Some progress,2017,Eastern Europe,,0
Wasting.Insufficient data to make assessment,2017,Eastern Europe,,10
Overweight.Off course,2017,Eastern Europe,,0
Overweight.On course,2017,Eastern Europe,,0
Overweight.Insufficient data to make assessment,2017,Eastern Europe,,10
Anaemia.No progress or worsening,2017,Eastern Europe,,10
Anaemia.On course,2017,Eastern Europe,,
Anaemia.Some progress,2017,Eastern Europe,,0
Anaemia.Insufficient data to make assessment,2017,Eastern Europe,,0
EBF.No progress or worsening,2017,Eastern Europe,,0
EBF.On course,2017,Eastern Europe,,0
EBF.Some progress,2017,Eastern Europe,,0
EBF.Insufficient data to make assessment,2017,Eastern Europe,,10
"Adult obesity, female.Insufficient data to make assessment",2017,Eastern Europe,,0
"Adult obesity, female.Off course",2017,Eastern Europe,,10
"Adult obesity, female.On course",2017,Eastern Europe,,
"Adult obesity, male.Insufficient data to make assessment",2017,Eastern Europe,,0
"Adult obesity, male.Off course",2017,Eastern Europe,,10
"Adult obesity, male.On course",2017,Eastern Europe,,
"Adult diabetes, female.Insufficient data to make assessment",2017,Eastern Europe,,0
"Adult diabetes, female.Off course",2017,Eastern Europe,,10
"Adult diabetes, female.On course",2017,Eastern Europe,,0
Adult diabetes male.Insufficient data to make assessment,2017,Eastern Europe,,0
Adult diabetes male.Off course,2017,Eastern Europe,,10
Adult diabetes male.On course,2017,Eastern Europe,,0
Antenatal care (4+ visits),2003-2016,Eastern Europe,0,
Skilled attendant at birth,1998-2016,Eastern Europe,9,100
Initiation of breastfeeding within 1 hour after birth,2003-2016,Eastern Europe,0,
Continued breastfeeding at 1 year,1995-2016,Eastern Europe,0,
Unmet need for family planning,1993-2016,Eastern Europe,6,7
"Severe acute malnutrition, geographic coverage",2012,Eastern Europe,0,
"Vitamin A supplementation, full coverage",2014,Eastern Europe,0,
Children under 5 with diarrhoea receiving ORS,2000-2016,Eastern Europe,0,
Immunization coverage (DTP3),2016,Eastern Europe,10,85
Iodized salt consumption,2000-2013,Eastern Europe,0,
Exclusive breastfeeding 0-5 months (%),1999-2015,Eastern Europe,0,
Minimum acceptable diet 6-23 months (%),2010-2016,Eastern Europe,0,
Minimum dietary diversity 6-23 months (%),2010-2016,Eastern Europe,0,
Undernourishment (%),1990,Eastern Europe,0,
Undernourishment (%),1999,Eastern Europe,0,
Undernourishment (%),2009,Eastern Europe,0,
Undernourishment (%),2014,Eastern Europe,0,
Fruit and veg (grams),1990,Eastern Europe,0,
Fruit and veg (grams),2000,Eastern Europe,10,394
Fruit and veg (grams),2010,Eastern Europe,10,479
Fruit and veg (grams),2013,Eastern Europe,10,517
Non-staples (%),1990,Eastern Europe,8,53
Non-staples (%),1999,Eastern Europe,10,54
Non-staples (%),2008,Eastern Europe,10,60
Non-staples (%),2011,Eastern Europe,0,
Early childbearing: births by age 18 (%),2001-2015,Eastern Europe,0,
Gender Inequality Index (score),2015,Eastern Europe,10,0.247
Female secondary education enrolment rate,2006-2012,Eastern Europe,10,90
Physicians,1998-2015,Eastern Europe,10,3.128
Nurses and midwives,1994-2015,Eastern Europe,10,5.608
Community health workers,1992-2013,Eastern Europe,0,
Drinking.Basic,2000,Eastern Europe,9,21
Drinking.Limited,2000,Eastern Europe,5,1
Drinking.Surface water,2000,Eastern Europe,9,0
Drinking.Unimproved,2000,Eastern Europe,9,3
Drinking.Safely managed,2000,Eastern Europe,9,75
Drinking.Basic,2010,Eastern Europe,10,15
Drinking.Limited,2010,Eastern Europe,5,1
Drinking.Surface water,2010,Eastern Europe,10,0
Drinking.Unimproved,2010,Eastern Europe,10,2
Drinking.Safely managed,2010,Eastern Europe,10,82
Drinking.Basic,2015,Eastern Europe,10,14
Drinking.Limited,2015,Eastern Europe,5,1
Drinking.Surface water,2015,Eastern Europe,10,0
Drinking.Unimproved,2015,Eastern Europe,10,2
Drinking.Safely managed,2015,Eastern Europe,10,84
Sanitation.Basic,2000,Eastern Europe,9,66
Sanitation.Limited,2000,Eastern Europe,9,1
Sanitation.Safely managed,2000,Eastern Europe,0,
Sanitation.Unimproved,2000,Eastern Europe,9,11
Sanitation.Open defecation,2000,Eastern Europe,9,0
Sanitation.Basic,2010,Eastern Europe,10,66
Sanitation.Limited,2010,Eastern Europe,10,1
Sanitation.Safely managed,2010,Eastern Europe,0,
Sanitation.Unimproved,2010,Eastern Europe,10,8
Sanitation.Open defecation,2010,Eastern Europe,10,0
Sanitation.Basic,2015,Eastern Europe,10,67
Sanitation.Limited,2015,Eastern Europe,10,1
Sanitation.Safely managed,2015,Eastern Europe,0,
Sanitation.Unimproved,2015,Eastern Europe,10,7
Sanitation.Open defecation,2015,Eastern Europe,10,0
Agriculture,1990,Eastern Europe,0,
Education,1990,Eastern Europe,0,
Health,1990,Eastern Europe,0,
Social protection,1990,Eastern Europe,0,
Agriculture,2000,Eastern Europe,10,2
Education,2000,Eastern Europe,9,4
Health,2000,Eastern Europe,9,3
Social protection,2000,Eastern Europe,9,9
Agriculture,2010,Eastern Europe,10,1
Education,2010,Eastern Europe,10,6
Health,2010,Eastern Europe,10,8
Social protection,2010,Eastern Europe,10,33
Agriculture,2012,Eastern Europe,10,1
Education,2012,Eastern Europe,10,6
Health,2012,Eastern Europe,10,8
Social protection,2012,Eastern Europe,10,32
National Implementation of the International Code of Marketing of Breast Milk Substitutes,2016,Eastern Europe,10,No legal measures
Extent of Constitutional Right to Food,2003,Eastern Europe,10,Medium
Maternity protection (Convention 183),2011,Eastern Europe,10,Yes
Wheat fortification legislation ,2015,Eastern Europe,10,No fortification
Existence of evidence-based national guidelines/protocols/standards for the management of major NCDs through a primary care approach,2015,Eastern Europe,10,Yes
Bringing people into a shared space for action (%),2017,Eastern Europe,,
Ensuring a coherent policy and legal framework (%),2017,Eastern Europe,,
Aligning actions around a common results framework (%),2017,Eastern Europe,,
Financial tracking and resource mobilization (%),2017,Eastern Europe,,
Total weighed score (%),2017,Eastern Europe,,
Total population (000),2017,Melanesia,4,10044
Under-5 population (000),2017,Melanesia,4,1246
Urban population (%),2017,Melanesia,4,18
>65 population (%),2017,Melanesia,4,4
Under-5 mortality rate (deaths per 1000 live births),2015,Melanesia,4,52
GDP per capita (PPP),2016,Melanesia,0,
Poverty rates $1.90,2000-2013,Melanesia,2,48
Poverty rates $3.10,2000-2013,Melanesia,2,65
Stunting (millions),2016,Melanesia,,
Wasting (millions),2016,Melanesia,,
Overweight (millions),2016,Melanesia,,
Stunting (%),2016,Melanesia,,
Wasting (%),2016,Melanesia,,
Overweight (%),2016,Melanesia,,
Severe wasting (%),2016,Melanesia,,
Low birth weight (%),2000-2012,Melanesia,4,11
Adolescent overweight (%),2003-2014,Melanesia,0,
Adolescent obesity (%),2003-2014,Melanesia,0,
"Women of reproductive age, thinness (%)",1994-2015,Melanesia,0,
"Women of reproductive age, short stature (%)",1994-2015,Melanesia,0,
Women of reproductive age with anaemia (000),2016,Melanesia,4,862
Women of reproductive age with anaemia (%),2016,Melanesia,4,36
Vitamin A deficiency in children 6-59 months (%),2013,Melanesia,4,10
Population classification of iodine status,1996-2001,Melanesia,2,Optimal iodine nutrition
"Raised blood pressure, Male (%)",2015,Melanesia,4,25
"Raised blood pressure, Female (%)",2015,Melanesia,4,25
"Raised blood glucose, Male (%)",2014,Melanesia,4,15
"Raised blood glucose, Female (%)",2014,Melanesia,4,15
"Raised blood cholesterol, Male (%)",2008,Melanesia,4,38
"Raised blood cholesterold, Female (%)",2008,Melanesia,4,40
"Adult overweight and obesity, Male (%)",2014,Melanesia,4,45
"Adult overweight and obesity, Female (%)",2014,Melanesia,4,57
"Adult obesity, Male (%)",2014,Melanesia,4,15
"Adult obesity, Female (%)",2014,Melanesia,4,25
Stunting.No progress or worsening,2017,Melanesia,,0
Stunting.On course,2017,Melanesia,,0
Stunting.Some progress,2017,Melanesia,,0
Stunting.Insufficient data to make assessment,2017,Melanesia,,4
Wasting.No progress or worsening,2017,Melanesia,,0
Wasting.On course,2017,Melanesia,,1
Wasting.Some progress,2017,Melanesia,,0
Wasting.Insufficient data to make assessment,2017,Melanesia,,3
Overweight.Off course,2017,Melanesia,,0
Overweight.On course,2017,Melanesia,,0
Overweight.Insufficient data to make assessment,2017,Melanesia,,4
Anaemia.No progress or worsening,2017,Melanesia,,3
Anaemia.On course,2017,Melanesia,,
Anaemia.Some progress,2017,Melanesia,,1
Anaemia.Insufficient data to make assessment,2017,Melanesia,,0
EBF.No progress or worsening,2017,Melanesia,,0
EBF.On course,2017,Melanesia,,1
EBF.Some progress,2017,Melanesia,,0
EBF.Insufficient data to make assessment,2017,Melanesia,,3
"Adult obesity, female.Insufficient data to make assessment",2017,Melanesia,,0
"Adult obesity, female.Off course",2017,Melanesia,,4
"Adult obesity, female.On course",2017,Melanesia,,
"Adult obesity, male.Insufficient data to make assessment",2017,Melanesia,,0
"Adult obesity, male.Off course",2017,Melanesia,,4
"Adult obesity, male.On course",2017,Melanesia,,
"Adult diabetes, female.Insufficient data to make assessment",2017,Melanesia,,0
"Adult diabetes, female.Off course",2017,Melanesia,,4
"Adult diabetes, female.On course",2017,Melanesia,,0
Adult diabetes male.Insufficient data to make assessment,2017,Melanesia,,0
Adult diabetes male.Off course,2017,Melanesia,,4
Adult diabetes male.On course,2017,Melanesia,,0
Antenatal care (4+ visits),2003-2016,Melanesia,4,59
Skilled attendant at birth,1998-2016,Melanesia,4,60
Initiation of breastfeeding within 1 hour after birth,2003-2016,Melanesia,0,
Continued breastfeeding at 1 year,1995-2016,Melanesia,3,88
Unmet need for family planning,1993-2016,Melanesia,3,26
"Severe acute malnutrition, geographic coverage",2012,Melanesia,1,89
"Vitamin A supplementation, full coverage",2014,Melanesia,0,
Children under 5 with diarrhoea receiving ORS,2000-2016,Melanesia,0,
Immunization coverage (DTP3),2016,Melanesia,4,76
Iodized salt consumption,2000-2013,Melanesia,2,90
Exclusive breastfeeding 0-5 months (%),1999-2015,Melanesia,4,56
Minimum acceptable diet 6-23 months (%),2010-2016,Melanesia,0,
Minimum dietary diversity 6-23 months (%),2010-2016,Melanesia,0,
Undernourishment (%),1990,Melanesia,0,
Undernourishment (%),1999,Melanesia,0,
Undernourishment (%),2009,Melanesia,0,
Undernourishment (%),2014,Melanesia,0,
Fruit and veg (grams),1990,Melanesia,0,
Fruit and veg (grams),2000,Melanesia,0,
Fruit and veg (grams),2010,Melanesia,0,
Fruit and veg (grams),2013,Melanesia,0,
Non-staples (%),1990,Melanesia,0,
Non-staples (%),1999,Melanesia,0,
Non-staples (%),2008,Melanesia,0,
Non-staples (%),2011,Melanesia,0,
Early childbearing: births by age 18 (%),2001-2015,Melanesia,3,14
Gender Inequality Index (score),2015,Melanesia,2,0.572
Female secondary education enrolment rate,2006-2012,Melanesia,0,
Physicians,1998-2015,Melanesia,4,0.102
Nurses and midwives,1994-2015,Melanesia,4,0.833
Community health workers,1992-2013,Melanesia,2,0.605
Drinking.Basic,2000,Melanesia,4,46
Drinking.Limited,2000,Melanesia,3,2
Drinking.Surface water,2000,Melanesia,4,35
Drinking.Unimproved,2000,Melanesia,4,17
Drinking.Safely managed,2000,Melanesia,0,
Drinking.Basic,2010,Melanesia,4,45
Drinking.Limited,2010,Melanesia,3,2
Drinking.Surface water,2010,Melanesia,4,36
Drinking.Unimproved,2010,Melanesia,4,18
Drinking.Safely managed,2010,Melanesia,0,
Drinking.Basic,2015,Melanesia,4,45
Drinking.Limited,2015,Melanesia,3,2
Drinking.Surface water,2015,Melanesia,4,36
Drinking.Unimproved,2015,Melanesia,4,18
Drinking.Safely managed,2015,Melanesia,0,
Sanitation.Basic,2000,Melanesia,4,25
Sanitation.Limited,2000,Melanesia,4,4
Sanitation.Safely managed,2000,Melanesia,0,
Sanitation.Unimproved,2000,Melanesia,4,56
Sanitation.Open defecation,2000,Melanesia,4,15
Sanitation.Basic,2010,Melanesia,4,27
Sanitation.Limited,2010,Melanesia,4,4
Sanitation.Safely managed,2010,Melanesia,0,
Sanitation.Unimproved,2010,Melanesia,4,56
Sanitation.Open defecation,2010,Melanesia,4,14
Sanitation.Basic,2015,Melanesia,4,27
Sanitation.Limited,2015,Melanesia,4,4
Sanitation.Safely managed,2015,Melanesia,0,
Sanitation.Unimproved,2015,Melanesia,4,56
Sanitation.Open defecation,2015,Melanesia,4,13
Agriculture,1990,Melanesia,3,7
Education,1990,Melanesia,3,21
Health,1990,Melanesia,3,8
Social protection,1990,Melanesia,2,1
Agriculture,2000,Melanesia,3,3
Education,2000,Melanesia,3,17
Health,2000,Melanesia,3,6
Social protection,2000,Melanesia,2,2
Agriculture,2010,Melanesia,0,
Education,2010,Melanesia,0,
Health,2010,Melanesia,0,
Social protection,2010,Melanesia,0,
Agriculture,2012,Melanesia,0,
Education,2012,Melanesia,0,
Health,2012,Melanesia,0,
Social protection,2012,Melanesia,0,
National Implementation of the International Code of Marketing of Breast Milk Substitutes,2016,Melanesia,4,Few provisions in law
Extent of Constitutional Right to Food,2003,Melanesia,1,Medium
Maternity protection (Convention 183),2011,Melanesia,4,No
Wheat fortification legislation ,2015,Melanesia,3,Mandatory
Existence of evidence-based national guidelines/protocols/standards for the management of major NCDs through a primary care approach,2015,Melanesia,4,No/Yes
Bringing people into a shared space for action (%),2017,Melanesia,,
Ensuring a coherent policy and legal framework (%),2017,Melanesia,,
Aligning actions around a common results framework (%),2017,Melanesia,,
Financial tracking and resource mobilization (%),2017,Melanesia,,
Total weighed score (%),2017,Melanesia,,
Total population (000),2017,Micronesia,5,308
Under-5 population (000),2017,Micronesia,2,26
Urban population (%),2017,Micronesia,5,47
>65 population (%),2017,Micronesia,2,4
Under-5 mortality rate (deaths per 1000 live births),2015,Micronesia,5,42
GDP per capita (PPP),2016,Micronesia,5,3991
Poverty rates $1.90,2000-2013,Micronesia,0,
Poverty rates $3.10,2000-2013,Micronesia,0,
Stunting (millions),2016,Micronesia,,
Wasting (millions),2016,Micronesia,,
Overweight (millions),2016,Micronesia,,
Stunting (%),2016,Micronesia,,
Wasting (%),2016,Micronesia,,
Overweight (%),2016,Micronesia,,
Severe wasting (%),2016,Micronesia,,
Low birth weight (%),2000-2012,Micronesia,5,12
Adolescent overweight (%),2003-2014,Micronesia,0,
Adolescent obesity (%),2003-2014,Micronesia,0,
"Women of reproductive age, thinness (%)",1994-2015,Micronesia,0,
"Women of reproductive age, short stature (%)",1994-2015,Micronesia,0,
Women of reproductive age with anaemia (000),2016,Micronesia,3,17
Women of reproductive age with anaemia (%),2016,Micronesia,3,25
Vitamin A deficiency in children 6-59 months (%),2013,Micronesia,3,13
Population classification of iodine status,1996-2001,Micronesia,,
"Raised blood pressure, Male (%)",2015,Micronesia,5,25
"Raised blood pressure, Female (%)",2015,Micronesia,5,20
"Raised blood glucose, Male (%)",2014,Micronesia,5,22
"Raised blood glucose, Female (%)",2014,Micronesia,5,23
"Raised blood cholesterol, Male (%)",2008,Micronesia,5,42
"Raised blood cholesterold, Female (%)",2008,Micronesia,5,45
"Adult overweight and obesity, Male (%)",2014,Micronesia,5,71
"Adult overweight and obesity, Female (%)",2014,Micronesia,5,79
"Adult obesity, Male (%)",2014,Micronesia,5,36
"Adult obesity, Female (%)",2014,Micronesia,5,49
Stunting.No progress or worsening,2017,Micronesia,,0
Stunting.On course,2017,Micronesia,,0
Stunting.Some progress,2017,Micronesia,,0
Stunting.Insufficient data to make assessment,2017,Micronesia,,5
Wasting.No progress or worsening,2017,Micronesia,,0
Wasting.On course,2017,Micronesia,,0
Wasting.Some progress,2017,Micronesia,,0
Wasting.Insufficient data to make assessment,2017,Micronesia,,5
Overweight.Off course,2017,Micronesia,,0
Overweight.On course,2017,Micronesia,,0
Overweight.Insufficient data to make assessment,2017,Micronesia,,5
Anaemia.No progress or worsening,2017,Micronesia,,3
Anaemia.On course,2017,Micronesia,,
Anaemia.Some progress,2017,Micronesia,,0
Anaemia.Insufficient data to make assessment,2017,Micronesia,,2
EBF.No progress or worsening,2017,Micronesia,,0
EBF.On course,2017,Micronesia,,0
EBF.Some progress,2017,Micronesia,,0
EBF.Insufficient data to make assessment,2017,Micronesia,,5
"Adult obesity, female.Insufficient data to make assessment",2017,Micronesia,,0
"Adult obesity, female.Off course",2017,Micronesia,,5
"Adult obesity, female.On course",2017,Micronesia,,
"Adult obesity, male.Insufficient data to make assessment",2017,Micronesia,,0
"Adult obesity, male.Off course",2017,Micronesia,,5
"Adult obesity, male.On course",2017,Micronesia,,
"Adult diabetes, female.Insufficient data to make assessment",2017,Micronesia,,0
"Adult diabetes, female.Off course",2017,Micronesia,,4
"Adult diabetes, female.On course",2017,Micronesia,,1
Adult diabetes male.Insufficient data to make assessment,2017,Micronesia,,0
Adult diabetes male.Off course,2017,Micronesia,,4
Adult diabetes male.On course,2017,Micronesia,,1
Antenatal care (4+ visits),2003-2016,Micronesia,4,72
Skilled attendant at birth,1998-2016,Micronesia,5,98
Initiation of breastfeeding within 1 hour after birth,2003-2016,Micronesia,0,
Continued breastfeeding at 1 year,1995-2016,Micronesia,3,80
Unmet need for family planning,1993-2016,Micronesia,3,22
"Severe acute malnutrition, geographic coverage",2012,Micronesia,0,
"Vitamin A supplementation, full coverage",2014,Micronesia,0,
Children under 5 with diarrhoea receiving ORS,2000-2016,Micronesia,3,53
Immunization coverage (DTP3),2016,Micronesia,5,77
Iodized salt consumption,2000-2013,Micronesia,0,
Exclusive breastfeeding 0-5 months (%),1999-2015,Micronesia,4,59
Minimum acceptable diet 6-23 months (%),2010-2016,Micronesia,0,
Minimum dietary diversity 6-23 months (%),2010-2016,Micronesia,0,
Undernourishment (%),1990,Micronesia,0,
Undernourishment (%),1999,Micronesia,0,
Undernourishment (%),2009,Micronesia,0,
Undernourishment (%),2014,Micronesia,0,
Fruit and veg (grams),1990,Micronesia,0,
Fruit and veg (grams),2000,Micronesia,0,
Fruit and veg (grams),2010,Micronesia,0,
Fruit and veg (grams),2013,Micronesia,0,
Non-staples (%),1990,Micronesia,0,
Non-staples (%),1999,Micronesia,0,
Non-staples (%),2008,Micronesia,0,
Non-staples (%),2011,Micronesia,0,
Early childbearing: births by age 18 (%),2001-2015,Micronesia,3,13
Gender Inequality Index (score),2015,Micronesia,,
Female secondary education enrolment rate,2006-2012,Micronesia,,
Physicians,1998-2015,Micronesia,5,0.358
Nurses and midwives,1994-2015,Micronesia,5,4.258
Community health workers,1992-2013,Micronesia,0,
Drinking.Basic,2000,Micronesia,4,78
Drinking.Limited,2000,Micronesia,0,
Drinking.Surface water,2000,Micronesia,4,0
Drinking.Unimproved,2000,Micronesia,4,22
Drinking.Safely managed,2000,Micronesia,0,
Drinking.Basic,2010,Micronesia,5,79
Drinking.Limited,2010,Micronesia,3,6
Drinking.Surface water,2010,Micronesia,5,2
Drinking.Unimproved,2010,Micronesia,5,15
Drinking.Safely managed,2010,Micronesia,0,
Drinking.Basic,2015,Micronesia,5,79
Drinking.Limited,2015,Micronesia,3,6
Drinking.Surface water,2015,Micronesia,5,0
Drinking.Unimproved,2015,Micronesia,5,17
Drinking.Safely managed,2015,Micronesia,0,
Sanitation.Basic,2000,Micronesia,0,
Sanitation.Limited,2000,Micronesia,0,
Sanitation.Safely managed,2000,Micronesia,0,
Sanitation.Unimproved,2000,Micronesia,0,
Sanitation.Open defecation,2000,Micronesia,0,
Sanitation.Basic,2010,Micronesia,5,57
Sanitation.Limited,2010,Micronesia,5,4
Sanitation.Safely managed,2010,Micronesia,0,
Sanitation.Unimproved,2010,Micronesia,5,19
Sanitation.Open defecation,2010,Micronesia,5,19
Sanitation.Basic,2015,Micronesia,4,58
Sanitation.Limited,2015,Micronesia,4,7
Sanitation.Safely managed,2015,Micronesia,0,
Sanitation.Unimproved,2015,Micronesia,4,11
Sanitation.Open defecation,2015,Micronesia,4,23
Agriculture,1990,Micronesia,,
Education,1990,Micronesia,,
Health,1990,Micronesia,,
Social protection,1990,Micronesia,,
Agriculture,2000,Micronesia,,
Education,2000,Micronesia,,
Health,2000,Micronesia,,
Social protection,2000,Micronesia,,
Agriculture,2010,Micronesia,,
Education,2010,Micronesia,,
Health,2010,Micronesia,,
Social protection,2010,Micronesia,,
Agriculture,2012,Micronesia,,
Education,2012,Micronesia,,
Health,2012,Micronesia,,
Social protection,2012,Micronesia,,
National Implementation of the International Code of Marketing of Breast Milk Substitutes,2016,Micronesia,5,No legal measures
Extent of Constitutional Right to Food,2003,Micronesia,1,Medium low
Maternity protection (Convention 183),2011,Micronesia,1,Partial
Wheat fortification legislation ,2015,Micronesia,2,Planning
Existence of evidence-based national guidelines/protocols/standards for the management of major NCDs through a primary care approach,2015,Micronesia,5,Don't know
Bringing people into a shared space for action (%),2017,Micronesia,,
Ensuring a coherent policy and legal framework (%),2017,Micronesia,,
Aligning actions around a common results framework (%),2017,Micronesia,,
Financial tracking and resource mobilization (%),2017,Micronesia,,
Total weighed score (%),2017,Micronesia,,
Total population (000),2017,Middle Africa,9,163495
Under-5 population (000),2017,Middle Africa,9,28891
Urban population (%),2017,Middle Africa,9,45
>65 population (%),2017,Middle Africa,9,3
Under-5 mortality rate (deaths per 1000 live births),2015,Middle Africa,9,110
GDP per capita (PPP),2016,Middle Africa,9,2667
Poverty rates $1.90,2000-2013,Middle Africa,7,68
Poverty rates $3.10,2000-2013,Middle Africa,7,81
Stunting (millions),2016,Middle Africa,9,9
Wasting (millions),2016,Middle Africa,9,2
Overweight (millions),2016,Middle Africa,9,1
Stunting (%),2016,Middle Africa,9,33
Wasting (%),2016,Middle Africa,9,7
Overweight (%),2016,Middle Africa,9,4.7
Severe wasting (%),2016,Middle Africa,9,2
Low birth weight (%),2000-2012,Middle Africa,9,11
Adolescent overweight (%),2003-2014,Middle Africa,0,
Adolescent obesity (%),2003-2014,Middle Africa,0,
"Women of reproductive age, thinness (%)",1994-2015,Middle Africa,7,13
"Women of reproductive age, short stature (%)",1994-2015,Middle Africa,7,3
Women of reproductive age with anaemia (000),2016,Middle Africa,9,15521
Women of reproductive age with anaemia (%),2016,Middle Africa,9,44
Vitamin A deficiency in children 6-59 months (%),2013,Middle Africa,9,55
Population classification of iodine status,1996-2001,Middle Africa,5,Moderate iodine deficiency
"Raised blood pressure, Male (%)",2015,Middle Africa,9,29
"Raised blood pressure, Female (%)",2015,Middle Africa,9,28
"Raised blood glucose, Male (%)",2014,Middle Africa,9,7
"Raised blood glucose, Female (%)",2014,Middle Africa,9,7
"Raised blood cholesterol, Male (%)",2008,Middle Africa,9,19
"Raised blood cholesterold, Female (%)",2008,Middle Africa,9,22
"Adult overweight and obesity, Male (%)",2014,Middle Africa,9,16
"Adult overweight and obesity, Female (%)",2014,Middle Africa,9,32
"Adult obesity, Male (%)",2014,Middle Africa,9,3
"Adult obesity, Female (%)",2014,Middle Africa,9,10
Stunting.No progress or worsening,2017,Middle Africa,,1
Stunting.On course,2017,Middle Africa,,1
Stunting.Some progress,2017,Middle Africa,,3
Stunting.Insufficient data to make assessment,2017,Middle Africa,,4
Wasting.No progress or worsening,2017,Middle Africa,,2
Wasting.On course,2017,Middle Africa,,2
Wasting.Some progress,2017,Middle Africa,,2
Wasting.Insufficient data to make assessment,2017,Middle Africa,,3
Overweight.Off course,2017,Middle Africa,,1
Overweight.On course,2017,Middle Africa,,4
Overweight.Insufficient data to make assessment,2017,Middle Africa,,4
